,Seller,Buyer,Order date,distinct
1,Germany,Albania,2014,1.00
2,Germany,Austria,1995,1.00
3,Germany,Austria,1996,3.00
4,Germany,Austria,1999,1.00
5,Germany,Austria,2002,1.00
6,Germany,Austria,2003,1.00
7,Germany,Austria,2004,1.00
8,Germany,Austria,2005,2.00
9,Germany,Austria,2013,1.00
10,Germany,Austria,2016,1.00
11,Germany,Belgium,2001,1.00
12,Germany,Belgium,2005,1.00
13,Germany,Croatia,1992,1.00
14,Germany,Croatia,1994,1.00
15,Germany,Croatia,2014,1.00
16,Germany,Czechia,2008,2.00
17,Germany,Denmark,1985,1.00
18,Germany,Denmark,1990,1.00
19,Germany,Denmark,1993,1.00
20,Germany,Denmark,1996,1.00
21,Germany,Denmark,1997,1.00
22,Germany,Denmark,1999,1.00
23,Germany,Denmark,2001,3.00
24,Germany,Denmark,2006,2.00
25,Germany,Estonia,1993,1.00
26,Germany,Estonia,1995,1.00
27,Germany,Estonia,1996,1.00
28,Germany,Estonia,1999,1.00
29,Germany,Estonia,2003,2.00
30,Germany,Finland,1987,1.00
31,Germany,Finland,1991,1.00
32,Germany,Finland,1992,5.00
33,Germany,Finland,1993,3.00
34,Germany,Finland,1996,1.00
35,Germany,Finland,2002,3.00
36,Germany,Finland,2004,1.00
37,Germany,Finland,2006,1.00
38,Germany,France,2001,1.00
39,Germany,France,2002,1.00
40,Germany,France,2004,1.00
41,Germany,France,2005,1.00
42,Germany,France,2006,1.00
43,Germany,France,2009,1.00
44,Germany,Greece,1986,1.00
45,Germany,Greece,1988,1.00
46,Germany,Greece,1989,3.00
47,Germany,Greece,1990,1.00
48,Germany,Greece,1991,13.00
49,Germany,Greece,1992,3.00
50,Germany,Greece,1993,1.00
51,Germany,Greece,1994,2.00
52,Germany,Greece,1995,1.00
53,Germany,Greece,1997,2.00
54,Germany,Greece,1999,1.00
55,Germany,Greece,2000,4.00
56,Germany,Greece,2001,3.00
57,Germany,Greece,2002,3.00
58,Germany,Greece,2003,8.00
59,Germany,Greece,2004,1.00
60,Germany,Greece,2005,4.00
61,Germany,Greece,2008,1.00
62,Germany,Greece,2012,1.00
63,Germany,Hungary,1991,1.00
64,Germany,Hungary,1995,1.00
65,Germany,Hungary,2017,1.00
66,Germany,Ireland,1999,1.00
67,Germany,Italy,1981,1.00
68,Germany,Italy,1990,1.00
69,Germany,Italy,1993,1.00
70,Germany,Italy,1995,1.00
71,Germany,Italy,1997,1.00
72,Germany,Italy,1998,1.00
73,Germany,Italy,2002,1.00
74,Germany,Italy,2003,1.00
75,Germany,Italy,2008,1.00
76,Germany,Italy,2012,1.00
77,Germany,Kazakhstan,2010,1.00
78,Germany,Latvia,1992,1.00
79,Germany,Latvia,1993,2.00
80,Germany,Latvia,1995,1.00
81,Germany,Latvia,2008,1.00
82,Germany,Lithuania,1993,1.00
83,Germany,Lithuania,1999,1.00
84,Germany,Lithuania,2000,1.00
85,Germany,Lithuania,2002,2.00
86,Germany,Lithuania,2005,1.00
87,Germany,Lithuania,2015,2.00
88,Germany,Lithuania,2016,1.00
89,Germany,Luxembourg,2008,1.00
90,Germany,Macedonia,1999,1.00
91,Germany,Malta,1997,1.00
92,Germany,Netherlands,1990,2.00
93,Germany,Netherlands,1995,2.00
94,Germany,Netherlands,2002,3.00
95,Germany,Netherlands,2003,1.00
96,Germany,Netherlands,2004,1.00
97,Germany,Netherlands,2006,2.00
98,Germany,Netherlands,2007,1.00
99,Germany,Netherlands,2008,1.00
100,Germany,Netherlands,2013,1.00
101,Germany,Netherlands,2015,1.00
102,Germany,Norway,1982,1.00
103,Germany,Norway,1989,1.00
104,Germany,Norway,1991,1.00
105,Germany,Norway,1993,1.00
106,Germany,Norway,1995,1.00
107,Germany,Norway,1999,1.00
108,Germany,Norway,2003,1.00
109,Germany,Norway,2005,1.00
110,Germany,Norway,2010,1.00
111,Germany,Norway,2012,1.00
112,Germany,Norway,2015,1.00
113,Germany,Poland,1991,2.00
114,Germany,Poland,1995,1.00
115,Germany,Poland,2002,10.00
116,Germany,Poland,2013,4.00
117,Germany,Poland,2014,1.00
118,Germany,Portugal,1993,2.00
119,Germany,Portugal,2004,1.00
120,Germany,Romania,1998,1.00
121,Germany,Romania,2007,1.00
122,Germany,Slovenia,2000,1.00
123,Germany,Spain,1987,1.00
124,Germany,Spain,1992,1.00
125,Germany,Spain,1993,1.00
126,Germany,Spain,1995,3.00
127,Germany,Spain,1998,2.00
128,Germany,Spain,1999,1.00
129,Germany,Spain,2001,1.00
130,Germany,Spain,2003,2.00
131,Germany,Spain,2004,3.00
132,Germany,Spain,2005,1.00
133,Germany,Spain,2006,1.00
134,Germany,Spain,2007,1.00
135,Germany,Spain,2008,1.00
136,Germany,Spain,2009,2.00
137,Germany,Spain,2010,1.00
138,Germany,Spain,2013,1.00
139,Germany,Spain,2014,1.00
140,Germany,Spain,2015,2.00
141,Germany,Sweden,1985,1.00
142,Germany,Sweden,1991,1.00
143,Germany,Sweden,1992,2.00
144,Germany,Sweden,1993,2.00
145,Germany,Sweden,1994,4.00
146,Germany,Sweden,1995,1.00
147,Germany,Sweden,1999,1.00
148,Germany,Sweden,2001,1.00
149,Germany,Sweden,2004,1.00
150,Germany,Sweden,2008,1.00
151,Germany,Switzerland,1984,1.00
152,Germany,Switzerland,1995,1.00
153,Germany,Switzerland,2001,1.00
154,Germany,Switzerland,2002,1.00
155,Germany,Switzerland,2006,1.00
156,Germany,Switzerland,2007,2.00
157,Germany,Switzerland,2012,1.00
158,Germany,Turkey,1985,1.00
159,Germany,Turkey,1986,1.00
160,Germany,Turkey,1987,1.00
161,Germany,Turkey,1989,2.00
162,Germany,Turkey,1990,5.00
163,Germany,Turkey,1991,10.00
164,Germany,Turkey,1992,2.00
165,Germany,Turkey,1993,4.00
166,Germany,Turkey,1994,1.00
167,Germany,Turkey,1995,3.00
168,Germany,Turkey,1998,1.00
169,Germany,Turkey,1999,2.00
170,Germany,Turkey,2000,1.00
171,Germany,Turkey,2001,1.00
172,Germany,Turkey,2003,1.00
173,Germany,Turkey,2004,1.00
174,Germany,Turkey,2005,2.00
175,Germany,Turkey,2008,2.00
176,Germany,Turkey,2009,1.00
177,Germany,Turkmenistan,2014,1.00
178,Germany,United Kingdom,1992,1.00
179,Germany,United Kingdom,1993,1.00
180,Germany,United Kingdom,1998,1.00
181,Germany,United Kingdom,1999,2.00
182,Germany,United Kingdom,2000,1.00
183,Germany,United Kingdom,2001,1.00
184,Germany,United Kingdom,2005,1.00
185,Germany,United Kingdom,2009,1.00
186,Germany,United Kingdom,2014,1.00
187,Germany,United Kingdom,2015,5.00
188,Germany,United Kingdom,2016,1.00
