year,target_country,super_power,allequal_model,security_model,economic_model,diplomatic_model,informational_model,sec_hierarchy,econ_hierarchy,diplo_hierarchy,info_hierarchy,arms_sales,defense_pacts,military_bases,export_dep,import_dep,fdi_dep,pfi_scores,dsp_scores,unga_voting,HOS_meetings
1991,Afghanistan,China,NA,NA,NA,NA,NA,0,NA,0.9,NA,0,0,0,NA,NA,NA,NA,NA,0.9,NA
1992,Afghanistan,China,NA,NA,NA,NA,NA,0,NA,0.85,NA,0,0,0,NA,NA,NA,NA,NA,0.85,NA
1993,Afghanistan,China,NA,NA,NA,NA,NA,0,NA,0.88,NA,0,0,0,NA,NA,NA,NA,NA,0.88,NA
1994,Afghanistan,China,NA,NA,NA,NA,NA,0,NA,0.85,NA,0,0,0,NA,NA,NA,NA,NA,0.85,NA
1995,Afghanistan,China,NA,NA,NA,NA,NA,0,0.02,0.9,NA,0,0,0,0,0.04,NA,NA,NA,0.9,NA
1996,Afghanistan,China,NA,NA,NA,NA,NA,0,0.06,0.88,NA,0,0,0,0.04,0.07,NA,NA,NA,0.88,NA
1997,Afghanistan,China,NA,NA,NA,NA,NA,0,0.04,0.86,NA,0,0,0,0,0.07,NA,NA,NA,0.86,NA
1998,Afghanistan,China,NA,NA,NA,NA,NA,0,0.04,0.78,NA,0,0,0,0,0.07,NA,NA,NA,0.78,NA
1999,Afghanistan,China,NA,NA,NA,NA,NA,0,0.05,0.8,NA,0,0,0,0.04,0.07,NA,NA,NA,0.8,NA
2000,Afghanistan,China,NA,NA,NA,NA,NA,0,0.05,0.91,NA,0,0,0,0.05,0.05,NA,NA,NA,0.91,NA
2001,Afghanistan,China,NA,NA,NA,NA,NA,0,0.02,0.8,NA,0,0,0,0,0.05,NA,NA,NA,0.8,NA
2002,Afghanistan,China,0.41,0.27,0.28,0.55,0.54,0,0.01,0.82,0.81,0,0,0,0,0.02,NA,0.81,NA,0.82,NA
2003,Afghanistan,China,0.33,0.22,0.22,0.37,0.5,0,0.01,0.45,0.85,0,0,0,0,0.02,NA,0.85,NA,0.9,0
2004,Afghanistan,China,0.34,0.23,0.23,0.46,0.44,0,0.02,0.7,0.64,0,0,0,0.01,0.03,NA,0.64,NA,0.91,0.5
2005,Afghanistan,China,0.32,0.21,0.22,0.36,0.48,0,0.01,0.46,0.81,0,0,0,0.01,0.01,NA,0.81,NA,0.91,0
2006,Afghanistan,China,0.38,0.25,0.26,0.48,0.53,0,0.02,0.69,0.82,0,0,0,0,0.03,NA,0.82,NA,0.88,0.5
2007,Afghanistan,China,0.4,0.27,0.28,0.51,0.56,0,0.03,0.71,0.88,0,0,0,0.01,0.05,NA,0.88,NA,0.92,0.5
2008,Afghanistan,China,0.35,0.23,0.24,0.38,0.55,0,0.02,0.44,0.94,0,0,0,0.01,0.04,NA,0.94,NA,0.88,0
2009,Afghanistan,China,0.34,0.23,0.23,0.38,0.52,0,0.02,0.46,0.89,0,0,0,0,0.04,0,0.89,NA,0.92,0
2010,Afghanistan,China,0.4,0.27,0.27,0.51,0.56,0,0.01,0.72,0.87,0,0,0,0.01,0.04,0,0.87,NA,0.94,0.5
2011,Afghanistan,China,NA,NA,NA,NA,NA,0,0.01,0.43,NA,0,0,0,0.01,0.02,0,NA,NA,0.86,0
2012,Afghanistan,China,0.39,0.26,0.27,0.49,0.55,0,0.03,0.67,0.87,0,0,0,0.01,0.07,0,0.87,NA,0.85,0.5
2013,Afghanistan,China,0.37,0.25,0.25,0.48,0.5,0,0.02,0.7,0.75,0,0,0,0.02,0.05,0,0.75,NA,0.9,0.5
2014,Afghanistan,China,0.43,0.29,0.3,0.6,0.54,0,0.05,0.95,0.74,0,0,0,0.03,0.11,0,0.74,NA,0.89,1
2015,Afghanistan,China,0.34,0.23,0.24,0.44,0.46,0,0.03,0.64,0.7,0,0,0,0.02,0.08,0,0.7,NA,0.78,0.5
2016,Afghanistan,China,0.34,0.23,0.24,0.44,0.46,0,0.03,0.65,0.69,0,0,0,0,0.09,0,0.69,NA,0.8,0.5
2017,Afghanistan,China,0.27,0.18,0.19,0.3,0.41,0,0.04,0.36,0.69,0,0,0,0,0.1,0,0.69,NA,0.73,0
2018,Afghanistan,China,NA,NA,NA,NA,NA,0,NA,0.67,0.64,0,0,0,NA,NA,NA,0.68,0.61,0.84,0.5
1991,Afghanistan,India,NA,NA,NA,NA,NA,0,NA,0.94,NA,0,0,0,NA,NA,NA,NA,NA,0.94,NA
1992,Afghanistan,India,NA,NA,NA,NA,NA,0,NA,0.83,NA,0,0,0,NA,NA,NA,NA,NA,0.83,NA
1993,Afghanistan,India,NA,NA,NA,NA,NA,0,NA,0.85,NA,0,0,0,NA,NA,NA,NA,NA,0.85,NA
1994,Afghanistan,India,NA,NA,NA,NA,NA,0,NA,0.77,NA,0,0,0,NA,NA,NA,NA,NA,0.77,NA
1995,Afghanistan,India,NA,NA,NA,NA,NA,0,0.1,0.79,NA,0,0,0,0.12,0.07,NA,NA,NA,0.79,NA
1996,Afghanistan,India,NA,NA,NA,NA,NA,0,0.03,0.76,NA,0,0,0,0.03,0.03,NA,NA,NA,0.76,NA
1997,Afghanistan,India,NA,NA,NA,NA,NA,0,0.08,0.75,NA,0,0,0,0.1,0.06,NA,NA,NA,0.75,NA
1998,Afghanistan,India,NA,NA,NA,NA,NA,0,0.13,0.66,NA,0,0,0,0.23,0.04,NA,NA,NA,0.66,NA
1999,Afghanistan,India,NA,NA,NA,NA,NA,0,0.13,0.92,NA,0,0,0,0.19,0.06,NA,NA,NA,0.92,NA
2000,Afghanistan,India,NA,NA,NA,NA,NA,0,0.15,0.88,NA,0,0,0,0.23,0.06,NA,NA,NA,0.88,NA
2001,Afghanistan,India,NA,NA,NA,NA,NA,0,0.17,0.76,NA,0,0,0,0.29,0.06,NA,NA,NA,0.76,NA
2002,Afghanistan,India,0.44,0.29,0.35,0.54,0.58,0,0.17,0.73,0.87,0,0,0,0.26,0.07,NA,0.87,NA,0.73,NA
2003,Afghanistan,India,0.5,0.33,0.37,0.63,0.65,0,0.12,0.89,0.97,0,0,0,0.17,0.07,NA,0.97,NA,0.78,1
2004,Afghanistan,India,0.49,0.33,0.39,0.62,0.62,0,0.2,0.89,0.87,0,0,0,0.3,0.09,NA,0.87,NA,0.79,1
2005,Afghanistan,India,0.47,0.32,0.36,0.6,0.61,0,0.15,0.86,0.89,0,0,0,0.25,0.04,NA,0.89,NA,0.71,1
2006,Afghanistan,India,0.47,0.31,0.36,0.61,0.6,0,0.14,0.88,0.86,0,0,0,0.23,0.05,NA,0.86,NA,0.76,1
2007,Afghanistan,India,0.48,0.32,0.37,0.63,0.62,0,0.15,0.91,0.88,0,0,0,0.23,0.06,NA,0.88,NA,0.82,1
2008,Afghanistan,India,0.47,0.31,0.39,0.61,0.58,0,0.21,0.89,0.79,0,0,0,0.36,0.07,NA,0.79,NA,0.77,1
2009,Afghanistan,India,0.37,0.24,0.28,0.45,0.49,0,0.09,0.63,0.75,0,0,0,0.12,0.07,NA,0.75,NA,0.75,0.5
2010,Afghanistan,India,0.46,0.3,0.34,0.59,0.59,0,0.11,0.86,0.86,0,0,0,0.3,0.03,0,0.86,NA,0.72,1
2011,Afghanistan,India,NA,NA,NA,NA,NA,0,0.11,0.86,NA,0,0,0,0.27,0.04,0,NA,NA,0.71,1
2012,Afghanistan,India,0.51,0.39,0.37,0.63,0.63,0.17,0.09,0.87,0.89,0.5,0,0,0.22,0.05,0,0.89,NA,0.75,1
2013,Afghanistan,India,0.5,0.33,0.38,0.64,0.64,0,0.14,0.92,0.93,0,0,0,0.33,0.07,0.02,0.93,NA,0.83,1
2014,Afghanistan,India,0.44,0.29,0.34,0.51,0.6,0,0.14,0.67,0.93,0,0,0,0.32,0.07,0.05,0.93,NA,0.83,0.5
2015,Afghanistan,India,0.52,0.4,0.39,0.64,0.66,0.17,0.13,0.88,0.92,0.5,0,0,0.32,0.07,0,0.92,NA,0.75,1
2016,Afghanistan,India,0.48,0.32,0.39,0.6,0.63,0,0.19,0.82,0.93,0,0,0,0.33,0.06,0.18,0.93,NA,0.63,1
2017,Afghanistan,India,0.44,0.29,0.37,0.48,0.59,0,0.25,0.58,0.91,0,0,0,0.47,0.12,0.17,0.91,NA,0.65,0.5
2018,Afghanistan,India,NA,NA,NA,NA,NA,0,NA,0.42,0.75,0,0,0,NA,NA,NA,0.89,0.61,0.84,0
1991,Afghanistan,Russia,NA,NA,NA,NA,NA,0,NA,0.55,NA,0,0,0,NA,NA,NA,NA,NA,0.55,NA
1992,Afghanistan,Russia,NA,NA,NA,NA,NA,0,NA,0.48,NA,0,0,0,NA,NA,NA,NA,NA,0.48,NA
1993,Afghanistan,Russia,NA,NA,NA,NA,NA,0,NA,0.44,NA,0,0,0,NA,NA,NA,NA,NA,0.44,NA
1994,Afghanistan,Russia,NA,NA,NA,NA,NA,0,NA,0.44,NA,0,0,0,NA,NA,NA,NA,NA,0.44,NA
1995,Afghanistan,Russia,NA,NA,NA,NA,NA,0,NA,0.51,NA,0,0,0,NA,NA,NA,NA,NA,0.51,NA
1996,Afghanistan,Russia,NA,NA,NA,NA,NA,0,0.07,0.6,NA,0,0,0,0.08,0.05,NA,NA,NA,0.6,NA
1997,Afghanistan,Russia,NA,NA,NA,NA,NA,0,0.06,0.64,NA,0,0,0,0.07,0.05,NA,NA,NA,0.64,NA
1998,Afghanistan,Russia,NA,NA,NA,NA,NA,0,0.02,0.59,NA,0,0,0,0,0.04,NA,NA,NA,0.59,NA
1999,Afghanistan,Russia,NA,NA,NA,NA,NA,0,0.07,0.64,NA,0,0,0,0.09,0.05,NA,NA,NA,0.64,NA
2000,Afghanistan,Russia,NA,NA,NA,NA,NA,0,0.04,0.88,NA,0,0,0,0.05,0.03,NA,NA,NA,0.88,NA
2001,Afghanistan,Russia,NA,NA,NA,NA,NA,0,0.03,0.65,NA,0,0,0,0.04,0.02,NA,NA,NA,0.65,NA
2002,Afghanistan,Russia,0.51,0.45,0.36,0.58,0.64,0.33,0.06,0.72,0.91,1,0,0,0.08,0.04,NA,0.91,NA,0.72,NA
2003,Afghanistan,Russia,0.4,0.27,0.28,0.49,0.58,0,0.04,0.66,0.92,0,0,0,0.04,0.04,NA,0.92,NA,0.81,0.5
2004,Afghanistan,Russia,0.37,0.36,0.26,0.37,0.5,0.33,0.03,0.37,0.76,1,0,0,0.02,0.04,NA,0.76,NA,0.74,0
2005,Afghanistan,Russia,0.32,0.21,0.22,0.33,0.52,0,0.02,0.34,0.93,0,0,0,0.02,0.03,NA,0.93,NA,0.67,0
2006,Afghanistan,Russia,0.46,0.3,0.32,0.59,0.61,0,0.04,0.87,0.91,0,0,0,0.05,0.02,NA,0.91,NA,0.75,1
2007,Afghanistan,Russia,0.41,0.27,0.28,0.48,0.6,0,0.03,0.63,0.99,0,0,0,0.02,0.04,NA,0.99,NA,0.75,0.5
2008,Afghanistan,Russia,0.39,0.26,0.27,0.46,0.57,0,0.03,0.61,0.92,0,0,0,0.04,0.03,NA,0.92,NA,0.72,0.5
2009,Afghanistan,Russia,0.55,0.48,0.37,0.66,0.7,0.33,0.02,0.88,0.98,1,0,0,0.01,0.04,0,0.98,NA,0.76,1
2010,Afghanistan,Russia,0.51,0.4,0.35,0.63,0.66,0.17,0.03,0.88,0.96,0.5,0,0,0.04,0.06,0,0.96,NA,0.76,1
2011,Afghanistan,Russia,NA,NA,NA,NA,NA,0.17,0.04,0.9,NA,0.5,0,0,0.05,0.06,0,NA,NA,0.8,1
2012,Afghanistan,Russia,0.4,0.26,0.28,0.46,0.58,0,0.03,0.59,0.96,0,0,0,0.02,0.08,0,0.96,NA,0.68,0.5
2013,Afghanistan,Russia,0.42,0.33,0.29,0.47,0.57,0.17,0.02,0.58,0.89,0.5,0,0,0.02,0.05,0,0.89,NA,0.67,0.5
