CountryName,CODE,ae_usa,ae_rus,ae_chn,sec_usa,sec_rus,sec_chn,eco_usa,eco_rus,eco_chn,dip_usa,dip_rus,dip_chn,inf_usa,inf_rus,inf_chn,ae_ger,sec_ger,eco_ger,dip_ger,inf_ger
Albania,ALB,0.270774554,0.015758542,0.029450133,0.402738592,0.010505695,0.019633422,0.18166713,0.007201128,0.029182423,0.284005536,0.000651061,0.029147155,0.214686959,0.044676284,0.039837531,0.063722225,0.153592595,0.040083621,0.055324113,0.005888572
Armenia,ARM,-0.013665635,0.092323784,-0.021028478,-0.009110424,0.172660301,-0.014018985,-0.030831576,0.112859153,0.002555832,-0.001117007,0.026719606,-0.031292652,-0.013603536,0.057056078,-0.041358107,-0.008372998,-0.005581999,-0.010125561,-0.026762754,0.008978321
Austria,AUT,-0.001207052,-0.020462376,-0.025670082,-0.000804702,-0.013641584,-0.017113388,-0.001570761,-0.002141026,-0.015302491,0.003697448,-0.047079818,-0.033839088,-0.006150195,-0.018987078,-0.036425362,-0.097516349,-0.176122011,-0.080466133,-0.07056965,-0.062907603
Azerbaijan,AZE,-0.052831313,0.101433046,0.015862687,-0.035220875,0.06762203,0.010575125,-0.038728582,0.061148936,0.014396363,-0.105110342,0.206383764,-0.005393775,-0.032265453,0.070577453,0.043873036,-0.019720948,-0.013147298,-0.022554711,0.006500008,-0.049681789
Belarus,BLR,0.009040278,0.074885057,-0.009433355,0.006026852,0.161034482,-0.006288903,0.002338607,0.05100007,0.001659452,0.013149352,0.028962854,-0.020228003,0.0146463,0.05854282,-0.012875964,-0.030810876,-0.020540584,-0.032472547,-0.060793603,-0.009436769
Belgium,BEL,0.079228264,-0.010111775,-0.004334579,0.052818843,-0.006741183,-0.002889719,0.050558536,-0.005437992,-0.002135069,0.156525193,-0.025718383,0.000351031,0.057010484,-0.002549542,-0.012664558,-0.021563633,-0.014375756,-0.039199235,-0.015046639,-0.017632903
Bosnia-Herzegovina,BIH,0.035597757,0.011119261,0.011581643,0.023731838,0.007412841,0.007721095,0.024983189,0.020781482,0.013095125,0.044520621,-0.016553659,0.006332195,0.049155379,0.032836382,0.019178156,-0.020065304,-0.013376869,-0.024311671,-0.009926611,-0.032646066
Bulgaria,BGR,0.23881546,-0.079097882,0.049880234,0.381432529,-0.052731921,0.033253489,0.155511646,-0.052175883,0.034757012,0.180671623,-0.237187538,0.033787689,0.237646042,0.025703814,0.097722744,0.047804419,0.142980724,0.032527574,0.037620044,-0.021910667
Croatia,HRV,0.134702497,-0.040575292,-0.031123177,0.200912775,-0.027050194,-0.020748785,0.085253919,-0.029388846,-0.021032303,0.201338781,-0.040314778,-0.021603485,0.05130451,-0.065547348,-0.061108136,0.046070814,0.141824987,0.027894708,0.040968811,-0.026405252
Cyprus,CYP,-0.041149055,0.021167701,-0.06311166,-0.027432704,0.014111801,-0.04207444,-0.038251386,0.048638428,-0.041140264,-0.01707342,0.062214784,-0.058785007,-0.081838712,-0.040294208,-0.110446929,0.03157665,0.0210511,0.008634683,0.023830475,0.072790343
Czech,CZE,0.134092484,0.084554158,0.062796499,0.2005061,0.056369439,0.041864332,0.087414282,0.056305776,0.042369248,0.116320773,0.126438189,0.127059699,0.13212878,0.09910323,0.039892715,-0.018725378,-0.012483585,-0.043789958,-0.005103865,-0.013524104
Denmark,DNK,-0.062131008,-0.013709667,0.055643366,-0.152531783,-0.009139778,0.037095578,-0.035891795,-0.009117857,0.042435123,-0.019019238,-0.027780711,0.119574211,-0.041081215,-0.008800321,0.023468554,-0.056337952,-0.09311419,-0.060936835,-0.026632815,-0.044667967
Estonia,EST,0.189552646,-0.044952395,-0.010442325,0.237479542,-0.029968263,-0.00696155,0.121461948,-0.031240857,-0.008397441,0.237096597,-0.124436263,-0.0030895,0.162172498,0.005835804,-0.023320808,0.073898765,0.160376955,0.034287171,0.05405787,0.046873066
Finland,FIN,0.065342027,0.103220998,-0.014582196,0.043561351,0.068813999,-0.009721464,0.035997845,0.064088488,-0.01002802,0.136060918,0.208980865,-0.017077997,0.045747993,0.071000641,-0.021501303,-0.018907954,-0.012605302,-0.01606919,-0.029089872,-0.01786745
France,FRA,-0.054557138,-0.006769834,0.005891049,-0.147482537,-0.004513223,0.003927366,-0.031550432,-0.009015418,0.007412578,-0.017270109,-0.023483423,0.007817416,-0.021925476,0.009932727,0.004406835,0.003372086,0.002248057,-0.005030558,0.016336614,-6.58E-05
Georgia,GEO,0.085454387,-0.170478176,-0.010378348,0.168080702,-0.224763228,-0.006918899,0.045082662,-0.117265575,0.012966106,0.067701125,-0.230215251,-0.014113665,0.060953059,-0.109668649,-0.033446934,-0.060057897,-0.151149709,-0.044995186,-0.015695106,-0.028391587
Germany,DEU,0.082715648,-0.068011083,-0.060856431,0.055143765,-0.045340722,-0.040570954,0.053026228,-0.046879899,-0.036579632,0.161118932,-0.140912888,-0.118167604,0.061573666,-0.038910821,-0.048107534,0,0,0,0,0
Greece,GRC,0.115065888,0.087859543,0.094085856,0.076710592,0.058573029,0.062723904,0.068571017,0.056600843,0.065218967,0.182642059,0.122061979,0.144013838,0.132339884,0.114202321,0.104386716,0.043795236,0.140307935,0.024434397,0.024308957,-0.013870345
