"","year","Albania","Andorra","Armenia","Austria","Azerbaijan","Belarus","Belgium","Bosnia and Herzegovina","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","German Federal Republic","Greece","Hungary","Iceland","Ireland","Italy","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Luxembourg","Macedonia","Malta","Moldova","Montenegro","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","Tajikistan","Turkey","Turkmenistan","Ukraine","United Kingdom","Uzbekistan"
"1",1991,0.5072464,NA,1,0.5507246,1,0.6792453,0.4492754,1,0.4492754,NA,0.8823529,NA,0.5217391,0.5357143,0.5507246,0.4264706,NA,0.4347826,0.6086957,0.4923077,0.5217391,0.5571429,0.4637681,NA,NA,0.5438596,0.5294118,0.4637681,NA,0.7391304,NA,NA,0.4492754,0.5362319,0.4927536,0.5,0.4558824,NA,NA,0.5797101,0.5652174,NA,NA,0.6811594,NA,0.7714286,0.3768116,NA
"2",1992,0.4615385,NA,0.6666667,0.4714286,0.704918,0.6323529,0.4428571,0.8571429,0.4492754,0.2352941,0.826087,NA,0.4857143,0.4545455,0.4714286,0.4714286,NA,0.4428571,0.5428571,0.4264706,0.4857143,0.5072464,0.4428571,0.6166667,0.4615385,0.4925373,0.4925373,0.4428571,NA,0.5942029,0.4626866,NA,0.4428571,0.5,0.4637681,0.4857143,0.4492754,NA,0.4259259,0.5428571,0.5142857,NA,0.8421053,0.5714286,0.8333333,0.6714286,0.4,NA
"3",1993,0.4054054,0.4782609,0.6393443,0.4754098,0.7358491,0.6557377,0.4354839,0.8214286,0.442623,0.3846154,0.7903226,0.4354839,0.4677419,0.4561404,0.4516129,0.4262295,0.3191489,0.4032258,0.5483871,0.442623,0.4516129,0.4754098,0.4193548,0.5932203,0.5483871,0.4385965,0.4464286,0.4193548,0.559322,0.5666667,0.4310345,NA,0.4193548,0.4754098,0.4516129,0.4516129,0.440678,0.4098361,0.440678,0.5245902,0.5,NA,0.7368421,0.5666667,0.7857143,0.7258065,0.3387097,NA
"4",1994,0.5272727,0.5555556,0.6666667,0.5454545,0.7457627,0.6515152,0.5151515,0.75,0.5076923,0.559322,0.7878788,0.5076923,0.5454545,0.483871,0.530303,0.4615385,0.4603175,0.4923077,0.5909091,0.4848485,0.5230769,0.5606061,0.5,0.59375,0.68,0.4516129,0.4464286,0.5151515,0.5,0.5909091,0.5079365,NA,0.4923077,0.5454545,0.5,0.5454545,0.5230769,0.5254237,0.5,0.5909091,0.5757576,NA,0.5789474,0.6,0.7674419,0.6,0.4153846,0.6538462
"5",1995,0.5972222,0.546875,0.6578947,0.5769231,0.7647059,0.6794872,0.3846154,0.7118644,0.5641026,0.5616438,0.7820513,0.5324675,0.5769231,0.5342466,0.5512821,0.3766234,0.3733333,0.5384615,0.474359,0.5211268,0.5769231,0.5897436,0.5454545,0.6538462,0.5641026,0.3076923,0.5324675,0.5641026,0.5526316,0.6153846,0.5479452,NA,0.525641,0.5416667,0.5263158,0.5769231,0.5324675,0.5512821,0.5066667,0.5897436,0.5769231,NA,0.4333333,0.6103896,0.9166667,0.6666667,0.3333333,0.173913
"6",1996,0.5606061,0.5277778,0.6376812,0.5675676,0.703125,0.6027397,0.5205479,0.6229508,0.527027,0.5217391,0.5675676,0.527027,0.5135135,0.4722222,0.5,0.4931507,0.5294118,0.5135135,0.5714286,0.5205479,0.5352113,0.5810811,0.5405405,0.6027397,0.5862069,0.4492754,0.4520548,0.5135135,0.5753425,0.7083333,0.4852941,NA,0.4931507,0.5135135,0.5479452,0.5342466,0.5342466,0.5479452,0.5277778,0.5342466,0.5675676,NA,0.5121951,0.6164384,0.75,0.6027397,0.472973,0.4814815
"7",1997,0.5294118,0.4810127,0.5512821,0.5,0.7297297,0.6585366,0.4756098,NA,0.4320988,0.5063291,0.5731707,0.5,0.5,0.4814815,0.4878049,0.4146341,0.5131579,0.4756098,0.5,0.5,0.4878049,0.5121951,0.4878049,0.6707317,0.6447368,0.4625,0.4756098,0.4875,0.525,0.7,0.4935065,NA,0.4756098,0.4878049,0.4878049,0.4878049,0.5,0.5121951,0.5,0.4878049,0.5121951,NA,0.6666667,0.6329114,0.6046512,0.6341463,0.4146341,0.5106383
"8",1998,0.5294118,0.5324675,0.6891892,0.5194805,0.7794118,0.7792208,0.5194805,NA,0.5,0.56,0.5844156,0.5131579,0.5324675,0.4545455,0.5194805,0.4,0.6164384,0.5194805,0.5324675,0.4805195,0.5263158,0.5324675,0.5324675,0.7105263,0.6714286,0.4864865,0.4935065,0.5194805,0.5540541,0.6493506,0.5405405,NA,0.5194805,0.5194805,0.5194805,0.5324675,0.5131579,0.5194805,0.5263158,0.5324675,0.5324675,NA,0.7454545,0.5866667,0.6969697,0.6623377,0.4025974,0.3461538
"9",1999,0.469697,0.4606742,0.6883117,0.4494382,0.76,0.7674419,0.4494382,0.4067797,0.4186047,0.5116279,0.494382,0.4606742,0.4606742,0.4204545,0.4606742,0.3678161,0.4883721,0.4494382,0.4606742,0.4382022,0.4545455,0.4719101,0.4606742,0.6388889,NA,0.4186047,0.4494382,0.4494382,0.5747126,0.5168539,0.4705882,NA,0.4494382,0.4494382,0.4494382,0.4606742,0.4494382,0.4606742,0.4545455,0.4606742,0.4606742,NA,0.7721519,0.617284,0.775,0.6477273,0.3409091,0.4482759
"10",2000,0.3488372,0.5394737,0.72,0.5333333,0.7777778,0.8333333,0.5263158,0.5365854,0.5394737,0.5263158,0.6315789,0.5394737,0.5394737,0.4861111,0.5263158,0.4594595,0.5479452,0.5394737,0.5394737,0.5263158,0.5394737,0.5789474,0.5466667,0.6666667,0.7571429,0.4931507,0.52,0.5263158,0.527027,0.6184211,0.5694444,NA,0.5263158,0.5526316,0.5394737,0.5526316,0.5394737,0.5394737,0.5394737,0.5394737,0.5526316,NA,0.6888889,0.630137,0.72,0.6710526,0.4473684,0.5555556
