"","year","Albania","Andorra","Armenia","Austria","Azerbaijan","Belarus","Belgium","Bosnia and Herzegovina","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","German Federal Republic","Greece","Hungary","Iceland","Ireland","Italy","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Luxembourg","Macedonia","Malta","Moldova","Montenegro","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","Tajikistan","Turkey","Turkmenistan","Ukraine","United Kingdom","Uzbekistan"
"1",1991,0.6428571,NA,NA,0.6197183,NA,0.875,0.4788732,NA,0.5211268,NA,0.5571429,NA,0.5492958,0.6206897,0.6056338,0.4571429,NA,0.4647887,0.6197183,0.5820896,0.5492958,0.6197183,0.5211268,NA,NA,0.5423729,0.5633803,0.5070423,NA,0.6571429,NA,NA,0.4714286,0.5571429,0.5352113,0.5492958,0.5,NA,NA,0.6056338,0.5915493,NA,NA,0.5774648,NA,0.7464789,0.3521127,NA
"2",1992,0.5641026,NA,0.6875,0.7123288,0.578125,0.6619718,0.6986301,0.4047619,0.7083333,0.7647059,0.4444444,NA,0.739726,0.6666667,0.7534247,0.6527778,NA,0.6986301,0.6849315,0.7183099,0.739726,0.7222222,0.6986301,0.7301587,0.8666667,0.6714286,0.6857143,0.6986301,NA,0.6666667,0.6571429,NA,0.6986301,0.7260274,0.7083333,0.7123288,0.6805556,NA,0.7192982,0.6575342,0.739726,NA,0.7142857,0.6027397,0.7857143,0.6575342,0.5890411,NA
"3",1993,0.6842105,0.64,0.6666667,0.7142857,0.5272727,0.6190476,0.6875,0.4642857,0.6984127,0.7804878,0.46875,0.71875,0.75,0.6779661,0.6875,0.5967742,0.7346939,0.703125,0.671875,0.6984127,0.71875,0.7142857,0.703125,0.6229508,0.6363636,0.7288136,0.7413793,0.703125,0.6721311,0.6451613,0.6666667,NA,0.71875,0.7142857,0.734375,0.71875,0.7377049,0.7142857,0.704918,0.6666667,0.71875,NA,0.7142857,0.5967742,0.7241379,0.546875,0.625,NA
"4",1994,0.7017544,0.6071429,0.6461538,0.6764706,0.5245902,0.7352941,0.6617647,0.5625,0.6567164,0.6721311,0.5,0.641791,0.6911765,0.671875,0.6470588,0.5,0.7384615,0.6567164,0.6617647,0.6323529,0.7014925,0.6617647,0.6176471,0.6060606,0.4423077,0.6875,0.6551724,0.6617647,0.65625,0.6323529,0.6153846,NA,0.6567164,0.6764706,0.6323529,0.6617647,0.6268657,0.6393443,0.6666667,0.6470588,0.6764706,NA,0.779661,0.5522388,0.5777778,0.6716418,0.5223881,0.6111111
"5",1995,0.7066667,0.7761194,0.7594937,0.7160494,0.6478873,0.7160494,0.5679012,0.7,0.7530864,0.7368421,0.6049383,0.7375,0.7160494,0.75,0.7037037,0.5189873,0.6153846,0.7283951,0.5802469,0.7432432,0.691358,0.7160494,0.725,0.7037037,0.5,0.5735294,0.75,0.7037037,0.7088608,0.6790123,0.7368421,NA,0.691358,0.6933333,0.7594937,0.7283951,0.7625,0.7407407,0.7435897,0.7407407,0.7160494,NA,0.75,0.6375,0.8461538,0.691358,0.4938272,0.6521739
"6",1996,0.6461538,0.6478873,0.7205882,0.6712329,0.6984127,0.7361111,0.7083333,0.65,0.6575342,0.6764706,0.6712329,0.6712329,0.6712329,0.6056338,0.6849315,0.7083333,0.7014925,0.6986301,0.7857143,0.6944444,0.6857143,0.6712329,0.6849315,0.75,0.6842105,0.6764706,0.6111111,0.7123288,0.6666667,0.6619718,0.6268657,NA,0.6944444,0.6438356,0.6944444,0.6805556,0.6944444,0.6805556,0.6760563,0.6666667,0.6575342,NA,0.7073171,0.625,0.5,0.6805556,0.6712329,0.5471698
"7",1997,0.7042254,0.7142857,0.7261905,0.6818182,0.7922078,0.7272727,0.7386364,NA,0.6666667,0.6941176,0.6590909,0.7045455,0.7045455,0.6666667,0.6931818,0.7159091,0.7439024,0.7272727,0.7159091,0.7209302,0.7045455,0.6818182,0.7272727,0.7272727,0.6585366,0.6860465,0.6931818,0.7325581,0.7325581,0.6744186,0.7228916,NA,0.7272727,0.6704545,0.7159091,0.7159091,0.6931818,0.7045455,0.7209302,0.7272727,0.6931818,NA,0.704918,0.6941176,0.7272727,0.7386364,0.6818182,0.5686275
"8",1998,0.6571429,0.6962025,0.6883117,0.675,0.7183099,0.75,0.7,NA,0.6962025,0.6962025,0.675,0.7088608,0.675,0.675,0.6875,0.6835443,0.7631579,0.7,0.6875,0.6875,0.6625,0.675,0.6875,0.721519,0.6621622,0.6883117,0.6875,0.7,0.6753247,0.725,0.6973684,NA,0.7,0.6625,0.7,0.6875,0.7088608,0.7,0.6875,0.7,0.675,NA,0.6949153,0.6794872,0.6857143,0.6875,0.65,0.5178571
"9",1999,0.6666667,0.6333333,0.7125,0.6195652,0.6794872,0.752809,0.6304348,0.5322581,0.6590909,0.6741573,0.6086957,0.6304348,0.6413043,0.6304348,0.6195652,0.6153846,0.6067416,0.6304348,0.6413043,0.6413043,0.6333333,0.6521739,0.6413043,0.7333333,NA,0.5842697,0.6304348,0.6304348,0.7222222,0.6086957,0.6363636,NA,0.6304348,0.6195652,0.6521739,0.6413043,0.6521739,0.6413043,0.6373626,0.6413043,0.6413043,NA,0.7160494,0.6904762,0.7142857,0.7142857,0.576087,0.5409836
"10",2000,0.5227273,0.6973684,0.7866667,0.6578947,0.7916667,0.7777778,0.6578947,0.6190476,0.6973684,0.6447368,0.6842105,0.6710526,0.6710526,0.6438356,0.6447368,0.6575342,0.6849315,0.6710526,0.6710526,0.6578947,0.6710526,0.6973684,0.68,0.7681159,0.8571429,0.6575342,0.6533333,0.6578947,0.6756757,0.6447368,0.6944444,NA,0.6578947,0.6842105,0.6710526,0.6842105,0.6710526,0.6710526,0.6710526,0.6973684,0.6710526,NA,0.7608696,0.6849315,0.6923077,0.7368421,0.6184211,0.6756757
