"","year","Albania","Andorra","Armenia","Austria","Azerbaijan","Belarus","Belgium","Bosnia and Herzegovina","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","German Federal Republic","Greece","Hungary","Iceland","Ireland","Italy","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Luxembourg","Macedonia","Malta","Moldova","Montenegro","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","Tajikistan","Turkey","Turkmenistan","Ukraine","United Kingdom","Uzbekistan"
"1",1991,0.2394366,NA,1,0.2638889,1,0.2142857,0.4305556,1,0.3472222,NA,0.1285714,NA,0.3472222,0.3220339,0.3055556,0.4507042,NA,0.4305556,0.2638889,0.3382353,0.3194444,0.2916667,0.4027778,NA,NA,0.35,0.2816901,0.4166667,NA,0.1971831,NA,NA,0.4366197,0.3380282,0.3333333,0.3611111,0.3661972,NA,NA,0.2916667,0.3055556,NA,NA,0.25,NA,0.1805556,0.5555556,NA
"2",1992,0.1538462,NA,0.3125,0.3013699,0.234375,0.2112676,0.369863,0.1666667,0.3333333,0.4411765,0.1666667,NA,0.3287671,0.2898551,0.3013699,0.3888889,NA,0.369863,0.2739726,0.3521127,0.3287671,0.2916667,0.369863,0.2380952,0.2,0.3142857,0.3,0.369863,NA,0.2916667,0.3,NA,0.369863,0.3287671,0.3194444,0.3287671,0.3472222,NA,0.3508772,0.3013699,0.3013699,NA,0.0952381,0.2739726,0.2142857,0.2328767,0.5068493,NA
"3",1993,0.4210526,0.48,0.2539683,0.3650794,0.2181818,0.1904762,0.40625,0.1785714,0.3650794,0.3902439,0.1875,0.40625,0.375,0.2881356,0.359375,0.483871,0.3265306,0.4375,0.328125,0.3650794,0.390625,0.3492063,0.40625,0.2131148,0.2727273,0.3389831,0.3275862,0.40625,0.2295082,0.3225806,0.35,NA,0.421875,0.3809524,0.359375,0.390625,0.3606557,0.3650794,0.3278689,0.3650794,0.359375,NA,0.2380952,0.2741935,0.2068966,0.203125,0.546875,NA
"4",1994,0.3859649,0.4464286,0.3076923,0.4117647,0.295082,0.2794118,0.4411765,0.40625,0.3880597,0.3442623,0.2941176,0.4179104,0.4411765,0.328125,0.4264706,0.5757576,0.3384615,0.4477612,0.4117647,0.4558824,0.4328358,0.3823529,0.4411765,0.2878788,0.2692308,0.40625,0.4137931,0.4411765,0.328125,0.4117647,0.3538462,NA,0.4477612,0.4264706,0.4117647,0.4411765,0.4029851,0.4262295,0.3787879,0.4264706,0.3823529,NA,0.3220339,0.3880597,0.2888889,0.2985075,0.641791,0.2962963
"5",1995,0.3466667,0.4328358,0.3164557,0.382716,0.2535211,0.2592593,0.4074074,0.3666667,0.382716,0.3421053,0.2469136,0.4,0.4074074,0.3815789,0.3950617,0.4556962,0.5128205,0.4197531,0.3580247,0.4459459,0.3950617,0.3703704,0.4125,0.2839506,0.3,0.4558824,0.3875,0.4074074,0.3291139,0.345679,0.3815789,NA,0.4197531,0.4,0.4177215,0.3950617,0.375,0.3950617,0.3846154,0.3950617,0.382716,NA,0.46875,0.375,0.5384615,0.2469136,0.6666667,0.5217391
"6",1996,0.469697,0.4722222,0.3333333,0.4594595,0.25,0.2739726,0.4794521,0.3442623,0.4324324,0.4492754,0.3783784,0.5,0.5,0.4444444,0.5,0.5342466,0.3382353,0.5,0.2142857,0.5068493,0.5070423,0.4459459,0.5,0.3424658,0.2931034,0.4782609,0.4657534,0.5,0.4383562,0.3611111,0.4117647,NA,0.5068493,0.5,0.4794521,0.4931507,0.4657534,0.4794521,0.4861111,0.4794521,0.472973,NA,0.3658537,0.4246575,0.5,0.3287671,0.6081081,0.4074074
"7",1997,0.5211268,0.547619,0.3809524,0.5113636,0.3506494,0.3181818,0.5568182,NA,0.5057471,0.5058824,0.3977273,0.5340909,0.5340909,0.5057471,0.5227273,0.6136364,0.402439,0.5454545,0.5340909,0.5348837,0.5340909,0.5,0.5568182,0.3522727,0.3414634,0.5232558,0.5113636,0.5697674,0.4883721,0.3953488,0.4819277,NA,0.5568182,0.5227273,0.5340909,0.5340909,0.5113636,0.5113636,0.5232558,0.5454545,0.5340909,NA,0.4098361,0.4117647,0.4090909,0.3863636,0.6477273,0.5882353
"8",1998,0.4857143,0.4875,0.2692308,0.4814815,0.3055556,0.2469136,0.4938272,NA,0.5,0.4683544,0.382716,0.5,0.4814815,0.5061728,0.4814815,0.575,0.3246753,0.4938272,0.4814815,0.5308642,0.4625,0.4691358,0.4938272,0.325,0.3108108,0.5,0.4814815,0.4938272,0.4487179,0.3950617,0.4545455,NA,0.4938272,0.4814815,0.4938272,0.4814815,0.5125,0.4938272,0.4814815,0.4938272,0.4814815,NA,0.3559322,0.443038,0.3714286,0.3209877,0.6049383,0.375
"9",1999,0.5072464,0.4777778,0.2875,0.4673913,0.2820513,0.2134831,0.5,0.516129,0.5113636,0.4044944,0.4565217,0.4782609,0.5108696,0.5,0.4782609,0.5604396,0.3932584,0.5217391,0.4891304,0.5217391,0.5111111,0.4673913,0.4891304,0.3466667,NA,0.4606742,0.4891304,0.5,0.3888889,0.4673913,0.4659091,NA,0.5108696,0.4891304,0.5,0.4891304,0.5108696,0.4891304,0.4945055,0.5,0.4891304,NA,0.2592593,0.4404762,0.3095238,0.3186813,0.6086957,0.3606557
"10",2000,0.7045455,0.4415584,0.2894737,0.4342105,0.3150685,0.2876712,0.4545455,0.5952381,0.4545455,0.4025974,0.3896104,0.4545455,0.4545455,0.4657534,0.4415584,0.4594595,0.4054054,0.4675325,0.4415584,0.4545455,0.4545455,0.4155844,0.4473684,0.3428571,0.3098592,0.472973,0.4473684,0.4545455,0.44,0.4285714,0.4520548,NA,0.4545455,0.4675325,0.4545455,0.4415584,0.4415584,0.4415584,0.4415584,0.4415584,0.4285714,NA,0.3913043,0.4189189,0.3461538,0.3896104,0.5454545,0.4864865
