year,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,China,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,German Federal Republic,Greece,Hungary,Iceland,Ireland,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,United States of America,Uzbekistan
1991,1.3464131,NA,0.7080743,1.3860387,0.6093405000000001,0.8201807999999999,2.0905287,0.10477830000000002,1.7171137,0,NA,0.016180499999999987,NA,1.6741727,1.5648887,1.5885277,2.2333496999999998,NA,2.0704107,1.2481798,1.5800047000000002,1.6432377,1.4560687,1.9330987000000002,NA,NA,1.6194467000000001,1.4456767000000001,1.9964847000000001,NA,0.8102938,NA,NA,2.0817397,1.6575737000000001,1.6553587,1.7070797,1.8062007,1.0204525,NA,NA,1.3174651,1.5211157,NA,NA,1.0258151,NA,0.6744241,2.5522147,3.3240217,NA
1992,1.6942417,NA,1.0766114,1.8390068,0.9813114000000001,1.1510949,2.3214428,0.489356,2.1385498,0,1.7968518,0.18548240000000005,NA,2.0199278,1.8854508,2.0163658,2.5384598,NA,2.3014978,1.6190835,2.0587408,2.0118418,1.7977348,2.2964438,1.2891007,1.4221552000000002,1.9477168,1.8477318,2.3230848,NA,1.4839368,1.8630928,NA,2.3020658000000003,1.9436258,2.0382238,2.0135388,2.1652498,1.8338538,NA,2.0088268,1.6808995,1.8854948,NA,0.6187123,1.4310665,0.78921851,1.1607303,2.8265868,3.7271328,NA
1993,2.3236567,2.9230840000000002,2.0129761999999998,2.5315019999999997,1.651233,1.8467379,2.9782539999999997,1.35265936,2.923419,0,2.540381,1.3010907,2.8959159999999997,2.685965,2.4577720000000003,2.766783,3.333653,2.648705,3.105201,2.3659855,2.765806,2.748728,2.565353,3.001166,1.9270174,1.7852284,2.46156,2.492723,2.994012,2.0073433,2.2905502,2.573404,NA,3.070228,2.7130650000000003,2.7927090000000003,2.77912,2.8673919999999997,2.7294780000000003,2.75458,2.517926,2.4568380000000003,2.5922650000000003,NA,1.9195733000000001,2.1949438,1.7265654000000001,1.7082579,3.598036,4.382301,NA
1994,2.679467,2.880597,2.3146363,2.7750760000000003,1.9144211000000002,2.2065882,3.190837,1.7575077000000001,2.893333,0,2.5457085,1.4711081000000001,3.093042,3.029997,2.794636,3.111103,3.695942,2.831837,3.218077,2.8331850000000003,3.1689860000000003,2.9717960000000003,2.723007,3.22044,2.1822664,1.70310343,2.9462710000000003,2.918233,3.194235,2.706267,2.660485,2.851451,NA,3.238129,2.985275,3.100751,3.012079,3.064048,2.743475,3.085903,2.7933130000000004,2.826033,2.763932,NA,2.4662212,2.5054641,1.8989633000000001,2.3741488,3.984163,4.648205,2.0497058
1995,2.4508191999999998,2.617795,2.2433935,2.623427,1.8269099,2.049946,3.31596,2.1306746,2.6466719999999997,0,2.4980647,1.51495092,2.729242,2.720911,2.635782,2.7460750000000003,3.399386,3.4560180000000003,2.799076,3.080189,2.803846,2.6792369999999996,2.5127579,2.796126,2.0694171,1.62372411,3.2962749999999996,2.712986,2.750982,2.4640589999999998,2.3355037999999997,2.620975,NA,2.875001,2.681827,2.773723,2.668468,2.705693,2.6611909999999996,2.73399,2.6558979999999996,2.575576,2.605322,NA,2.184123,2.3209519,1.4036429,2.0620514,4.02912,4.637238,2.4712871
1996,2.523059,2.6191459999999998,2.0217036,2.432945,1.6151781,1.8805448,2.8994090000000003,1.8935578,2.653868,0,2.370869,1.9944513000000001,2.714975,2.757065,2.629578,2.8397240000000004,3.212088,2.1926224000000003,2.697043,2.758852,2.792746,2.7059420000000003,2.345348,2.748283,1.8590296,1.6498471000000001,2.673378,2.720006,2.850359,2.430261,1.6771267,2.3705730000000003,NA,2.915134,2.6872420000000004,2.680222,2.766107,2.714127,2.081379,2.662582,2.6845730000000003,2.671518,2.4163449999999997,NA,2.0735018,2.0879816,0.48081490000000005,1.9351237000000001,3.475472,4.444521,2.102576
1997,2.461633,2.635778,2.0917812000000002,2.447551,1.5044065,1.6403877,2.808578,NA,2.717504,0,2.458819,1.9644673,2.6901270000000004,2.627641,2.604798,2.641791,3.241004,2.0452793000000002,2.768579,2.6854060000000004,2.663676,2.72919,2.380114,2.762396,1.6657778,1.552245,2.6628670000000003,2.637594,2.845988,2.4320950000000003,1.6739164,2.356263,NA,2.866979,2.638704,2.700385,2.674142,2.6095610000000002,1.9065541000000001,2.635342,2.60631,2.686763,2.479337,NA,1.5955095000000001,1.9398472,1.4782616000000002,1.8110220000000001,3.423254,4.248255,1.9812227
1998,1.7104043,1.7032043,1.0311839,1.6772673,0.6589205,0.6266025000000001,1.7904173,NA,1.7475433000000002,0,1.5050196,1.0464660000000001,1.7547082999999999,1.7022922999999999,1.7415183,1.7338013,2.1439463,0.9679258000000001,1.7997983,1.7061993000000002,1.8304122999999999,1.6998623,1.5637913,1.7523133,0.8503715000000001,0.9313415,1.7235103,1.7163583,1.7960763000000002,1.4720191,0.9853667,1.5019385,NA,1.7923822999999999,1.7030913,1.7304442999999998,1.6968773000000001,1.7492372999999999,1.0119495,1.7232883,1.7089123000000002,1.7355043000000001,1.6219123,NA,0.7138921,1.2204866,0.529125995,0.9413304,2.2714613,3.2410143000000002,1.2054172
1999,1.7157982,1.8198400000000001,1.1611729,1.7620109999999998,0.9133137,0.68001346,1.980102,1.4666194,1.9341439999999999,0,1.4426804999999998,1.4547365,1.827492,1.968585,1.9656289999999998,1.827759,2.292275,1.503224,2.1065869999999998,1.886647,2.062135,1.9787819999999998,1.6770505999999998,1.887137,1.0801091,NA,1.829237,1.928579,1.9854029999999998,1.3908442,1.4853475999999999,1.7115879,NA,2.031849,1.9045229999999997,1.9020609999999998,1.88469,1.917687,1.1016515,1.889697,1.8868580000000001,1.9039449999999998,1.756526,NA,0.7915668,1.3821086,0.65958579,1.0626677,2.433682,3.260649,1.4152632
2000,2.303827,2.042659,1.249185,2.0308979999999996,1.02666393,0.5012551,2.240208,1.6548663,2.041949,0,2.045388,1.5892544,2.134257,2.180022,2.1367269999999996,2.162121,2.434856,1.8548116,2.208585,2.099499,2.233702,2.179679,1.8541439,2.080866,1.3533585,1.09258672,2.206225,2.155893,2.2110329999999996,1.9758109,1.6614383,1.8763378999999998,NA,2.220401,2.122237,2.1538519999999997,2.0201789999999997,2.09171,1.1782717999999999,2.076226,2.1081329999999996,2.050397,2.012238,NA,1.1437758999999998,1.6795676999999998,1.0606673999999998,1.3989474999999998,2.69075,3.565374,1.4603589
