year,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,German Federal Republic,Greece,Hungary,Iceland,Ireland,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,United States of America,Uzbekistan,
1991,-1.9776086,NA,-2.6159474,-1.937983,-2.7146812,-2.5038409,-1.233493,-3.2192434,-1.606908,NA,-3.3078412,NA,-1.649849,-1.759133,-1.735494,-1.090672,NA,-1.253611,-2.0758419,-1.744017,-1.680784,-1.867953,-1.390923,NA,NA,-1.704575,-1.878345,-1.327537,NA,-2.5137279,NA,NA,-1.242282,-1.666448,-1.668663,-1.616942,-1.517821,NA,NA,-2.0065566,-1.802906,NA,NA,-2.2982066,NA,-2.6495976,-0.771807,0,NA,
1992,-2.0328911,NA,-2.6505214,-1.888126,-2.7458214,-2.5760379,-1.40569,-3.2377768,-1.588583,-1.930281,-3.5416504,NA,-1.707205,-1.841682,-1.710767,-1.188673,NA,-1.425635,-2.1080493,-1.668392,-1.715291,-1.929398,-1.430689,-2.4380321,-2.3049776,-1.779416,-1.879401,-1.404048,NA,-2.243196,-1.86404,NA,-1.425067,-1.783507,-1.688909,-1.713594,-1.561883,NA,-1.718306,-2.0462333,-1.841638,NA,-3.1084205,-2.2960663,-2.93791429,-2.5664025,-0.900546,0,NA,
1993,-2.0586443,-1.459217,-2.3693248,-1.850799,-2.731068,-2.5355631,-1.404047,-3.02964164,-1.458882,-1.84192,-3.0812103,-1.486385,-1.696336,-1.924529,-1.615518,-1.048648,-1.733596,-1.2771,-2.0163155,-1.616495,-1.633573,-1.816948,-1.381135,-2.4552836,-2.5970726,-1.920741,-1.889578,-1.388289,-2.3749577,-2.0917508,-1.808897,NA,-1.312073,-1.669236,-1.589592,-1.603181,-1.514909,-1.627721,-1.864375,-1.925463,-1.790036,NA,-2.4627277,-2.1873572,-2.6557356,-2.6740431,-0.784265,0,NA,
1994,-1.968738,-1.767608,-2.3335687,-1.873129,-2.7337839,-2.4416168,-1.457368,-2.8906973,-1.754872,-2.1024965,-3.1770969,-1.555163,-1.618208,-1.853569,-1.537102,-0.952263,-1.816368,-1.430128,-1.81502,-1.479219,-1.676409,-1.925198,-1.427765,-2.4659386,-2.94510157,-1.701934,-1.729972,-1.45397,-1.941938,-1.98772,-1.796754,NA,-1.410076,-1.66293,-1.547454,-1.636126,-1.584157,-1.562302,-1.854892,-1.822172,-1.884273,NA,-2.1819838,-2.1427409,-2.7492417,-2.2740562,-0.664042,0,-2.5984992,
1995,-2.1864188,-2.019443,-2.3938445,-2.013811,-2.8103281,-2.587292,-1.321278,-2.5065634,-1.990566,-2.1391733,-3.12228708,-1.907996,-1.916327,-2.001456,-1.891163,-1.237852,-1.18122,-1.838162,-1.557049,-1.833392,-1.958001,-2.1244801,-1.841112,-2.5678209,-3.01351389,-1.340963,-1.924252,-1.886256,-2.173179,-2.3017342,-2.016263,NA,-1.762237,-1.955411,-1.863515,-1.96877,-1.931545,-1.903248,-1.98134,-2.061662,-2.031916,NA,-2.453115,-2.3162861,-3.2335951,-2.5751866,-0.608118,0,-2.1659509,
1996,-1.921462,-1.825375,-2.4228174,-2.011576,-2.8293429,-2.5639762,-1.545112,-2.5509632,-1.790653,-2.073652,-2.4500697,-1.729546,-1.687456,-1.814943,-1.604797,-1.232433,-2.2518986,-1.747478,-1.685669,-1.651775,-1.738579,-2.099173,-1.696238,-2.5854914,-2.7946739,-1.771143,-1.724515,-1.594162,-2.01426,-2.7673943,-2.073948,NA,-1.529387,-1.757279,-1.764299,-1.678414,-1.730394,-1.781939,-1.759948,-1.773003,-2.028176,NA,-2.3710192,-2.3565394,-3.9637061,-2.5093973,-0.969049,0,-2.341945,
1997,-1.786622,-1.612477,-2.1564738,-1.800704,-2.7438485,-2.6078673,-1.439677,NA,-1.530751,-1.789436,-2.2837877,-1.558128,-1.620614,-1.643457,-1.606464,-1.007251,-2.2029757,-1.479676,-1.562849,-1.584579,-1.519065,-1.868141,-1.485859,-2.5824772,-2.69601,-1.585388,-1.610661,-1.402267,-1.81616,-2.5743386,-1.891992,NA,-1.381276,-1.609551,-1.54787,-1.574113,-1.638694,-1.612913,-1.641945,-1.561492,-1.768918,NA,-2.6527455,-2.3084078,-2.7699934,-2.437233,-0.825001,0,-2.2670323,
1998,-1.53061,-1.53781,-2.2098304,-1.563747,-2.5820938,-2.6144118,-1.450597,NA,-1.493471,-1.7359947,-2.1945483,-1.486306,-1.538722,-1.499496,-1.507213,-1.097068,-2.2730885,-1.441216,-1.534815,-1.410602,-1.541152,-1.677223,-1.488701,-2.3906428,-2.3096728,-1.517504,-1.524656,-1.444938,-1.7689952,-2.2556476,-1.7390758,NA,-1.448632,-1.537923,-1.51057,-1.544137,-1.491777,-1.517726,-1.532102,-1.50551,-1.619102,NA,-2.5271222,-2.0205277,-2.711888305,-2.2996839,-0.969553,0,-2.0355971,
1999,-1.5448508,-1.440809,-2.0994761,-1.498638,-2.3473353,-2.58063554,-1.280547,-1.7940296,-1.326505,-1.8179685,-1.8059125,-1.433157,-1.292064,-1.29502,-1.43289,-0.968374,-1.757425,-1.154062,-1.374002,-1.198514,-1.281867,-1.5835984,-1.373512,-2.1805399,NA,-1.431412,-1.33207,-1.275246,-1.8698048,-1.7753014,-1.5490611,NA,-1.2288,-1.356126,-1.358588,-1.375959,-1.342962,-1.370952,-1.373791,-1.356704,-1.504123,NA,-2.4690822,-1.8785404,-2.60106321,-2.1979813,-0.826967,0,-1.8453858,
2000,-1.261547,-1.522715,-2.316189,-1.534476,-2.53871007,-3.0641189,-1.325166,-1.9105077,-1.523425,-1.519986,-1.9761196,-1.431117,-1.385352,-1.428647,-1.403253,-1.130518,-1.7105624,-1.356789,-1.465875,-1.331672,-1.385695,-1.7112301,-1.484508,-2.2120155,-2.47278728,-1.359149,-1.409481,-1.354341,-1.5895631,-1.9039357,-1.6890361,NA,-1.344973,-1.443137,-1.411522,-1.545195,-1.473664,-1.489148,-1.457241,-1.514977,-1.553136,NA,-2.4215981,-1.8858063,-2.5047066,-2.1664265,-0.874624,0,-2.1050151,
2001,-1.33948,-1.604356,-2.3983295,-1.634341,-2.65920663,-2.7141099,-1.457124,-1.568847,-1.524338,-1.7591139,-1.9567026,-1.490718,-1.408645,-1.49283,-1.504552,-1.094699,-1.7659426,-1.442041,-1.540156,-1.426615,-1.487352,-1.7400752,-1.58871,-2.4571146,NA,-1.478619,-1.531006,-1.445592,-1.6417612,-1.9186725,-1.7426431,NA,-1.429731,-1.45103,-1.482489,-1.602974,-1.521961,-1.6322084,-1.483861,-1.552902,-1.618082,NA,NA,-1.972832,-2.63404486,-2.1876409,-0.955253,0,NA,
