"","year","Albania","Andorra","Armenia","Austria","Azerbaijan","Belarus","Belgium","Bosnia and Herzegovina","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","German Federal Republic","Greece","Hungary","Iceland","Ireland","Italy","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Luxembourg","Macedonia","Malta","Moldova","Montenegro","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","Tajikistan","Turkey","Turkmenistan","Ukraine","United Kingdom","Uzbekistan"
"1",1992,".4615385",NA,"0.67",".4714286","0.7","0.63",".4428571",".8571429",".4492754",".2352941",".826087",NA,".4857143",".4545455",".4714286",".4714286",NA,".4428571",".5428571",".4264706",".4857143",".5072464",".4428571","0.62","0.46",".4925373",".4925373",".4428571",NA,".5942029","0.46",NA,".4428571",".5",".4637681",".4857143",".4492754",NA,".4259259",".5428571",".5142857",NA,"0.84",".5714286","0.83","0.67",".4",NA
"2",1993,".4054054",".4782609","0.64",".4754098","0.74","0.66",".4354839",".8214286",".442623",".3846154",".7903226",".4354839",".4677419",".4561404",".4516129",".4262295","0.32",".4032258",".5483871",".442623",".4516129",".4754098",".4193548","0.59","0.55",".4385965",".4464286",".4193548",".559322",".5666667","0.43",NA,".4193548",".4754098",".4516129",".4516129",".440678",".4098361",".440678",".5245902",".5",NA,"0.74",".5666667","0.79","0.73",".3387097",NA
"3",1994,".5272727",".5555556","0.67",".5454545","0.75","0.65",".5151515",".75",".5076923",".559322",".7878788",".5076923",".5454545",".483871",".530303",".4615385","0.46",".4923077",".5909091",".4848485",".5230769",".5606061",".5","0.59","0.68",".4516129",".4464286",".5151515",".5",".5909091","0.51",NA,".4923077",".5454545",".5",".5454545",".5230769",".5254237000000001",".5",".5909091",".5757576",NA,"0.58",".6","0.77","0.6",".4153846","0.65"
"4",1995,".5972222",".546875","0.66",".5769231","0.76","0.68",".3846154",".7118644",".5641026",".5616438",".7820513",".5324675",".5769231",".5342466",".5512821",".3766234","0.37",".5384615",".474359",".5211268",".5769231",".5897436",".5454545","0.65","0.56",".3076923",".5324675",".5641026",".5526316",".6153846","0.55",NA,".525641",".5416667",".5263158",".5769231",".5324675",".5512821",".5066667",".5897436",".5769231",NA,"0.43",".6103896","0.92","0.67",".3333333","0.17"
"5",1996,".5606061",".5277778","0.64",".5675676","0.7","0.6",".5205479",".6229508",".527027",".5217391",".5675676",".527027",".5135135",".4722222",".5",".4931507","0.53",".5135135",".5714286",".5205479",".5352113",".5810811",".5405405","0.6","0.59",".4492754",".4520548",".5135135",".5753425",".7083333000000001","0.49",NA,".4931507",".5135135",".5479452",".5342466",".5342466",".5479452",".5277778",".5342466",".5675676",NA,"0.51",".6164384000000001","0.75","0.6",".472973","0.48"
"6",1997,".5263158",".4776119","0.56",".5072464","0.75","0.67",".4782609",NA,".4411765",".5151515",".5797101",".5072464",".5072464",".5",".4927536",".4202899","0.52",".4782609",".5072464",".5074627",".4927536",".5217391",".4927536","0.68","0.63",".4776119",".4782609",".4852941",".5294118",".7058824","0.5",NA,".4782609",".4927536",".4927536",".4927536",".5072464",".5217391",".5",".4927536",".5217391",NA,"0.71",".6666667","0.61","0.64",".4202899","0.51"
"7",1998,".5384615",".55","0.72",".5333333","0.78","0.77",".5333333",NA,".5254237000000001",".5689655",".6",".5423729000000001",".55",".4833333",".5333333",".440678","0.58",".5333333",".55",".5166667",".5423729000000001",".55",".55","0.73","0.7",".4827586",".5",".5333333",".5517241000000001",".6833333","0.55",NA,".5333333",".5333333",".5333333",".55",".5254237000000001",".5333333",".55",".55",".55",NA,"0.78",".6206897","0.62","0.68",".4333333","0.33"
"8",1999,".4444444",".4852941","0.69",".4705882","0.74","0.74",".4705882",".372093",".4461538",".5",".5588235",".4852941",".4852941",".4411765",".4852941",".4117647","0.47",".4705882",".4852941",".4558824",".4776119",".5",".4852941","0.58",NA,".4393939",".4705882",".4705882",".530303",".5588235","0.49",NA,".4705882",".4705882",".4705882",".4852941",".4705882",".4852941",".4776119",".4852941",".4852941",NA,"0.78",".6153846","0.69","0.63",".3823529","0.4"
"9",2000,".3333333",".5522388","0.74",".5454545","0.79","0.86",".5373134000000001",".5294118",".5671642",".5373134000000001",".6567164",".5522388",".5522388",".5079365",".5373134000000001",".4776119","0.54",".5373134000000001",".5522388",".5373134000000001",".5522388",".5970149",".5454545","0.67","0.79",".5076923",".530303",".5373134000000001",".5454545",".641791","0.56",NA,".5373134000000001",".5671642",".5522388",".5671642",".5522388",".5522388",".5522388",".5522388",".5671642",NA,"0.71",".640625","0.68","0.69",".4626866","0.55"
"10",2001,".3333333",".5223881","0.75",".5223881","0.87","0.81",".5074627",".3529412",".5",".5606061",".5970149",".5074627",".5074627",".4761905",".5074627",".4153846","0.52",".4925373",".5074627",".484375",".5074627",".5671642",".4923077","0.78",NA,".4615385",".5",".5",".4848485",".5909091","0.56",NA,".4925373",".5074627",".5074627",".5223881",".5151515",".5223881",".5076923",".5074627",".5373134000000001",NA,NA,".6393443","0.75","0.67",".4179104",NA
