"","year","Armenia","Austria","Azerbaijan","Belarus","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","German Federal Republic","Greece","Hungary","Ireland","Italy","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Luxembourg","Malta","Moldova","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Tajikistan","Turkmenistan","Ukraine","United Kingdom","Uzbekistan"
"1",1992,"0.69",".7123288","0.58","0.66",".6986301",".7083333000000001",".7647059000000001",".4444444",NA,".739726",".6666667",".7534247",".6527778",NA,".6986301",".6849315",".7183099",".7222222",".6986301","0.73","0.87",".6714286",".6857143",".6986301",".6666667","0.66",".6986301",".7083333000000001",".7123288",".6805556",NA,".7192982",".6575342",".739726","0.71","0.79","0.66",".5890411",NA
"2",1993,"0.67",".7142857","0.53","0.62",".6875",".6984127",".7804878",".46875",".71875",".75",".6779661",".6875",".5967742","0.73",".703125",".671875",".6984127",".7142857",".703125","0.62","0.64",".7288136",".7413793",".703125",".6451613000000001","0.67",".71875",".734375",".71875",".7377049",".7142857",".704918",".6666667",".71875","0.71","0.72","0.55",".625",NA
"3",1994,"0.65",".6764706","0.52","0.74",".6617647",".6567164",".6721311",".5",".641791",".6911765",".671875",".6470588000000001",".5","0.74",".6567164",".6617647",".6323529",".6617647",".6176471","0.61","0.44",".6875",".6551724",".6617647",".6323529","0.62",".6567164",".6323529",".6617647",".6268657",".6393443",".6666667",".6470588000000001",".6764706","0.78","0.58","0.67",".5223881","0.61"
"4",1995,"0.76",".7160494","0.65","0.72",".5679012",".7530864",".7368421000000001",".6049383",".7375",".7160494",".75",".7037037",".5189873","0.62",".7283951",".5802469",".7432432",".7160494",".725","0.7","0.5",".5735294",".75",".7037037",".6790123","0.74",".691358",".7594937000000001",".7283951",".7625",".7407407",".7435897",".7407407",".7160494","0.75","0.85","0.69",".4938272","0.65"
"5",1996,"0.72",".6712329","0.7","0.74",".7083333000000001",".6575342",".6764706",".6712329",".6712329",".6712329",".6056338",".6849315",".7083333000000001","0.7",".6986301",".7857143",".6944444",".6712329",".6849315","0.75","0.68",".6764706",".6111111",".7123288",".6619718","0.63",".6944444",".6944444",".6805556",".6944444",".6805556",".6760563000000001",".6666667",".6575342","0.71","0.5","0.68",".6712329","0.55"
"6",1997,"0.76",".6956522000000001","0.8","0.72",".7246377000000001",".6470588000000001",".6818182",".6956522000000001",".6956522000000001",".7101449",".6617647",".6956522000000001",".6811594","0.75",".7246377000000001",".6956522000000001",".7164179000000001",".6956522000000001",".7101449","0.75","0.69",".6865672",".6811594",".7058824",".6911765","0.73",".7246377000000001",".7101449",".7101449",".6811594",".6956522000000001",".7058824",".7101449",".6956522000000001","0.71","0.7","0.74",".6521739","0.49"
"7",1998,"0.69",".6833333","0.7","0.75",".7166667",".7118644",".6949153",".6833333",".7288136",".6833333",".7166667",".7",".6949153","0.75",".7166667",".7",".7333333",".6833333",".7","0.73","0.67",".6896552",".7",".7166667",".7166667","0.67",".7166667",".7166667",".7",".7118644",".7166667",".7",".7",".6833333","0.63","0.67","0.67",".6666667","0.49"
"8",1999,"0.72",".6764706","0.7","0.77",".6764706",".7076923000000001",".6969697",".6911765",".6911765",".6911765",".6764706",".6764706",".6617647","0.65",".6764706",".6911765",".6911765",".7058824",".6911765","0.75",NA,".6363636",".6764706",".6764706",".6617647","0.71",".6764706",".7058824",".6911765",".7058824",".6911765",".6865672",".6911765",".6911765","0.74","0.72","0.7",".6323529","0.52"
"9",2000,"0.78",".6515152","0.77","0.77",".6515152",".6818182",".6363636",".6818182",".6666667",".6666667",".6190476",".6363636",".6363636","0.66",".6515152",".6666667",".6515152",".6969697",".6615385","0.75","0.84",".625",".6461538",".6515152",".6363636","0.67",".6515152",".6666667",".6818182",".6666667",".6666667",".6666667",".6969697",".6666667","0.74","0.68","0.7",".5909091","0.62"
"10",2001,"0.76",".6515152","0.8","0.84",".6515152",".6515152",".6923077",".6515152",".6515152",".6515152",".6190476",".6363636",".578125","0.66",".6363636",".6515152",".640625",".6969697",".65625","0.84",NA,".6153846",".65625",".6461538",".6212121","0.68",".6363636",".6515152",".6666667",".6615385",".6666667",".65625",".6818182",".6818182",NA,"0.75","0.71",".5757576",NA
"11",2002,"0.75",".6714286","0.8","0.76",".6811594",".6956522000000001",".7",".6571429",".6956522000000001",".7101449",".6811594",".6571429",".6","0.7",".6764706",".7",".6956522000000001",".6571429",".6857143","0.78","0.71",".6764706",".6857143",".7",".6428571","0.7",".6521739",".7142857",".6716418",".6811594",".7",".6857143",".7142857",".6571429","0.74","0.71","0.69",".5857143","0.62"
"12",2003,"0.81",".6578947000000001","0.8","0.84",".6800000000000001",".6710526",".6578947000000001",".6710526",".6578947000000001",".6973684",".6666667",".6447368",".6578947000000001","0.65",".6447368",".7105263000000001",".6842105000000001",".6842105000000001",".7236842","0.86","0.88",".6973684",".6710526",".6710526",".6447368","0.71",".6973684",".6891892",".6933333",".7162162",".6973684",".7066667",".7105263000000001",".6447368","0.91","0.78","0.74",".6052632","0.69"
"13",2004,"0.8",".6428571","0.84","0.82",".6323529",".6714286",".6428571",".6",".6666667",".6571429",".6470588000000001",".6285714",".5652174","0.71",".6376812",".6811594",".6666667",".6428571",".6666667","0.85","0.82",".641791",".6571429",".6470588000000001",".5942029","0.71",".6571429",".6666667",".6571429",".6714286",".6571429",".6714286",".6714286",".6142857000000001","0.87","0.76","0.73",".5571429","0.75"
"14",2005,"0.78",".6575342","0.82","0.83",".6575342",".6438356",".6575342",".6438356",".6712329",".6575342",".6666667",".6438356",".6027397","0.7",".6438356",".6849315",".6849315",".6849315",".6805556","0.82","0.82",".6849315",".6712329",".6712329",".6575342","0.67",".6575342",".6849315",".6986301",".6986301",".6575342",".6849315",".7123288",".6575342","0.84","0.76","0.75",".5890411","0.83"
"15",2006,"0.79",".6551724","0.79","0.88",".6395349",".6321839",".6321839",".6117647000000001",".6321839",".6321839",".6321839",".6321839",".5632184","0.64",".6436782",".6551724",".6551724",".6551724",".6436782","0.85","0.87",".6436782",".6321839",".627907",".6117647000000001","0.58",".6436782",".6511628",".6321839",".6470588000000001",".6352941",".6551724",".6436782",".6551724","0.86","0.78","0.64",".5977011","0.88"
"16",2007,"0.78",".6315789000000001","0.79","0.81",".6578947000000001",".6447368",".6533333",".6052632",".6266667",".6578947000000001",".6447368",".6447368",".5866667","0.65",".6447368",".6710526",".6571429",".6447368",".6447368","0.8","0.79",".6710526",".6578947000000001",".6578947000000001",".6315789000000001","0.64",".6447368",".6710526",".6578947000000001",".6578947000000001",".6578947000000001",".6710526",".6447368",".6578947000000001","0.83","0.78","0.64",".5657895","0.85"
"17",2008,"0.73",".5972222","0.79","0.82",".5833333000000001",".5915492999999999",".5972222",".5833333000000001",".5972222",".5915492999999999",".5972222",".5694444",".5138889","0.6",".5694444",".6111111",".5972222",".5972222",".5694444","0.82","0.8",".6056338",".5972222",".5915492999999999",".5633803","0.61",".5774648",".5972222",".5833333000000001",".6111111",".6111111",".5915492999999999",".5972222",".6111111","0.75","0.76","0.59",".5211268","0.85"
"18",2009,"0.74",".5671642","0.75","0.8",".5671642",".5606061",".5606061",".5223881",".5671642",".5671642",".5671642",".5671642",".4776119","0.6",".5820896",".5671642",".5757576",".5522388",".5820896","0.75","0.78",".5820896",".5820896",".5606061",".5223881","0.57",".5671642",".5671642",".5671642",".5671642",".5671642",".5671642",".5820896",".5671642","0.75","0.75","0.56",".4925373","0.81"
"19",2010,"0.79",".6567164","0.78","0.8",".6119403",".6363636",".6515152",".6268657",".6567164",".641791",".6567164",".6268657",".5373134000000001","0.7",".6268657",".6875",".6716418",".6515152",".6507937","0.78","0.79",".6461538",".6567164",".641791",".6268657","0.67",".641791",".6363636",".6567164",".641791",".6567164",".641791",".6666667",".6567164","0.81","0.75","0.67",".5223881","0.8"
"20",2011,"0.75",".6","0.73","0.79",".5692308",".578125",".5423729000000001",".5692308",".5846154",".5846154",".5846154",".5692308",".5538462","0.52",".5846154",".6",".6",".6",".5846154","0.74","0.76",".5846154",".5846154",".6",".5692308","0.57",".578125",".5846154",".6",".5625",".5846154",".6",".6",".578125","0.82","0.75","0.57",".5384615","0.83"
"21",2012,"0.75",".6323529","0.73","0.78",".5970149",".6037736",".5820896",".6029412",".6029412",".6176471",".6119403",".5882353",".6029412","0.63",".5882353",".6119403",".6029412",".6323529",".6176471","0.73","0.75",".5970149",".6029412",".6176471",".6029412","0.6",".5882353",".6029412",".6323529",".5882353",".6029412",".6029412",".6323529",".6323529","0.74","0.72","0.6",".5555556","0.81"
"22",2013,"0.73",".546875","0.66","0.77",".5396825",".53125",".5238095",".5",".546875",".546875",".5396825",".53125",".53125","0.55",".5396825",".5396825",".546875",".5396825",".5625","0.66","0.67",".5483871",".546875",".5625",".5079365","0.51",".546875",".5396825",".5396825",".515625",".546875",".546875",".546875",".546875","0.67","0.67","0.5",".515625","0.75"
"23",2014,"0.68",".5074627","0.72","0.75",".5151515",".4925373",".5384615",".4776119",".5074627",".5223881",".5223881",".4925373",".5223881","0.56",".4925373",".5074627",".5074627",".5614035000000001",".5373134000000001","0.67","0.68",".5223881",".5074627",".5373134000000001",".5151515","0.52",".4925373",".5223881",".5230769",".5074627",".5223881",".5223881",".5522388",".5223881","0.69","0.65","0.54",".4925373","0.75"
"24",2015,"0.68",".4657534","0.62","0.67",".5205479",".5342466",".5479452",".4366197",".5416667",".5342466",".5616438",".5068493",".5205479","0.5",".5211268",".5342466",".5479452",".4794521",".5479452","0.62","0.61",".5616438",".5479452",".5342466",".4583333","0.49",".5205479",".5479452",".5342466",".5342466",".5342466",".5205479",".5555556",".4657534","0.6","0.65","0.54",".5342466","0.67"
