"","year","ARM","AZE","BLR","GEO","KAZ","KGZ","MDA","TJK","TKM","UKR","UZB"
"1",1995,NA,10000,10000,10000,10000,NA,6123.18962829808,NA,NA,9404.63011320994,10000
"2",1996,10000,7285.4776175825,9816.03405774182,7447.9582688903,9999.5846112152,10000,9599.18852733512,10000,10000,9697.76945940041,10000
"3",1997,6841.15015381665,3526.49759019974,9925.89140561123,7143.29967933995,9992.13073537613,10000,9722.92047812961,5036.2880328517,NA,7048.94753513683,10000
"4",1998,9696.09492937712,5249.07010032528,9851.79081892614,9808.74509984299,9993.13204636584,10000,9884.81920734552,10000,10000,9980.32652386605,5563.73477740773
"5",1999,9151.74252483109,5289.04112075739,8885.26869146172,9820.99917492535,9996.59411086788,NA,9792.47579702649,10000,10000,7499.15865150913,10000
"6",2000,8456.43427912514,4823.15220017035,9974.57993446628,8304.1514124919,3386.41371886361,8611.633336495,7219.9323498345,NA,8331.34080583363,5405.07748299944,10000
"7",2001,4224.83965465481,6592.48169347457,9763.01031740527,8683.14870640375,3539.15747516697,6158.09835628394,8258.13393167671,10000,10000,4552.25245210739,10000
"8",2002,7999.19588103952,5556.67134058506,9993.13615860112,8220.40516627068,3684.77641788923,9125.64971765949,7086.20839559216,10000,9898.94489107638,4909.36335681634,9878.93266811749
"9",2003,6579.04042084408,7935.86019097858,9998.89054446062,7776.22790477626,4459.0612038428,10000,4277.96218946314,10000,5343.70228786428,4674.55695004501,10000
"10",2004,6098.16583416208,4642.32730375625,9997.22660050691,6848.45403390611,3721.32611645031,9954.83203205347,4105.32286958022,NA,6749.42492243711,4966.45697179216,NA
"11",2005,5039.73283690559,2864.41065170787,9991.54887367966,5980.82711325172,4178.82911370041,5001.03243494449,3843.42905531556,NA,10000,5401.1973109492,10000
"12",2006,8232.7335724585,6111.27418497537,9976.93127975475,7635.41042494879,3834.60007766473,7081.77154842284,7402.95598141132,9986.90144521593,5184.37829682892,5875.05994367948,10000
"13",2007,9537.42906055784,6828.35410754324,9992.00516446408,5507.4867912671,3582.45404488761,9116.92460608487,8547.78566604866,7337.30417734506,5413.63860781355,5908.8692725022,NA
"14",2008,9614.17077928148,3033.18881768597,9995.40365402115,5160.68324919024,3730.19255088713,9063.30371265534,8470.88815753194,5011.81096038299,9957.43367885753,4559.95701956986,5377.98762562156
"15",2009,9620.57735452439,3673.43853554084,9993.68604408711,4940.99634707721,4680.37031087443,8351.95576730288,4376.78790917429,7758.74277611619,8147.47027242642,3991.10242837388,NA
"16",2010,6244.29338389711,7369.3988754754,9980.38089977516,3879.19719332747,6251.98430272228,6559.29047981903,8885.35176624243,6981.67364197313,9783.86778537619,9755.73349350348,5102.41811235011
"17",2011,6638.9009707932,9373.59031615378,9997.17514842132,5789.96821385584,4276.97063376424,5433.16881025051,3812.60182673493,9964.10649606154,2859.5077076306,6900.67679462215,9721.37964200958
"18",2012,9715.34683889224,3860.21052504193,9996.91870254914,6005.96652650386,3393.20489505927,6965.2925122848,4193.49429570376,9993.30188058988,10000,8220.72325273596,10000
"19",2013,7738.37959833843,3409.46972548274,9996.84920630752,6979.0551317416,3616.49022561026,6060.96927014933,3418.78236576824,8809.39657919527,3494.27795833062,6776.82545638231,3531.24585328134
"20",2014,7220.33250624273,2363.41662850578,9998.16245937423,9649.23641209948,3770.64131696474,8981.98191345494,3831.83642229221,8138.46477576494,3898.36211875164,3690.43177698858,5848.27410207601
"21",2015,7164.95504172722,9381.55458601575,9977.06422318579,7228.06602760656,4395.48138949595,5897.70550651444,3190.8737023501,7840.48058269256,5951.51023878295,2005.66108340607,8357.33861181243
"22",2016,7186.65336483999,4974.42517796669,9999.43416649808,7990.02481930628,3497.15442674308,4443.37768202719,3770.75633956205,6415.75536003245,2696.03509126604,3557.01502247775,2375.69177777992
"23",2017,7268.55041372816,9989.98317002737,9999.46467019519,8316.65385211755,4363.48735686182,7055.11017373762,3946.3569621369,8968.67419847023,5066.28151341531,1694.87349295705,9970.81816782403
