year,country_origin_id,country_destination_id,sitc_product_id,import_val,import_val_pct
1991,AND,CHN,ALL,663341,0.0021%
1991,AND,IND,ALL,1335568,0.0043%
1991,AND,JPN,ALL,26959526,0.086%
1991,AND,KOR,ALL,122702175,0.39%
1991,AND,MYS,ALL,76174,0.00024%
1991,AND,THA,ALL,205528,0.00066%
1991,AND,TUR,ALL,44971,0.00014%
1991,AND,BEL,ALL,7649935,0.025%
1991,AND,CHE,ALL,7094700,0.023%
1991,AND,DEU,ALL,56431000,0.18%
1991,AND,DNK,ALL,4282954,0.014%
1991,AND,ESP,ALL,419336539,1.3%
1991,AND,FRA,ALL,405114027,1.3%
1991,AND,GBR,ALL,24987779,0.080%
1991,AND,GRC,ALL,234451,0.00075%
1991,AND,IRL,ALL,1652215,0.0053%
1991,AND,ITA,ALL,32612219,0.10%
1991,AND,NLD,ALL,28282103,0.091%
1991,AND,NOR,ALL,51152,0.00016%
1991,AND,POL,ALL,30757,0.000099%
1991,AND,PRT,ALL,1887743,0.0060%
1991,AND,USA,ALL,16510328,0.053%
1991,AND,NZL,ALL,4804,0.000015%
1991,AND,BRA,ALL,23602,0.000076%
1992,AND,ZAF,ALL,16661,0.000053%
1992,AND,CHN,ALL,661997,0.0021%
1992,AND,IND,ALL,897935,0.0029%
1992,AND,JPN,ALL,20163824,0.065%
1992,AND,KOR,ALL,123822,0.00040%
1992,AND,MYS,ALL,21492,0.000069%
1992,AND,THA,ALL,167156,0.00054%
1992,AND,TUR,ALL,938307,0.0030%
1992,AND,BEL,ALL,7605859,0.024%
1992,AND,CHE,ALL,7281669,0.023%
1992,AND,DEU,ALL,59826000,0.19%
1992,AND,DNK,ALL,4447091,0.014%
1992,AND,ESP,ALL,429758573,1.4%
1992,AND,FRA,ALL,390498126,1.3%
1992,AND,GBR,ALL,22680588,0.073%
1992,AND,GRC,ALL,436476,0.0014%
1992,AND,IRL,ALL,1836307,0.0059%
1992,AND,ITA,ALL,35157474,0.11%
1992,AND,NLD,ALL,22884325,0.073%
1992,AND,NOR,ALL,23149,0.000074%
1992,AND,PRT,ALL,3565192,0.011%
1992,AND,SVN,ALL,74180,0.00024%
1992,AND,MEX,ALL,1000,0.0000032%
1992,AND,USA,ALL,15699043,0.050%
1992,AND,COL,ALL,2939,0.0000094%
1993,AND,CHN,ALL,925049,0.0030%
1993,AND,IND,ALL,260829,0.00084%
1993,AND,JPN,ALL,12779816,0.041%
1993,AND,KOR,ALL,29197,0.000094%
1993,AND,MYS,ALL,37176,0.00012%
1993,AND,PHL,ALL,7491,0.000024%
1993,AND,THA,ALL,398041,0.0013%
1993,AND,TUR,ALL,36598,0.00012%
1993,AND,BEL,ALL,3586526,0.011%
1993,AND,CHE,ALL,4907697,0.016%
1993,AND,CZE,ALL,29812,0.000095%
1993,AND,DEU,ALL,36124000,0.12%
1993,AND,DNK,ALL,2666148,0.0085%
1993,AND,ESP,ALL,381449959,1.2%
1993,AND,FRA,ALL,364796362,1.2%
1993,AND,GBR,ALL,27923537,0.089%
1993,AND,GRC,ALL,135756,0.00043%
1993,AND,HRV,ALL,789,0.0000025%
1993,AND,IRL,ALL,1090150,0.0035%
1993,AND,ITA,ALL,26683682,0.085%
1993,AND,NLD,ALL,13955336,0.045%
1993,AND,NOR,ALL,23455,0.000075%
1993,AND,PRT,ALL,1905265,0.0061%
1993,AND,SVN,ALL,21900,0.000070%
1993,AND,MEX,ALL,180000,0.00058%
1993,AND,USA,ALL,14603270,0.047%
1993,AND,NZL,ALL,32976,0.00011%
1993,AND,ARG,ALL,551475,0.0018%
1993,AND,BRA,ALL,48276,0.00015%
1993,AND,COL,ALL,92000,0.00029%
1994,AND,CHN,ALL,1172311,0.0038%
1994,AND,IND,ALL,327163,0.0010%
1994,AND,JPN,ALL,1786779,0.0057%
1994,AND,KOR,ALL,33489,0.00011%
1994,AND,MYS,ALL,592,0.0000019%
1994,AND,THA,ALL,224291,0.00072%
1994,AND,TUR,ALL,41234,0.00013%
1994,AND,AUT,ALL,2629910,0.0084%
1994,AND,BEL,ALL,5375894,0.017%
1994,AND,CHE,ALL,4783308,0.015%
1994,AND,CZE,ALL,110892,0.00036%
1994,AND,DEU,ALL,30642000,0.098%
1994,AND,DNK,ALL,1825616,0.0058%
1994,AND,ESP,ALL,418535564,1.3%
1994,AND,FRA,ALL,312617946,1.0%
1994,AND,GBR,ALL,18431647,0.059%
1994,AND,GRC,ALL,57767,0.00019%
1994,AND,HRV,ALL,7605,0.000024%
1994,AND,IRL,ALL,1758656,0.0056%
1994,AND,ITA,ALL,21522954,0.069%
1994,AND,NLD,ALL,11262992,0.036%
1994,AND,NOR,ALL,8082,0.000026%
1994,AND,PRT,ALL,2250113,0.0072%
1994,AND,SVK,ALL,13890,0.000044%
1994,AND,SVN,ALL,42752,0.00014%
1994,AND,MEX,ALL,1500,0.0000048%
1994,AND,USA,ALL,4822596,0.015%
1994,AND,BRA,ALL,123926,0.00040%
1994,AND,VEN,ALL,23074,0.000074%
1995,AND,AGO,ALL,984,0.0000032%
1995,AND,COD,ALL,121556,0.00039%
1995,AND,EGY,ALL,9956,0.000032%
1995,AND,KEN,ALL,5435,0.000017%
1995,AND,MAR,ALL,214742,0.00069%
1995,AND,MLI,ALL,9368,0.000030%
1995,AND,MRT,ALL,30666,0.000098%
1995,AND,MUS,ALL,69327,0.00022%
1995,AND,STP,ALL,921,0.0000029%
1995,AND,TUN,ALL,1297558,0.0042%
1995,AND,UGA,ALL,15580,0.000050%
1995,AND,ZAF,ALL,69787,0.00022%
1995,AND,ZWE,ALL,2936,0.0000094%
1995,AND,AFG,ALL,9938,0.000032%
1995,AND,AZE,ALL,17081,0.000055%
1995,AND,BGD,ALL,10503,0.000034%
1995,AND,CHN,ALL,11688197,0.037%
1995,AND,CYP,ALL,5273,0.000017%
1995,AND,GEO,ALL,4149,0.000013%
1995,AND,HKG,ALL,2323312,0.0074%
1995,AND,IDN,ALL,1077482,0.0035%
1995,AND,IND,ALL,428454,0.0014%
1995,AND,IRN,ALL,210343,0.00067%
1995,AND,ISR,ALL,182194,0.00058%
1995,AND,JPN,ALL,31401415,0.10%
1995,AND,KOR,ALL,4999944,0.016%
1995,AND,LAO,ALL,3854,0.000012%
1995,AND,LKA,ALL,23074,0.000074%
1995,AND,MAC,ALL,27744,0.000089%
1995,AND,MMR,ALL,16440,0.000053%
1995,AND,MYS,ALL,5756995,0.018%
1995,AND,NPL,ALL,15148,0.000049%
1995,AND,PAK,ALL,103949,0.00033%
1995,AND,PHL,ALL,582420,0.0019%
1995,AND,PRK,ALL,61788,0.00020%
1995,AND,SAU,ALL,13652,0.000044%
1995,AND,SGP,ALL,2487760,0.0080%
1995,AND,THA,ALL,2533837,0.0081%
1995,AND,TKM,ALL,1913,0.0000061%
1995,AND,TUR,ALL,1241258,0.0040%
1995,AND,VNM,ALL,126802,0.00041%
