year,country_origin_id,country_destination_id,sitc_product_id,import_val,import_val_pct
1992,BIH,ISR,ALL,735412,0.00055%
1992,BIH,TUR,ALL,2677053,0.0020%
1992,BIH,AUT,ALL,9860443,0.0073%
1992,BIH,BEL,ALL,3034932,0.0023%
1992,BIH,CHE,ALL,2710826,0.0020%
1992,BIH,DEU,ALL,40641000,0.030%
1992,BIH,DNK,ALL,195092,0.00015%
1992,BIH,ESP,ALL,469541,0.00035%
1992,BIH,FRA,ALL,4462265,0.0033%
1992,BIH,GRC,ALL,4165377,0.0031%
1992,BIH,HRV,ALL,192254620,0.14%
1992,BIH,IRL,ALL,182027,0.00014%
1992,BIH,ITA,ALL,21505810,0.016%
1992,BIH,NLD,ALL,3992496,0.0030%
1992,BIH,POL,ALL,537000,0.00040%
1992,BIH,PRT,ALL,361499,0.00027%
1992,BIH,SVN,ALL,22798338,0.017%
1992,BIH,SWE,ALL,1470173,0.0011%
1992,BIH,USA,ALL,5351811,0.0040%
1993,BIH,CHN,ALL,973,7.2e-7%
1993,BIH,HKG,ALL,5558,0.0000041%
1993,BIH,IND,ALL,16168,0.000012%
1993,BIH,ISR,ALL,1886865,0.0014%
1993,BIH,TUR,ALL,2291110,0.0017%
1993,BIH,AUT,ALL,6887595,0.0051%
1993,BIH,BEL,ALL,1719838,0.0013%
1993,BIH,CHE,ALL,1254457,0.00093%
1993,BIH,CZE,ALL,2503805,0.0019%
1993,BIH,DEU,ALL,23249000,0.017%
1993,BIH,DNK,ALL,2818280,0.0021%
1993,BIH,ESP,ALL,832400,0.00062%
1993,BIH,FIN,ALL,3990,0.0000030%
1993,BIH,FRA,ALL,7298858,0.0054%
1993,BIH,GBR,ALL,5003443,0.0037%
1993,BIH,GRC,ALL,15958183,0.012%
1993,BIH,HRV,ALL,188676185,0.14%
1993,BIH,HUN,ALL,2323000,0.0017%
1993,BIH,IRL,ALL,1159432,0.00086%
1993,BIH,ITA,ALL,21086171,0.016%
1993,BIH,NLD,ALL,9012700,0.0067%
1993,BIH,NOR,ALL,231442,0.00017%
1993,BIH,POL,ALL,1868000,0.0014%
1993,BIH,PRT,ALL,44537,0.000033%
1993,BIH,SVN,ALL,20060000,0.015%
1993,BIH,SWE,ALL,1364164,0.0010%
1993,BIH,USA,ALL,15140836,0.011%
1993,BIH,AUS,ALL,115697,0.000086%
1994,BIH,ZAF,ALL,12586,0.0000094%
1994,BIH,CHN,ALL,375104,0.00028%
1994,BIH,ISR,ALL,2015095,0.0015%
1994,BIH,JPN,ALL,121813,0.000091%
1994,BIH,TUR,ALL,1142514,0.00085%
1994,BIH,AUT,ALL,10648115,0.0079%
1994,BIH,BEL,ALL,5334574,0.0040%
1994,BIH,CHE,ALL,1673779,0.0012%
1994,BIH,CZE,ALL,7136209,0.0053%
1994,BIH,DEU,ALL,40121000,0.030%
1994,BIH,DNK,ALL,2608493,0.0019%
1994,BIH,ESP,ALL,213289,0.00016%
1994,BIH,FIN,ALL,1666110,0.0012%
1994,BIH,FRA,ALL,3681732,0.0027%
1994,BIH,GBR,ALL,4703895,0.0035%
1994,BIH,GRC,ALL,495723,0.00037%
1994,BIH,HRV,ALL,338377086,0.25%
1994,BIH,HUN,ALL,18182000,0.014%
1994,BIH,IRL,ALL,1608201,0.0012%
1994,BIH,ITA,ALL,27311727,0.020%
1994,BIH,NLD,ALL,10399413,0.0077%
1994,BIH,NOR,ALL,1693642,0.0013%
1994,BIH,PRT,ALL,9792,0.0000073%
1994,BIH,SVK,ALL,2961881,0.0022%
1994,BIH,SVN,ALL,68510908,0.051%
1994,BIH,SWE,ALL,1031043,0.00077%
1994,BIH,USA,ALL,38957686,0.029%
1994,BIH,AUS,ALL,41377,0.000031%
1995,BIH,ZAF,ALL,6686600,0.0050%
1995,BIH,CHN,ALL,94952,0.000071%
1995,BIH,ISR,ALL,20000,0.000015%
1995,BIH,TUR,ALL,7830065,0.0058%
1995,BIH,AUT,ALL,16187312,0.012%
1995,BIH,BEL,ALL,6967400,0.0052%
1995,BIH,CHE,ALL,1582170,0.0012%
1995,BIH,CZE,ALL,9044928,0.0067%
1995,BIH,DEU,ALL,64846000,0.048%
1995,BIH,DNK,ALL,3155803,0.0023%
1995,BIH,ESP,ALL,2268953,0.0017%
1995,BIH,FIN,ALL,292833,0.00022%
1995,BIH,FRA,ALL,66775,0.000050%
1995,BIH,GBR,ALL,6356049,0.0047%
