year,country_origin_id,country_destination_id,sitc_product_id,import_val,import_val_pct
1991,ISL,BDI,ALL,574,6.6e-7%
1991,ISL,CIV,ALL,44582,0.000051%
1991,ISL,EGY,ALL,81761,0.000094%
1991,ISL,GHA,ALL,16646,0.000019%
1991,ISL,KEN,ALL,27764,0.000032%
1991,ISL,MAR,ALL,476527,0.00055%
1991,ISL,MDG,ALL,3091,0.0000036%
1991,ISL,MLI,ALL,13128,0.000015%
1991,ISL,MOZ,ALL,74645,0.000086%
1991,ISL,MRT,ALL,6420,0.0000074%
1991,ISL,MUS,ALL,56453,0.000065%
1991,ISL,SDN,ALL,33743,0.000039%
1991,ISL,SOM,ALL,1087,0.0000013%
1991,ISL,TUN,ALL,1524843,0.0018%
1991,ISL,TZA,ALL,567,6.5e-7%
1991,ISL,ZAF,ALL,402259,0.00046%
1991,ISL,ZMB,ALL,4890,0.0000056%
1991,ISL,ZWE,ALL,18181,0.000021%
1991,ISL,AFG,ALL,2215,0.0000026%
1991,ISL,BGD,ALL,77810,0.000090%
1991,ISL,CHN,ALL,8383415,0.0097%
1991,ISL,CYP,ALL,78012,0.000090%
1991,ISL,HKG,ALL,10512329,0.012%
1991,ISL,IDN,ALL,844316,0.00097%
1991,ISL,IND,ALL,1573868,0.0018%
1991,ISL,IRN,ALL,60085,0.000069%
1991,ISL,ISR,ALL,1857413,0.0021%
1991,ISL,JPN,ALL,115420314,0.13%
1991,ISL,KOR,ALL,12970994,0.015%
1991,ISL,LBN,ALL,2203,0.0000025%
1991,ISL,LKA,ALL,351505,0.00041%
1991,ISL,MAC,ALL,766855,0.00088%
1991,ISL,MMR,ALL,29933,0.000035%
1991,ISL,MYS,ALL,1180868,0.0014%
1991,ISL,NPL,ALL,475,5.5e-7%
1991,ISL,PAK,ALL,464979,0.00054%
1991,ISL,PHL,ALL,882372,0.0010%
1991,ISL,SGP,ALL,1959957,0.0023%
1991,ISL,THA,ALL,4523208,0.0052%
1991,ISL,TUR,ALL,2583938,0.0030%
1991,ISL,VNM,ALL,1099,0.0000013%
1991,ISL,AUT,ALL,13764175,0.016%
1991,ISL,BEL,ALL,34326546,0.040%
1991,ISL,BGR,ALL,214049,0.00025%
1991,ISL,CHE,ALL,22995006,0.027%
1991,ISL,CSK,ALL,5950522,0.0069%
1991,ISL,DEU,ALL,204515499,0.24%
1991,ISL,DNK,ALL,136286857,0.16%
1991,ISL,ESP,ALL,26368995,0.030%
1991,ISL,FIN,ALL,28015652,0.032%
1991,ISL,FRA,ALL,59483478,0.069%
1991,ISL,FRO,ALL,3584554,0.0041%
1991,ISL,GBR,ALL,137579075,0.16%
1991,ISL,GRC,ALL,1788258,0.0021%
1991,ISL,HUN,ALL,1746660,0.0020%
1991,ISL,IRL,ALL,8313216,0.0096%
1991,ISL,ITA,ALL,54148499,0.062%
1991,ISL,MLT,ALL,63916,0.000074%
1991,ISL,NLD,ALL,158808258,0.18%
1991,ISL,NOR,ALL,88679462,0.10%
1991,ISL,POL,ALL,5531543,0.0064%
1991,ISL,PRT,ALL,18884289,0.022%
1991,ISL,ROU,ALL,339955,0.00039%
1991,ISL,SUN,ALL,51136796,0.059%
1991,ISL,SWE,ALL,119255517,0.14%
1991,ISL,YUG,ALL,2019374,0.0023%
1991,ISL,BMU,ALL,46719,0.000054%
1991,ISL,CAN,ALL,12421611,0.014%
1991,ISL,CRI,ALL,919268,0.0011%
1991,ISL,DOM,ALL,1240,0.0000014%
1991,ISL,GRL,ALL,78550,0.000091%
1991,ISL,GTM,ALL,80700,0.000093%
1991,ISL,HND,ALL,205143,0.00024%
1991,ISL,JAM,ALL,42730,0.000049%
1991,ISL,MEX,ALL,633116,0.00073%
1991,ISL,NIC,ALL,37072,0.000043%
1991,ISL,PAN,ALL,1958183,0.0023%
1991,ISL,SLV,ALL,116423,0.00013%
1991,ISL,USA,ALL,167157997,0.19%
1991,ISL,VGB,ALL,5908,0.0000068%
1991,ISL,AUS,ALL,45412984,0.052%
1991,ISL,NZL,ALL,1015125,0.0012%
1991,ISL,ARG,ALL,380519,0.00044%
1991,ISL,BRA,ALL,4434682,0.0051%
1991,ISL,CHL,ALL,940003,0.0011%
1991,ISL,COL,ALL,724935,0.00084%
1991,ISL,ECU,ALL,19194,0.000022%
1991,ISL,FLK,ALL,67793,0.000078%
1991,ISL,PER,ALL,112678,0.00013%
1991,ISL,SUR,ALL,1291,0.0000015%
1991,ISL,URY,ALL,114798,0.00013%
1991,ISL,VEN,ALL,5398,0.0000062%
1992,ISL,CIV,ALL,12039,0.000014%
1992,ISL,EGY,ALL,74017,0.000085%
1992,ISL,ETH,ALL,2484,0.0000029%
1992,ISL,GHA,ALL,18333,0.000021%
1992,ISL,GIN,ALL,2901,0.0000033%
1992,ISL,KEN,ALL,44918,0.000052%
1992,ISL,MAR,ALL,874543,0.0010%
1992,ISL,MDG,ALL,1985,0.0000023%
1992,ISL,MLI,ALL,22413,0.000026%
1992,ISL,MOZ,ALL,33347,0.000038%
1992,ISL,MRT,ALL,3881,0.0000045%
1992,ISL,MUS,ALL,55070,0.000063%
1992,ISL,SDN,ALL,141196,0.00016%
1992,ISL,SEN,ALL,2401,0.0000028%
1992,ISL,TUN,ALL,1916775,0.0022%
1992,ISL,TZA,ALL,1117,0.0000013%
1992,ISL,ZAF,ALL,3134445,0.0036%
1992,ISL,ZMB,ALL,1378,0.0000016%
1992,ISL,ZWE,ALL,70775,0.000082%
1992,ISL,AFG,ALL,5407,0.0000062%
