year,country_origin_id,country_destination_id,sitc_product_id,import_val,import_val_pct
1993,MKD,CHN,ALL,454899,0.00052%
1993,MKD,ISR,ALL,2316639,0.0026%
1993,MKD,JPN,ALL,3072084,0.0035%
1993,MKD,KOR,ALL,2030408,0.0023%
1993,MKD,TUR,ALL,33735239,0.038%
1993,MKD,AUT,ALL,42216304,0.048%
1993,MKD,BEL,ALL,15277707,0.017%
1993,MKD,CHE,ALL,52029807,0.059%
1993,MKD,DEU,ALL,238319000,0.27%
1993,MKD,DNK,ALL,5838010,0.0066%
1993,MKD,FIN,ALL,229717,0.00026%
1993,MKD,FRA,ALL,41352846,0.047%
1993,MKD,GBR,ALL,66434999,0.076%
1993,MKD,GRC,ALL,145261095,0.17%
1993,MKD,HRV,ALL,62733590,0.071%
1993,MKD,HUN,ALL,13273000,0.015%
1993,MKD,IRL,ALL,44766,0.000051%
1993,MKD,ITA,ALL,182412287,0.21%
1993,MKD,NLD,ALL,45158455,0.051%
1993,MKD,NOR,ALL,36817,0.000042%
1993,MKD,POL,ALL,28008000,0.032%
1993,MKD,SVN,ALL,198187558,0.23%
1993,MKD,SWE,ALL,6010743,0.0068%
1993,MKD,USA,ALL,11356326,0.013%
1993,MKD,AUS,ALL,1557053,0.0018%
1994,MKD,CIV,ALL,75433,0.000086%
1994,MKD,CMR,ALL,627759,0.00071%
1994,MKD,COD,ALL,84079,0.000096%
1994,MKD,DZA,ALL,49341,0.000056%
1994,MKD,EGY,ALL,3328147,0.0038%
1994,MKD,ETH,ALL,12804,0.000015%
1994,MKD,GHA,ALL,343839,0.00039%
1994,MKD,LBY,ALL,1124226,0.0013%
1994,MKD,MAR,ALL,150826,0.00017%
1994,MKD,MDG,ALL,19895,0.000023%
1994,MKD,MOZ,ALL,1071,0.0000012%
1994,MKD,NGA,ALL,17108,0.000019%
1994,MKD,RWA,ALL,43972,0.000050%
1994,MKD,SDN,ALL,463476,0.00053%
1994,MKD,TCD,ALL,5930,0.0000067%
1994,MKD,TUN,ALL,1086,0.0000012%
1994,MKD,UGA,ALL,3581,0.0000041%
1994,MKD,ZAF,ALL,69424,0.000079%
1994,MKD,ZWE,ALL,172907,0.00020%
1994,MKD,ATF,ALL,3068,0.0000035%
1994,MKD,ARE,ALL,80385,0.000091%
1994,MKD,AZE,ALL,6027,0.0000069%
1994,MKD,BGD,ALL,23655,0.000027%
1994,MKD,CHN,ALL,5114118,0.0058%
1994,MKD,CYP,ALL,2166062,0.0025%
1994,MKD,HKG,ALL,1861870,0.0021%
1994,MKD,IDN,ALL,192035,0.00022%
1994,MKD,IND,ALL,1826879,0.0021%
1994,MKD,IRN,ALL,2565530,0.0029%
1994,MKD,ISR,ALL,4708224,0.0054%
1994,MKD,JOR,ALL,5297446,0.0060%
1994,MKD,JPN,ALL,11556221,0.013%
1994,MKD,KAZ,ALL,505890,0.00058%
1994,MKD,KGZ,ALL,209642,0.00024%
1994,MKD,KOR,ALL,10953622,0.012%
1994,MKD,LAO,ALL,64856,0.000074%
1994,MKD,LBN,ALL,91271,0.00010%
1994,MKD,LKA,ALL,1020389,0.0012%
1994,MKD,MAC,ALL,463,5.3e-7%
1994,MKD,MDV,ALL,4703,0.0000054%
1994,MKD,MYS,ALL,1811407,0.0021%
1994,MKD,NPL,ALL,1774,0.0000020%
1994,MKD,PAK,ALL,2226632,0.0025%
1994,MKD,PHL,ALL,15173,0.000017%
1994,MKD,PRK,ALL,38751,0.000044%
1994,MKD,QAT,ALL,17168,0.000020%
1994,MKD,SGP,ALL,1078516,0.0012%
1994,MKD,SYR,ALL,141303,0.00016%
1994,MKD,THA,ALL,748971,0.00085%
1994,MKD,TJK,ALL,33806,0.000038%
1994,MKD,TUR,ALL,43635663,0.050%
1994,MKD,ALB,ALL,7524371,0.0086%
1994,MKD,AUT,ALL,41925817,0.048%
1994,MKD,BEL,ALL,27545153,0.031%
1994,MKD,BGR,ALL,221405735,0.25%
1994,MKD,BIH,ALL,804040,0.00091%
1994,MKD,BLR,ALL,842823,0.00096%
1994,MKD,CHE,ALL,28410357,0.032%
1994,MKD,CZE,ALL,29827598,0.034%
1994,MKD,DEU,ALL,233463939,0.27%
1994,MKD,DNK,ALL,6101894,0.0069%
1994,MKD,ESP,ALL,6736570,0.0077%
1994,MKD,EST,ALL,567608,0.00065%
1994,MKD,FIN,ALL,5488812,0.0062%
1994,MKD,FRA,ALL,47321942,0.054%
1994,MKD,GBR,ALL,22481439,0.026%
1994,MKD,GIB,ALL,35147,0.000040%
1994,MKD,GRC,ALL,23774895,0.027%
1994,MKD,HRV,ALL,56147880,0.064%
1994,MKD,HUN,ALL,16769863,0.019%
1994,MKD,IRL,ALL,1198101,0.0014%
1994,MKD,ISL,ALL,20874,0.000024%
1994,MKD,ITA,ALL,111907927,0.13%
