year,country_origin_id,country_destination_id,sitc_product_id,import_val,import_val_pct
2006,MNE,BEN,ALL,954,0.0000037%
2006,MNE,BFA,ALL,98,3.8e-7%
2006,MNE,CIV,ALL,24601,0.000096%
2006,MNE,COD,ALL,1365,0.0000053%
2006,MNE,COG,ALL,18,7.0e-8%
2006,MNE,CPV,ALL,290,0.0000011%
2006,MNE,EGY,ALL,710097,0.0028%
2006,MNE,ETH,ALL,982,0.0000038%
2006,MNE,GHA,ALL,55778,0.00022%
2006,MNE,GIN,ALL,137954,0.00054%
2006,MNE,GMB,ALL,26385,0.00010%
2006,MNE,GNQ,ALL,731,0.0000029%
2006,MNE,KEN,ALL,1120,0.0000044%
2006,MNE,MAR,ALL,365559,0.0014%
2006,MNE,MDG,ALL,22125,0.000086%
2006,MNE,MLI,ALL,28163,0.00011%
2006,MNE,MRT,ALL,5118,0.000020%
2006,MNE,MUS,ALL,101895,0.00040%
2006,MNE,MYT,ALL,17811,0.000069%
2006,MNE,NAM,ALL,906,0.0000035%
2006,MNE,NGA,ALL,1262,0.0000049%
2006,MNE,RWA,ALL,4264,0.000017%
2006,MNE,SDN,ALL,12536,0.000049%
2006,MNE,SEN,ALL,74,2.9e-7%
2006,MNE,SHN,ALL,100,3.9e-7%
2006,MNE,SOM,ALL,1156,0.0000045%
2006,MNE,SWZ,ALL,28836,0.00011%
2006,MNE,TUN,ALL,144801,0.00056%
2006,MNE,UGA,ALL,1490,0.0000058%
2006,MNE,ZAF,ALL,143572,0.00056%
2006,MNE,ZMB,ALL,50545,0.00020%
2006,MNE,ZWE,ALL,28,1.1e-7%
2006,MNE,AFG,ALL,6308,0.000025%
2006,MNE,ARE,ALL,205290,0.00080%
2006,MNE,BGD,ALL,469821,0.0018%
2006,MNE,CCK,ALL,838,0.0000033%
2006,MNE,CHN,ALL,64484615,0.25%
2006,MNE,CYP,ALL,556685,0.0022%
2006,MNE,GEO,ALL,10556,0.000041%
2006,MNE,HKG,ALL,990560,0.0039%
