"","year","ALB","AND","BIH","ISL","MKD","MNE","NOR","SRB","CHE","TUR"
"1",1992,NA,NA,NA,"1.43%",NA,NA,"1.47%",NA,"0.35%","4.43%"
"2",1993,NA,NA,NA,"2.47%",NA,NA,"1.43%",NA,"0.4%","5.11%"
"3",1994,NA,NA,NA,"2.19%","2.84%",NA,"2.24%",NA,"0.53%","4.46%"
"4",1995,NA,"0.02%",NA,"2.23%","3.25%",NA,"1.81%",NA,"0.51%","5.81%"
"5",1996,"0.23%","0.02%","2.11%","2.39%","7.34%",NA,"1.72%",NA,"2.77%","4.46%"
"6",1997,"1%","0.02%","0.62%","2.11%","0.9%",NA,"1.62%",NA,"2.62%","4.87%"
"7",1998,"1%","0.02%","0.62%","2.11%","0.9%",NA,"1.62%",NA,"2.62%","4.87%"
"8",1999,"0.32%","0.01%","0.8%","1.87%","4.62%",NA,"2.02%",NA,"4.61%","5.92%"
"9",2000,"1.99%","0%","1.37%","1.76%","8.65%",NA,"2.43%",NA,"4.44%","7.41%"
"10",2001,"1.25%","0.02%","0.95%","0.36%","8.36%",NA,"2.39%",NA,"4.4%","8.46%"
"11",2002,"2.46%","0.01%","0.41%","0.04%","6.55%",NA,"2.14%",NA,"2.23%","7.79%"
"12",2003,"2.78%","0.02%","1.99%","2.63%","7.5%",NA,"2.09%",NA,"1.64%","8.13%"
"13",2004,"2.89%","0.15%","2.18%","0.07%","8.46%",NA,"2.4%",NA,"3.52%","9.53%"
"14",2005,"3.89%",NA,"2.85%","0.53%","13.03%",NA,"2.42%",NA,"5.3%","11.15%"
"15",2006,"3.9%","0%","2.25%","0.35%","13.88%","2.23%","2.55%","18.02%","2.77%","12.99%"
"16",2007,"3.94%","0%","1.97%","1.1%","12.29%","5.53%","2.57%","14.07%","1.68%","14.07%"
"17",2008,"4.3%",NA,"2.13%","0.61%","13.62%","3.6%","2.27%","15.35%","1.58%","15.9%"
"18",2009,"2.63%",NA,"6.98%","0.13%","9.63%","2.22%","1.7%","12.25%","1.15%","14.21%"
"19",2010,"2.25%",NA,"8.72%","0.32%","0.47%","2.63%","2.66%","12.96%","1.46%","12.01%"
"20",2011,"1.94%","0%","10.51%","0.44%","9.75%","0.45%","1.81%","13.26%","0.48%","8.75%"
"21",2012,"2.46%","0%","9.79%","0.29%","5.55%","0.75%","1.66%","10.64%","0.29%","9.78%"
"22",2013,"1.87%","0%","9.89%","0.25%","2.42%","0.2%","1.24%","9.11%","0.52%","8.37%"
"23",2014,"2.11%","0%","7.95%","0.35%","1.82%","0.18%","1.47%","10.41%","1.2%","8.85%"
"24",2015,"2.12%",NA,"6.11%","0.35%","2.58%","0.26%","1.31%","9.66%","0.67%","9.83%"
"25",2016,"1.66%",NA,"4.7%","0.22%","2.06%","0.25%","1.31%","8.03%","0.64%","7.28%"
