"","year","ALB","AND","BIH","ISL","MKD","MNE","NOR","SRB","CHE","TUR"
"1",1991,"5.73%","1.43%",NA,"10.53%",NA,NA,"7.73%",NA,"7.33%","10.44%"
"2",1992,"7.58%","1.53%","1.69%","7.82%",NA,NA,"8.48%",NA,"6.34%","11.21%"
"3",1993,"5.83%","1.63%","4.55%","9.22%","0.95%",NA,"7.97%",NA,"6.45%","11.39%"
"4",1994,"2.58%","0.57%","6.59%","8.86%","3.39%",NA,"7.32%",NA,"6.7%","10.8%"
"5",1995,"1.68%","4.29%","3.57%","8.34%","3.28%",NA,"6.65%",NA,"6.28%","10.4%"
"6",1996,"2.37%","5.6%","3.37%","12.28%","4.06%",NA,"6.4%",NA,"6.9%","7.88%"
"7",1997,"2.25%","3.05%","1.76%","11.13%","0.84%",NA,"7.78%",NA,"6.94%","9.09%"
"8",1998,"2.25%","3.05%","1.76%","11.13%","0.84%",NA,"7.78%",NA,"6.94%","9.09%"
"9",1999,"3.88%","2.25%","2.43%","11.38%","3.37%",NA,"7.91%",NA,"6.68%","7.82%"
"10",2000,"1.91%","1.86%","1.89%","10.89%","3.9%",NA,"8.15%",NA,"7.62%","7.36%"
"11",2001,"1.22%","1.82%","1.7%","10.57%","3.16%",NA,"7.09%",NA,"6.52%","8.09%"
"12",2002,"1.72%","1.68%","0.97%","11.91%","2.87%",NA,"6.17%",NA,"7.01%","6.31%"
"13",2003,"1.05%","1.5%","1.55%","10.99%","2.43%",NA,"5.1%",NA,"5.81%","5.24%"
"14",2004,"1.65%","1.34%","1.46%","9.51%","1.6%",NA,"4.85%",NA,"5.33%","5.05%"
"15",2005,"1.43%","0.61%","1.89%","9.29%","1.76%",NA,"5.13%",NA,"5.4%","4.76%"
"16",2006,"1.26%","0.51%","1.92%","13.17%","1.07%","1.75%","5.35%","1.98%","6%","4.6%"
"17",2007,"1.2%","0.78%","2.11%","13.24%","1.46%","2.1%","4.79%","1.91%","5.6%","4.89%"
"18",2008,"1.28%","0.84%","3.19%","8.06%","1.39%","2.3%","5.35%","2.14%","5.62%","5.99%"
"19",2009,"1.34%","0.61%","2.55%","11.71%","2.13%","1.53%","5.96%","2.21%","5.64%","6.19%"
"20",2010,"1.56%","0.54%","3.55%","8.53%","0.77%","1.12%","5.42%","1.53%","5.52%","6.77%"
"21",2011,"1.3%","0.59%","4%","9.79%","1.21%","0.73%","5.03%","1.42%","4.9%","6.4%"
"22",2012,"2.08%","0.63%","2.5%","9.08%","1.13%","0.72%","5.05%","1.37%","5.57%","5.71%"
"23",2013,"1.93%","0.52%","2.5%","7.07%","1.65%","0.82%","5.09%","1.47%","6.01%","4.85%"
"24",2014,"1.73%","0.56%","2.91%","7.1%","1.56%","0.85%","5.85%","1.33%","7.7%","5.13%"
"25",2015,"1.54%",NA,"2.95%","6.82%","1.6%","0.96%","6.49%","1.62%","8.23%","6%"
"26",2016,"1.84%",NA,"2.07%","8.85%","2.36%","1.28%","6.53%","1.73%","9.11%","5.99%"
