year,country_origin_id,country_destination_id,sitc_product_id,export_val,export_val_pct
1991,AND,TUN,ALL,262104,0.013%
1991,AND,CHN,ALL,299602,0.014%
1991,AND,CYP,ALL,1871,0.000089%
1991,AND,JPN,ALL,298073,0.014%
1991,AND,KOR,ALL,23080,0.0011%
1991,AND,MYS,ALL,19930,0.00095%
1991,AND,TUR,ALL,5173,0.00025%
1991,AND,BEL,ALL,187086,0.0089%
1991,AND,CHE,ALL,15907,0.00076%
1991,AND,DEU,ALL,1776571,0.085%
1991,AND,DNK,ALL,18735,0.00089%
1991,AND,ESP,ALL,14936811,0.71%
1991,AND,FRA,ALL,14636945,0.70%
1991,AND,FRO,ALL,991,0.000047%
1991,AND,GBR,ALL,50865,0.0024%
1991,AND,GRC,ALL,548198,0.026%
1991,AND,IRL,ALL,28427,0.0014%
1991,AND,ITA,ALL,634634,0.030%
1991,AND,MLT,ALL,689,0.000033%
1991,AND,NLD,ALL,1138590,0.054%
1991,AND,POL,ALL,136516,0.0065%
1991,AND,PRT,ALL,1110231,0.053%
1991,AND,CRI,ALL,2414,0.00012%
1991,AND,GTM,ALL,41031,0.0020%
1991,AND,USA,ALL,187954,0.0090%
1991,AND,FJI,ALL,462,0.000022%
1991,AND,CHL,ALL,2281,0.00011%
1991,AND,VEN,ALL,7574,0.00036%
1992,AND,CHN,ALL,626705,0.030%
1992,AND,CYP,ALL,14041,0.00067%
1992,AND,JPN,ALL,13523,0.00065%
1992,AND,MYS,ALL,957,0.000046%
1992,AND,QAT,ALL,4487,0.00021%
1992,AND,BEL,ALL,263345,0.013%
1992,AND,DEU,ALL,1742563,0.083%
1992,AND,DNK,ALL,39979,0.0019%
1992,AND,ESP,ALL,10350296,0.49%
1992,AND,FRA,ALL,10720149,0.51%
1992,AND,GBR,ALL,29665,0.0014%
1992,AND,GRC,ALL,871076,0.042%
1992,AND,IRL,ALL,2696,0.00013%
1992,AND,ITA,ALL,523610,0.025%
1992,AND,NLD,ALL,1943447,0.093%
1992,AND,NOR,ALL,50643,0.0024%
1992,AND,PRT,ALL,140801,0.0067%
1992,AND,SVN,ALL,5125,0.00024%
1992,AND,GTM,ALL,1555,0.000074%
1992,AND,USA,ALL,57985,0.0028%
1992,AND,FJI,ALL,964,0.000046%
1992,AND,ARG,ALL,47723,0.0023%
1992,AND,CHL,ALL,11248,0.00054%
1992,AND,URY,ALL,45183,0.0022%
1993,AND,TUN,ALL,10543,0.00050%
1993,AND,ZWE,ALL,495,0.000024%
1993,AND,CHN,ALL,113684,0.0054%
1993,AND,MYS,ALL,796,0.000038%
1993,AND,PHL,ALL,521,0.000025%
1993,AND,QAT,ALL,2095,0.00010%
1993,AND,THA,ALL,14698,0.00070%
1993,AND,BEL,ALL,241610,0.012%
1993,AND,CHE,ALL,44205,0.0021%
1993,AND,CZE,ALL,489,0.000023%
1993,AND,DEU,ALL,157779,0.0075%
1993,AND,DNK,ALL,22106,0.0011%
1993,AND,ESP,ALL,11034779,0.53%
1993,AND,FRA,ALL,11920244,0.57%
1993,AND,GBR,ALL,120542,0.0058%
1993,AND,GRC,ALL,30593,0.0015%
1993,AND,HRV,ALL,21712,0.0010%
1993,AND,ITA,ALL,1779407,0.085%
1993,AND,NLD,ALL,87372,0.0042%
1993,AND,PRT,ALL,121417,0.0058%
1993,AND,ROU,ALL,13569,0.00065%
1993,AND,GRL,ALL,583,0.000028%
1993,AND,HND,ALL,119137,0.0057%
1993,AND,MEX,ALL,8950,0.00043%
1993,AND,USA,ALL,133844,0.0064%
1993,AND,FJI,ALL,506,0.000024%
1993,AND,BRA,ALL,77014,0.0037%
1993,AND,CHL,ALL,26564,0.0013%
1993,AND,COL,ALL,98508,0.0047%
1993,AND,ECU,ALL,19727,0.00094%
1993,AND,URY,ALL,52949,0.0025%
1993,AND,VEN,ALL,5384,0.00026%
1994,AND,REU,ALL,1545,0.000074%
1994,AND,TUN,ALL,6515,0.00031%
1994,AND,ZAF,ALL,3025,0.00014%
1994,AND,ZWE,ALL,2390,0.00011%
1994,AND,BHR,ALL,65478,0.0031%
1994,AND,JPN,ALL,19488,0.00093%
1994,AND,MYS,ALL,5570,0.00027%
1994,AND,THA,ALL,2641,0.00013%
1994,AND,BEL,ALL,128324,0.0061%
1994,AND,CHE,ALL,79962,0.0038%
1994,AND,CZE,ALL,40604,0.0019%
1994,AND,DEU,ALL,853994,0.041%
1994,AND,DNK,ALL,6822,0.00033%
1994,AND,ESP,ALL,24230714,1.2%
1994,AND,FRA,ALL,13629533,0.65%
1994,AND,GBR,ALL,411130,0.020%
1994,AND,GRC,ALL,81740,0.0039%
1994,AND,HRV,ALL,36721,0.0018%
1994,AND,HUN,ALL,357604,0.017%
1994,AND,IRL,ALL,556,0.000027%
1994,AND,ITA,ALL,1453143,0.069%
1994,AND,LTU,ALL,27316,0.0013%
1994,AND,NLD,ALL,96638,0.0046%
1994,AND,PRT,ALL,195067,0.0093%
1994,AND,ROU,ALL,6248,0.00030%
1994,AND,SVK,ALL,9639,0.00046%
1994,AND,SVN,ALL,119728,0.0057%
1994,AND,GRL,ALL,1275,0.000061%
1994,AND,GTM,ALL,255434,0.012%
1994,AND,HND,ALL,1561,0.000075%
1994,AND,MEX,ALL,13478,0.00064%
1994,AND,USA,ALL,109951,0.0053%
1994,AND,GLP,ALL,446,0.000021%
1994,AND,NZL,ALL,548,0.000026%
1994,AND,ARG,ALL,6041,0.00029%
