year,country_origin_id,country_destination_id,sitc_product_id,export_val,export_val_pct
1991,ISL,EGY,ALL,69198,0.000090%
1991,ISL,LBY,ALL,1425880,0.0019%
1991,ISL,MUS,ALL,16934,0.000022%
1991,ISL,NGA,ALL,27182852,0.035%
1991,ISL,REU,ALL,54180,0.000070%
1991,ISL,TUN,ALL,34781,0.000045%
1991,ISL,ZWE,ALL,179399,0.00023%
1991,ISL,ARE,ALL,76611,0.000099%
1991,ISL,BRN,ALL,1107,0.0000014%
1991,ISL,CHN,ALL,118730,0.00015%
1991,ISL,CYP,ALL,185095,0.00024%
1991,ISL,HKG,ALL,223979,0.00029%
1991,ISL,IND,ALL,21025,0.000027%
1991,ISL,ISR,ALL,1066485,0.0014%
1991,ISL,JPN,ALL,124020352,0.16%
1991,ISL,KOR,ALL,5984972,0.0078%
1991,ISL,LKA,ALL,226919,0.00029%
1991,ISL,MYS,ALL,6907,0.0000090%
1991,ISL,PAK,ALL,589075,0.00076%
1991,ISL,PHL,ALL,3286,0.0000043%
1991,ISL,SAU,ALL,6318145,0.0082%
1991,ISL,THA,ALL,2397212,0.0031%
1991,ISL,TUR,ALL,423788,0.00055%
1991,ISL,AUT,ALL,3470195,0.0045%
1991,ISL,BEL,ALL,20449154,0.027%
1991,ISL,CHE,ALL,41961829,0.054%
1991,ISL,DEU,ALL,208179258,0.27%
1991,ISL,DNK,ALL,67685577,0.088%
1991,ISL,ESP,ALL,62798281,0.082%
1991,ISL,FIN,ALL,8058271,0.010%
1991,ISL,FRA,ALL,166319027,0.22%
1991,ISL,FRO,ALL,12755795,0.017%
1991,ISL,GBR,ALL,382496932,0.50%
1991,ISL,GRC,ALL,12973799,0.017%
1991,ISL,HUN,ALL,193954,0.00025%
1991,ISL,IRL,ALL,1558338,0.0020%
1991,ISL,ITA,ALL,33930979,0.044%
1991,ISL,MLT,ALL,112909,0.00015%
1991,ISL,NLD,ALL,23268207,0.030%
1991,ISL,NOR,ALL,19273803,0.025%
1991,ISL,POL,ALL,784156,0.0010%
1991,ISL,PRT,ALL,65464537,0.085%
1991,ISL,SWE,ALL,24221662,0.031%
1991,ISL,BRB,ALL,3433,0.0000045%
1991,ISL,CAN,ALL,10307102,0.013%
1991,ISL,GRL,ALL,1567256,0.0020%
1991,ISL,GTM,ALL,60090,0.000078%
1991,ISL,HND,ALL,58020,0.000075%
1991,ISL,JAM,ALL,3454,0.0000045%
1991,ISL,MEX,ALL,742855,0.00096%
1991,ISL,MTQ,ALL,732835,0.00095%
1991,ISL,USA,ALL,200209168,0.26%
1991,ISL,AUS,ALL,1058924,0.0014%
1991,ISL,FJI,ALL,59354,0.000077%
1991,ISL,GLP,ALL,1510074,0.0020%
1991,ISL,NZL,ALL,169396,0.00022%
1991,ISL,ARG,ALL,99401,0.00013%
1991,ISL,BOL,ALL,2218,0.0000029%
1991,ISL,BRA,ALL,2938445,0.0038%
1991,ISL,CHL,ALL,580981,0.00075%
1991,ISL,COL,ALL,138071,0.00018%
1991,ISL,ECU,ALL,753,9.8e-7%
1991,ISL,GUF,ALL,24554,0.000032%
1991,ISL,PER,ALL,9243,0.000012%
1991,ISL,VEN,ALL,9355,0.000012%
1992,ISL,DZA,ALL,62525,0.000081%
1992,ISL,EGY,ALL,1890862,0.0025%
1992,ISL,MAR,ALL,195772,0.00025%
1992,ISL,MUS,ALL,43809,0.000057%
1992,ISL,REU,ALL,1736,0.0000023%
1992,ISL,TUN,ALL,13907,0.000018%
1992,ISL,ZAF,ALL,2848661,0.0037%
1992,ISL,ARE,ALL,38361,0.000050%
1992,ISL,BRN,ALL,21379,0.000028%
1992,ISL,CHN,ALL,884223,0.0011%
1992,ISL,CYP,ALL,276983,0.00036%
1992,ISL,HKG,ALL,336872,0.00044%
