year,country_origin_id,country_destination_id,sitc_product_id,export_val,export_val_pct
1993,MKD,ARE,ALL,230672,0.00041%
1993,MKD,CHN,ALL,9351576,0.017%
1993,MKD,IND,ALL,42258,0.000076%
1993,MKD,ISR,ALL,2700385,0.0048%
1993,MKD,JPN,ALL,12827142,0.023%
1993,MKD,KOR,ALL,14984367,0.027%
1993,MKD,TUR,ALL,17870370,0.032%
1993,MKD,AUT,ALL,10980961,0.020%
1993,MKD,BEL,ALL,14154860,0.025%
1993,MKD,CHE,ALL,5084974,0.0091%
1993,MKD,DEU,ALL,264197472,0.47%
1993,MKD,DNK,ALL,3131245,0.0056%
1993,MKD,FIN,ALL,740924,0.0013%
1993,MKD,FRA,ALL,31094823,0.056%
1993,MKD,FRO,ALL,3207,0.0000058%
1993,MKD,GBR,ALL,55299613,0.099%
1993,MKD,GRC,ALL,26568991,0.048%
1993,MKD,HRV,ALL,41386685,0.074%
1993,MKD,HUN,ALL,9729736,0.017%
1993,MKD,IRL,ALL,156433,0.00028%
1993,MKD,ITA,ALL,138008733,0.25%
1993,MKD,NLD,ALL,24311428,0.044%
1993,MKD,NOR,ALL,16053,0.000029%
1993,MKD,POL,ALL,4683760,0.0084%
1993,MKD,ROU,ALL,17843039,0.032%
1993,MKD,SVN,ALL,81117424,0.15%
1993,MKD,SWE,ALL,2625397,0.0047%
1993,MKD,GRL,ALL,2430,0.0000044%
1993,MKD,USA,ALL,105466236,0.19%
1993,MKD,AUS,ALL,1364054,0.0024%
1993,MKD,NZL,ALL,31679,0.000057%
1994,MKD,EGY,ALL,7603255,0.014%
1994,MKD,CYP,ALL,52345,0.000094%
1994,MKD,IND,ALL,30608,0.000055%
1994,MKD,ISR,ALL,2336391,0.0042%
1994,MKD,JPN,ALL,9446316,0.017%
1994,MKD,KOR,ALL,34066625,0.061%
1994,MKD,TUR,ALL,16948837,0.030%
1994,MKD,AUT,ALL,15241894,0.027%
1994,MKD,BEL,ALL,17258897,0.031%
1994,MKD,CHE,ALL,9451869,0.017%
1994,MKD,CZE,ALL,7948074,0.014%
1994,MKD,DEU,ALL,290373235,0.52%
1994,MKD,DNK,ALL,3945470,0.0071%
1994,MKD,ESP,ALL,230757,0.00041%
1994,MKD,FIN,ALL,3022312,0.0054%
1994,MKD,FRA,ALL,48226279,0.086%
1994,MKD,GBR,ALL,8021618,0.014%
1994,MKD,GRC,ALL,4355886,0.0078%
1994,MKD,HRV,ALL,24842950,0.045%
1994,MKD,HUN,ALL,8531842,0.015%
1994,MKD,IRL,ALL,150992,0.00027%
1994,MKD,ITA,ALL,199567492,0.36%
1994,MKD,LTU,ALL,9813,0.000018%
1994,MKD,MDA,ALL,17508,0.000031%
1994,MKD,NLD,ALL,38040784,0.068%
1994,MKD,NOR,ALL,990026,0.0018%
1994,MKD,POL,ALL,3624718,0.0065%
1994,MKD,SVK,ALL,2716298,0.0049%
1994,MKD,SVN,ALL,73199215,0.13%
1994,MKD,SWE,ALL,6494520,0.012%
1994,MKD,GRL,ALL,5354,0.0000096%
1994,MKD,USA,ALL,79303282,0.14%
1994,MKD,AUS,ALL,1225785,0.0022%
1994,MKD,COL,ALL,24055,0.000043%
1995,MKD,EGY,ALL,16035675,0.029%
1995,MKD,CYP,ALL,171626,0.00031%
1995,MKD,IND,ALL,6505455,0.012%
1995,MKD,ISR,ALL,1970305,0.0035%
1995,MKD,JPN,ALL,5041895,0.0090%
1995,MKD,KOR,ALL,34322992,0.062%
1995,MKD,TUR,ALL,46095837,0.083%
1995,MKD,AUT,ALL,19291347,0.035%
1995,MKD,BEL,ALL,22073402,0.040%
1995,MKD,CHE,ALL,6486593,0.012%
1995,MKD,CZE,ALL,12116655,0.022%
1995,MKD,DEU,ALL,300041932,0.54%
1995,MKD,DNK,ALL,4445844,0.0080%
1995,MKD,ESP,ALL,7831851,0.014%
1995,MKD,EST,ALL,44090,0.000079%
1995,MKD,FIN,ALL,899851,0.0016%
