year,country_origin_id,country_destination_id,sitc_product_id,export_val,export_val_pct
1991,TUR,AGO,ALL,907883,0.000050%
1991,TUR,BDI,ALL,226817,0.000012%
1991,TUR,BEN,ALL,178970,0.0000098%
1991,TUR,BFA,ALL,55856,0.0000031%
1991,TUR,CIV,ALL,984370,0.000054%
1991,TUR,CMR,ALL,886045,0.000049%
1991,TUR,COG,ALL,196989,0.000011%
1991,TUR,CPV,ALL,371334,0.000020%
1991,TUR,DJI,ALL,440369,0.000024%
1991,TUR,DZA,ALL,205859280,0.011%
1991,TUR,EGY,ALL,149789883,0.0082%
1991,TUR,ETH,ALL,8589662,0.00047%
1991,TUR,GAB,ALL,181905,0.000010%
1991,TUR,GHA,ALL,4145596,0.00023%
1991,TUR,GIN,ALL,104283,0.0000057%
1991,TUR,GMB,ALL,129563,0.0000071%
1991,TUR,KEN,ALL,1037998,0.000057%
1991,TUR,LBR,ALL,3087572,0.00017%
1991,TUR,LBY,ALL,350836194,0.019%
1991,TUR,MAR,ALL,33718570,0.0019%
1991,TUR,MDG,ALL,7963,4.4e-7%
1991,TUR,MLI,ALL,91708,0.0000050%
1991,TUR,MOZ,ALL,2056,1.1e-7%
1991,TUR,MRT,ALL,28967,0.0000016%
1991,TUR,MUS,ALL,22326,0.0000012%
1991,TUR,NER,ALL,197446,0.000011%
1991,TUR,NGA,ALL,6389374,0.00035%
1991,TUR,REU,ALL,535387,0.000029%
1991,TUR,SDN,ALL,19803413,0.0011%
1991,TUR,SEN,ALL,702969,0.000039%
1991,TUR,SLE,ALL,68035,0.0000037%
1991,TUR,TCD,ALL,1281715,0.000070%
1991,TUR,TGO,ALL,365613,0.000020%
1991,TUR,TUN,ALL,54205564,0.0030%
1991,TUR,TZA,ALL,1572490,0.000086%
1991,TUR,UGA,ALL,4040804,0.00022%
1991,TUR,ZAF,ALL,58438926,0.0032%
1991,TUR,ZMB,ALL,227395,0.000012%
1991,TUR,ZWE,ALL,1291441,0.000071%
1991,TUR,AFG,ALL,802553,0.000044%
1991,TUR,ARE,ALL,75324012,0.0041%
1991,TUR,BGD,ALL,3764043,0.00021%
1991,TUR,BHR,ALL,3898128,0.00021%
1991,TUR,BRN,ALL,68125,0.0000037%
1991,TUR,CHN,ALL,44350546,0.0024%
1991,TUR,CYP,ALL,131000313,0.0072%
1991,TUR,HKG,ALL,31469962,0.0017%
1991,TUR,IDN,ALL,34134103,0.0019%
1991,TUR,IND,ALL,47429810,0.0026%
1991,TUR,IRN,ALL,486898148,0.027%
1991,TUR,IRQ,ALL,122397732,0.0067%
1991,TUR,ISR,ALL,76819884,0.0042%
1991,TUR,JOR,ALL,158357932,0.0087%
1991,TUR,JPN,ALL,282645737,0.016%
1991,TUR,KOR,ALL,297606905,0.016%
1991,TUR,KWT,ALL,16376978,0.00090%
1991,TUR,LAO,ALL,483271,0.000027%
1991,TUR,LBN,ALL,90390633,0.0050%
1991,TUR,LKA,ALL,21374109,0.0012%
1991,TUR,MAC,ALL,9553,5.3e-7%
1991,TUR,MNG,ALL,101929,0.0000056%
1991,TUR,MYS,ALL,25494852,0.0014%
1991,TUR,NPL,ALL,133043,0.0000073%
1991,TUR,OMN,ALL,2404616,0.00013%
1991,TUR,PAK,ALL,78321101,0.0043%
1991,TUR,PHL,ALL,8068117,0.00044%
1991,TUR,PRK,ALL,8451565,0.00046%
1991,TUR,QAT,ALL,4730105,0.00026%
1991,TUR,SAU,ALL,355817523,0.020%
1991,TUR,SGP,ALL,80212552,0.0044%
1991,TUR,SYR,ALL,264199557,0.015%
1991,TUR,THA,ALL,41434085,0.0023%
1991,TUR,YEM,ALL,62717396,0.0034%
1991,TUR,ALB,ALL,21341598,0.0012%
1991,TUR,AND,ALL,44971,0.0000025%
1991,TUR,AUT,ALL,212787495,0.012%
1991,TUR,BEL,ALL,254312638,0.014%
1991,TUR,BGR,ALL,76053054,0.0042%
1991,TUR,CHE,ALL,193802940,0.011%
1991,TUR,CSK,ALL,64139862,0.0035%
1991,TUR,DEU,ALL,3514205174,0.19%
1991,TUR,DNK,ALL,64009519,0.0035%
1991,TUR,ESP,ALL,296918204,0.016%
1991,TUR,FIN,ALL,23547207,0.0013%
1991,TUR,FRA,ALL,778272304,0.043%
1991,TUR,FRO,ALL,72739,0.0000040%
1991,TUR,GBR,ALL,644404431,0.035%
1991,TUR,GIB,ALL,372000,0.000020%
1991,TUR,GRC,ALL,158438047,0.0087%
1991,TUR,HUN,ALL,38635416,0.0021%
1991,TUR,IRL,ALL,38382850,0.0021%
1991,TUR,ISL,ALL,2583938,0.00014%
1991,TUR,ITA,ALL,952201953,0.052%
1991,TUR,MLT,ALL,15966225,0.00088%
1991,TUR,NLD,ALL,396877191,0.022%
1991,TUR,NOR,ALL,46508987,0.0026%
1991,TUR,POL,ALL,138757626,0.0076%
1991,TUR,PRT,ALL,60874585,0.0033%
1991,TUR,ROU,ALL,105091117,0.0058%
1991,TUR,SUN,ALL,610544896,0.034%
1991,TUR,SWE,ALL,91507801,0.0050%
1991,TUR,YUG,ALL,83425351,0.0046%
1991,TUR,ATG,ALL,72036,0.0000040%
1991,TUR,BHS,ALL,832748,0.000046%
1991,TUR,BLZ,ALL,2129412,0.00012%
1991,TUR,BMU,ALL,28634,0.0000016%
1991,TUR,BRB,ALL,95337,0.0000052%
1991,TUR,CAN,ALL,54660457,0.0030%
1991,TUR,CRI,ALL,124412,0.0000068%
1991,TUR,CUB,ALL,44231,0.0000024%
1991,TUR,DMA,ALL,51486,0.0000028%
1991,TUR,DOM,ALL,3794856,0.00021%
1991,TUR,GRL,ALL,50323,0.0000028%
1991,TUR,GTM,ALL,146580,0.0000081%
1991,TUR,HND,ALL,38937,0.0000021%
1991,TUR,HTI,ALL,328638,0.000018%
1991,TUR,JAM,ALL,588898,0.000032%
1991,TUR,MEX,ALL,17434672,0.00096%
1991,TUR,MTQ,ALL,1697713,0.000093%
1991,TUR,NIC,ALL,129214,0.0000071%
1991,TUR,PAN,ALL,4533691,0.00025%
1991,TUR,SLV,ALL,34427,0.0000019%
1991,TUR,TTO,ALL,697271,0.000038%
1991,TUR,USA,ALL,984567435,0.054%
1991,TUR,AUS,ALL,27853189,0.0015%
1991,TUR,FJI,ALL,128020,0.0000070%
1991,TUR,GLP,ALL,1836017,0.00010%
1991,TUR,NZL,ALL,5934569,0.00033%
1991,TUR,ARG,ALL,3280350,0.00018%
1991,TUR,BOL,ALL,237740,0.000013%
1991,TUR,BRA,ALL,22704853,0.0012%
1991,TUR,CHL,ALL,1649337,0.000091%
1991,TUR,COL,ALL,1475363,0.000081%
1991,TUR,ECU,ALL,8157740,0.00045%
1991,TUR,GUF,ALL,1119274,0.000062%
1991,TUR,GUY,ALL,547525,0.000030%
1991,TUR,PER,ALL,361945,0.000020%
1991,TUR,PRY,ALL,190249,0.000010%
1991,TUR,SUR,ALL,13318,7.3e-7%
1991,TUR,URY,ALL,913607,0.000050%
1991,TUR,VEN,ALL,6654405,0.00037%
1992,TUR,AGO,ALL,166560,0.0000092%
1992,TUR,BDI,ALL,158114,0.0000087%
1992,TUR,BEN,ALL,236936,0.000013%
1992,TUR,BFA,ALL,28783,0.0000016%
1992,TUR,CAF,ALL,9225,5.1e-7%
1992,TUR,CIV,ALL,3569300,0.00020%
1992,TUR,CMR,ALL,1428406,0.000079%
1992,TUR,COD,ALL,133963,0.0000074%
1992,TUR,COG,ALL,250096,0.000014%
1992,TUR,COM,ALL,75690,0.0000042%
1992,TUR,CPV,ALL,64000,0.0000035%
1992,TUR,DJI,ALL,707385,0.000039%
1992,TUR,DZA,ALL,126623791,0.0070%
1992,TUR,EGY,ALL,141295168,0.0078%
1992,TUR,ETH,ALL,5813844,0.00032%
1992,TUR,GAB,ALL,196690,0.000011%
1992,TUR,GHA,ALL,3054523,0.00017%
1992,TUR,GIN,ALL,457959,0.000025%
1992,TUR,GMB,ALL,43630,0.0000024%
1992,TUR,GNB,ALL,26348,0.0000014%
1992,TUR,KEN,ALL,525024,0.000029%
1992,TUR,LBR,ALL,45822989,0.0025%
1992,TUR,LBY,ALL,246459985,0.014%
1992,TUR,MAR,ALL,78877061,0.0043%
1992,TUR,MDG,ALL,84174,0.0000046%
1992,TUR,MLI,ALL,257867,0.000014%
1992,TUR,MOZ,ALL,2308583,0.00013%
1992,TUR,MRT,ALL,53262,0.0000029%
1992,TUR,MUS,ALL,3134904,0.00017%
1992,TUR,MWI,ALL,29536,0.0000016%
1992,TUR,NER,ALL,2347780,0.00013%
1992,TUR,NGA,ALL,10486312,0.00058%
1992,TUR,REU,ALL,2122937,0.00012%
1992,TUR,RWA,ALL,81229,0.0000045%
1992,TUR,SDN,ALL,8560907,0.00047%
1992,TUR,SEN,ALL,1121034,0.000062%
1992,TUR,SHN,ALL,5184,2.8e-7%
1992,TUR,SLE,ALL,117572,0.0000065%
1992,TUR,TCD,ALL,194740,0.000011%
1992,TUR,TGO,ALL,535526,0.000029%
1992,TUR,TUN,ALL,52954805,0.0029%
1992,TUR,TZA,ALL,952791,0.000052%
1992,TUR,UGA,ALL,920164,0.000051%
1992,TUR,ZAF,ALL,48217791,0.0027%
1992,TUR,ZMB,ALL,2292464,0.00013%
1992,TUR,ZWE,ALL,961,5.3e-8%
1992,TUR,AFG,ALL,784590,0.000043%
1992,TUR,ARE,ALL,106668911,0.0059%
1992,TUR,ARM,ALL,3429108,0.00019%
1992,TUR,AZE,ALL,102221866,0.0056%
1992,TUR,BGD,ALL,7223234,0.00040%
1992,TUR,BHR,ALL,10578335,0.00058%
1992,TUR,BRN,ALL,908197,0.000050%
1992,TUR,CHN,ALL,112020542,0.0062%
1992,TUR,CYP,ALL,148511455,0.0082%
1992,TUR,GEO,ALL,11610172,0.00064%
1992,TUR,HKG,ALL,26234227,0.0014%
1992,TUR,IDN,ALL,30181169,0.0017%
1992,TUR,IND,ALL,42165083,0.0023%
1992,TUR,IRN,ALL,455278016,0.025%
1992,TUR,IRQ,ALL,212011104,0.012%
1992,TUR,ISR,ALL,80504967,0.0044%
1992,TUR,JOR,ALL,164119826,0.0090%
1992,TUR,JPN,ALL,183969931,0.010%
1992,TUR,KAZ,ALL,19357075,0.0011%
