"","year","ALB","AND","BIH","ISL","MKD","MNE","NOR","SRB","CHE","TUR"
"1",1991,"1.92%","0.82%",NA,"0.01%",NA,NA,"0.7%",NA,"0.61%","0.32%"
"2",1992,"0.18%","2.28%",NA,"0.06%",NA,NA,"0.56%",NA,"0.7%","0.76%"
"3",1993,"0.04%","0.43%","0.02%","0.16%","1.04%",NA,"0.72%",NA,"1.29%","3.22%"
"4",1994,NA,NA,NA,"0.16%",NA,NA,"0.42%",NA,"1.3%","2.45%"
"5",1995,NA,NA,"0.01%","0.15%",NA,NA,"0.63%",NA,"1.02%","0.61%"
"6",1996,"0.78%",NA,NA,"0.28%",NA,NA,"0.44%",NA,"1.01%","0.42%"
"7",1997,"0%",NA,"0.02%","0.34%","0.01%",NA,"0.81%",NA,"0.86%","0.16%"
"8",1998,"0%",NA,"0.02%","0.34%","0.01%",NA,"0.81%",NA,"0.86%","0.16%"
"9",1999,NA,NA,"0.05%","0.36%","0.04%",NA,"1.12%",NA,"1.12%","0.17%"
"10",2000,"0%","0.01%","0.27%","0.64%","0.07%",NA,"1.06%",NA,"1.59%","0.46%"
"11",2001,"0%",NA,"0.07%","0.79%","0.01%",NA,"1.06%",NA,"1.83%","0.78%"
"12",2002,"0.02%","0.02%","0.03%","0.59%","0.07%",NA,"1.72%",NA,"2.12%","0.86%"
"13",2003,"0.01%","0%","0.05%","0.87%","1.38%",NA,"1.41%",NA,"2.38%","1.21%"
"14",2004,"1.04%","0%","0.03%","0.92%","0.09%",NA,"1.75%",NA,"2.72%","1.03%"
"15",2005,"1.1%","0.01%","4.41%","1.6%","0.72%",NA,"1.09%",NA,"2.65%","1.03%"
"16",2006,"1.7%","0%","3.27%","1.12%","0.12%",NA,"0.99%","0.17%","2.67%","1.05%"
"17",2007,"6.15%","0%","0.62%","0.86%","0.27%","0.2%","1.35%","0.19%","3.04%","1.18%"
"18",2008,"4.1%","0.03%","0.13%","0.8%","0.34%","0.31%","1.34%","0.13%","3.26%","1.42%"
"19",2009,"1.78%","0.11%","0.37%","0.87%","0.86%","0.15%","2.59%","0.37%","3.58%","1.63%"
"20",2010,"9.38%","0.01%","0.41%","0.93%","2.78%","0.65%","2.43%","0.56%","7.1%","2.65%"
"21",2011,"2.49%","0.01%","0.1%","0.88%","2.86%","0.17%","1.82%","0.13%","4.23%","1.82%"
"22",2012,"2.7%","0%","0.11%","1.21%","3.95%","1.04%","1.44%","0.17%","3.68%","1.84%"
"23",2013,"4.65%","0.03%","0.12%","1.14%","2.43%","1.05%","1.77%","0.06%","4.11%","2.37%"
"24",2014,"3.42%","0.66%","0.16%","0.81%","1.87%","0.77%","2.21%","0.1%","5.91%","1.81%"
"25",2015,"2.75%",NA,"0.34%","1.56%","3.24%","2.82%","2.96%","0.15%","7.02%","1.76%"
"26",2016,"3.07%",NA,"0.3%","2.08%","1.01%","6.59%","2.74%","0.17%","9.05%","1.7%"
