"","year","country_origin_id","country_destination_id","hs92_product_id","export_val","export_val_pct","countT","per"
"1",1995,"ARM","CHN","ALL",60225.26,"0.00027%",37005083.89,"0.16%"
"2",1995,"ARM","USA","ALL",15656435.12,"0.071%",37005083.89,"42.31%"
"3",1996,"ARM","RUS","ALL",37645741.5,"0.17%",74586432.54,"50.47%"
"4",1996,"ARM","USA","ALL",1202086.32,"0.0054%",74586432.54,"1.61%"
"5",1997,"ARM","RUS","ALL",49262753.72,"0.22%",194277964.07,"25.36%"
"6",1997,"ARM","USA","ALL",8361395.04,"0.038%",194277964.07,"4.3%"
"7",1998,"ARM","CHN","ALL",14097,"0.000064%",125876507.62,"0.01%"
"8",1998,"ARM","RUS","ALL",35694233.56,"0.16%",125876507.62,"28.36%"
"9",1998,"ARM","USA","ALL",11194161.25,"0.051%",125876507.62,"8.89%"
"10",1999,"ARM","CHN","ALL",72398.52,"0.00033%",137199907.54,"0.05%"
"11",1999,"ARM","RUS","ALL",29206560.41,"0.13%",137199907.54,"21.29%"
"12",1999,"ARM","USA","ALL",21121457.58,"0.095%",137199907.54,"15.39%"
"13",2000,"ARM","CHN","ALL",1764655.78,"0.0080%",296537905.41,"0.6%"
"14",2000,"ARM","RUS","ALL",43747548.72,"0.20%",296537905.41,"14.75%"
"15",2000,"ARM","USA","ALL",39504729.44,"0.18%",296537905.41,"13.32%"
"16",2001,"ARM","CHN","ALL",148660.94,"0.00067%",350304137.88,"0.04%"
"17",2001,"ARM","RUS","ALL",58900789.95,"0.27%",350304137.88,"16.81%"
"18",2001,"ARM","USA","ALL",58507906.31,"0.26%",350304137.88,"16.7%"
"19",2002,"ARM","CHN","ALL",4061589.87,"0.018%",502977122.94,"0.81%"
"20",2002,"ARM","RUS","ALL",62284668.98,"0.28%",502977122.94,"12.38%"
"21",2002,"ARM","USA","ALL",50423258.93,"0.23%",502977122.94,"10.02%"
"22",2003,"ARM","CHN","ALL",4592049.76,"0.021%",737145718.98,"0.62%"
"23",2003,"ARM","RUS","ALL",93029063.72,"0.42%",737145718.98,"12.62%"
"24",2003,"ARM","USA","ALL",57009003.77,"0.26%",737145718.98,"7.73%"
"25",2004,"ARM","CHN","ALL",22687892.42,"0.10%",746903696.85,"3.04%"
"26",2004,"ARM","RUS","ALL",78275109.18,"0.35%",746903696.85,"10.48%"
"27",2004,"ARM","USA","ALL",76291431.94,"0.34%",746903696.85,"10.21%"
"28",2005,"ARM","CHN","ALL",9335542.52,"0.042%",989117073.13,"0.94%"
"29",2005,"ARM","RUS","ALL",116562819.46,"0.53%",989117073.13,"11.78%"
"30",2005,"ARM","USA","ALL",64191415.35,"0.29%",989117073.13,"6.49%"
"31",2006,"ARM","CHN","ALL",8768572.26,"0.040%",1172588211.58,"0.75%"
"32",2006,"ARM","RUS","ALL",118657882.47,"0.54%",1172588211.58,"10.12%"
"33",2006,"ARM","USA","ALL",67827061.6,"0.31%",1172588211.58,"5.78%"
"34",2007,"ARM","CHN","ALL",11725937.58,"0.053%",1364164271.87,"0.86%"
"35",2007,"ARM","RUS","ALL",200931635.69,"0.91%",1364164271.87,"14.73%"
"36",2007,"ARM","USA","ALL",51553976.08,"0.23%",1364164271.87,"3.78%"
"37",2008,"ARM","CHN","ALL",10890934.91,"0.049%",1189875934.91,"0.92%"
"38",2008,"ARM","RUS","ALL",216844674.77,"0.98%",1189875934.91,"18.22%"
"39",2008,"ARM","USA","ALL",60572361.47,"0.27%",1189875934.91,"5.09%"
"40",2009,"ARM","CHN","ALL",18904096.72,"0.085%",695036850.52,"2.72%"
"41",2009,"ARM","RUS","ALL",108962936.19,"0.49%",695036850.52,"15.68%"
"42",2009,"ARM","USA","ALL",65976944.15,"0.30%",695036850.52,"9.49%"
"43",2010,"ARM","CHN","ALL",35011483.95,"0.16%",1032230168.03,"3.39%"
"44",2010,"ARM","RUS","ALL",164180345.95,"0.74%",1032230168.03,"15.91%"
"45",2010,"ARM","USA","ALL",84744559.15,"0.38%",1032230168.03,"8.21%"
"46",2011,"ARM","CHN","ALL",18699868.7,"0.085%",1343543556.68,"1.39%"
"47",2011,"ARM","RUS","ALL",226485511.11,"1.0%",1343543556.68,"16.86%"
"48",2011,"ARM","USA","ALL",103129027.95,"0.47%",1343543556.68,"7.68%"
"49",2012,"ARM","CHN","ALL",36277582,"0.16%",1624666792.21,"2.23%"
"50",2012,"ARM","RUS","ALL",299680845.34,"1.4%",1624666792.21,"18.45%"
"51",2012,"ARM","USA","ALL",90090678.14,"0.41%",1624666792.21,"5.55%"
"52",2013,"ARM","CHN","ALL",87996888.77,"0.40%",1629173651.42,"5.4%"
"53",2013,"ARM","RUS","ALL",336646661.62,"1.5%",1629173651.42,"20.66%"
"54",2013,"ARM","USA","ALL",92850230,"0.42%",1629173651.42,"5.7%"
"55",2014,"ARM","CHN","ALL",181180385.86,"0.82%",1623901974.67,"11.16%"
"56",2014,"ARM","RUS","ALL",307090664.22,"1.4%",1623901974.67,"18.91%"
"57",2014,"ARM","USA","ALL",92533571.23,"0.42%",1623901974.67,"5.7%"
"58",2015,"ARM","CHN","ALL",172224891.34,"0.78%",1656467325.15,"10.4%"
"59",2015,"ARM","RUS","ALL",230386998.97,"1.0%",1656467325.15,"13.91%"
"60",2015,"ARM","USA","ALL",58219940.76,"0.26%",1656467325.15,"3.51%"
"61",2016,"ARM","CHN","ALL",108898935.57,"0.49%",2164780672.58,"5.03%"
"62",2016,"ARM","RUS","ALL",407356939.58,"1.8%",2164780672.58,"18.82%"
"63",2016,"ARM","USA","ALL",44876033.66,"0.20%",2164780672.58,"2.07%"
"64",2017,"ARM","CHN","ALL",131273597.1,"0.59%",2440052479.54,"5.38%"
"65",2017,"ARM","RUS","ALL",569585996.79,"2.6%",2440052479.54,"23.34%"
"66",2017,"ARM","USA","ALL",64481206.93,"0.29%",2440052479.54,"2.64%"
"67",1995,"AZE","CHN","ALL",2536243.1,"0.00092%",100177229.53,"2.53%"
"68",1995,"AZE","USA","ALL",685011.44,"0.00025%",100177229.53,"0.68%"
"69",1996,"AZE","CHN","ALL",429708,"0.00016%",640083153.95,"0.07%"
"70",1996,"AZE","RUS","ALL",112387877.89,"0.041%",640083153.95,"17.56%"
"71",1996,"AZE","USA","ALL",4472231.93,"0.0016%",640083153.95,"0.7%"
"72",1997,"AZE","CHN","ALL",14256779.56,"0.0052%",589544449.01,"2.42%"
"73",1997,"AZE","RUS","ALL",197125763.18,"0.072%",589544449.01,"33.44%"
"74",1997,"AZE","USA","ALL",5200552.74,"0.0019%",589544449.01,"0.88%"
"75",1998,"AZE","CHN","ALL",918363.15,"0.00033%",522939794.77,"0.18%"
"76",1998,"AZE","RUS","ALL",101264345.4,"0.037%",522939794.77,"19.36%"
"77",1998,"AZE","USA","ALL",15627936.74,"0.0057%",522939794.77,"2.99%"
"78",1999,"AZE","CHN","ALL",173880.23,"0.000063%",800099496.42,"0.02%"
"79",1999,"AZE","RUS","ALL",67065444.07,"0.024%",800099496.42,"8.38%"
"80",1999,"AZE","USA","ALL",30109149.58,"0.011%",800099496.42,"3.76%"
"81",2000,"AZE","CHN","ALL",4832277.23,"0.0018%",1625973592.94,"0.3%"
"82",2000,"AZE","RUS","ALL",107149502.51,"0.039%",1625973592.94,"6.59%"
"83",2000,"AZE","USA","ALL",16815187.13,"0.0061%",1625973592.94,"1.03%"
"84",2001,"AZE","CHN","ALL",2650588.06,"0.00096%",1855505154.34,"0.14%"
"85",2001,"AZE","RUS","ALL",77562798.24,"0.028%",1855505154.34,"4.18%"
"86",2001,"AZE","USA","ALL",25221546.74,"0.0092%",1855505154.34,"1.36%"
"87",2002,"AZE","CHN","ALL",1320517.09,"0.00048%",1918261290.27,"0.07%"
"88",2002,"AZE","RUS","ALL",77568579.73,"0.028%",1918261290.27,"4.04%"
"89",2002,"AZE","USA","ALL",50401086.81,"0.018%",1918261290.27,"2.63%"
"90",2003,"AZE","CHN","ALL",21238767.12,"0.0077%",2323712101.68,"0.91%"
"91",2003,"AZE","RUS","ALL",140392471.35,"0.051%",2323712101.68,"6.04%"
"92",2003,"AZE","USA","ALL",75126190.32,"0.027%",2323712101.68,"3.23%"
"93",2004,"AZE","CHN","ALL",36251605.9,"0.013%",3208151027.93,"1.13%"
