"","year","country_origin_id","country_destination_id","hs92_product_id","export_val","export_val_pct","countT","per"
"1",1995,"ARM","EGY","ALL",27860,"0.00013%",37005083.89,"0.08%"
"2",1995,"ARM","TZA","ALL",1898.84,"0.0000086%",37005083.89,"0.01%"
"3",1995,"ARM","ZAF","ALL",3800,"0.000017%",37005083.89,"0.01%"
"4",1995,"ARM","CHN","ALL",60225.26,"0.00027%",37005083.89,"0.16%"
"5",1995,"ARM","IND","ALL",252150.73,"0.0011%",37005083.89,"0.68%"
"6",1995,"ARM","JPN","ALL",188362.31,"0.00085%",37005083.89,"0.51%"
"7",1995,"ARM","KGZ","ALL",568176.88,"0.0026%",37005083.89,"1.54%"
"8",1995,"ARM","KOR","ALL",435288.88,"0.0020%",37005083.89,"1.18%"
"9",1995,"ARM","OMN","ALL",43499.13,"0.00020%",37005083.89,"0.12%"
"10",1995,"ARM","SAU","ALL",191988.61,"0.00087%",37005083.89,"0.52%"
"11",1995,"ARM","AUT","ALL",65275,"0.00029%",37005083.89,"0.18%"
"12",1995,"ARM","BLX","ALL",357161.24,"0.0016%",37005083.89,"0.97%"
"13",1995,"ARM","CHE","ALL",82999,"0.00038%",37005083.89,"0.22%"
"14",1995,"ARM","CZE","ALL",18401,"0.000083%",37005083.89,"0.05%"
"15",1995,"ARM","DEU","ALL",12919670.45,"0.058%",37005083.89,"34.91%"
"16",1995,"ARM","ESP","ALL",2364262.29,"0.011%",37005083.89,"6.39%"
"17",1995,"ARM","EST","ALL",6377.1,"0.000029%",37005083.89,"0.02%"
"18",1995,"ARM","FIN","ALL",6618,"0.000030%",37005083.89,"0.02%"
"19",1995,"ARM","FRA","ALL",245298.52,"0.0011%",37005083.89,"0.66%"
"20",1995,"ARM","GBR","ALL",253143.28,"0.0011%",37005083.89,"0.68%"
"21",1995,"ARM","GRC","ALL",83334,"0.00038%",37005083.89,"0.23%"
"22",1995,"ARM","ITA","ALL",1102621.79,"0.0050%",37005083.89,"2.98%"
"23",1995,"ARM","LTU","ALL",64404.47,"0.00029%",37005083.89,"0.17%"
"24",1995,"ARM","LVA","ALL",11193,"0.000051%",37005083.89,"0.03%"
"25",1995,"ARM","MDA","ALL",45201.73,"0.00020%",37005083.89,"0.12%"
"26",1995,"ARM","NLD","ALL",1675345,"0.0076%",37005083.89,"4.53%"
"27",1995,"ARM","ROU","ALL",1000,"0.0000045%",37005083.89,"0%"
"28",1995,"ARM","SVK","ALL",7738,"0.000035%",37005083.89,"0.02%"
"29",1995,"ARM","CAN","ALL",89305,"0.00040%",37005083.89,"0.24%"
"30",1995,"ARM","CRI","ALL",2401.83,"0.000011%",37005083.89,"0.01%"
"31",1995,"ARM","MEX","ALL",3000,"0.000014%",37005083.89,"0.01%"
"32",1995,"ARM","USA","ALL",15656435.12,"0.071%",37005083.89,"42.31%"
"33",1995,"ARM","BOL","ALL",21052.4,"0.000095%",37005083.89,"0.06%"
"34",1995,"ARM","BRA","ALL",13482.26,"0.000061%",37005083.89,"0.04%"
"35",1995,"ARM","COL","ALL",95003,"0.00043%",37005083.89,"0.26%"
"36",1995,"ARM","PER","ALL",41109.77,"0.00019%",37005083.89,"0.11%"
"37",1996,"ARM","DZA","ALL",4507,"0.000020%",74586432.54,"0.01%"
"38",1996,"ARM","EGY","ALL",147746.55,"0.00067%",74586432.54,"0.2%"
"39",1996,"ARM","ZAF","ALL",19175,"0.000087%",74586432.54,"0.03%"
"40",1996,"ARM","GEO","ALL",16574449,"0.075%",74586432.54,"22.22%"
"41",1996,"ARM","IND","ALL",99028,"0.00045%",74586432.54,"0.13%"
"42",1996,"ARM","JPN","ALL",95453.28,"0.00043%",74586432.54,"0.13%"
"43",1996,"ARM","KOR","ALL",404588.36,"0.0018%",74586432.54,"0.54%"
"44",1996,"ARM","MYS","ALL",4448,"0.000020%",74586432.54,"0.01%"
"45",1996,"ARM","SAU","ALL",82066.07,"0.00037%",74586432.54,"0.11%"
"46",1996,"ARM","THA","ALL",193159,"0.00087%",74586432.54,"0.26%"
"47",1996,"ARM","AUT","ALL",251793.88,"0.0011%",74586432.54,"0.34%"
"48",1996,"ARM","BGR","ALL",427585.03,"0.0019%",74586432.54,"0.57%"
"49",1996,"ARM","BLX","ALL",526826.03,"0.0024%",74586432.54,"0.71%"
"50",1996,"ARM","CHE","ALL",951109,"0.0043%",74586432.54,"1.28%"
"51",1996,"ARM","CZE","ALL",13080,"0.000059%",74586432.54,"0.02%"
"52",1996,"ARM","DEU","ALL",2367631.37,"0.011%",74586432.54,"3.17%"
"53",1996,"ARM","ESP","ALL",426095.49,"0.0019%",74586432.54,"0.57%"
"54",1996,"ARM","EST","ALL",121360,"0.00055%",74586432.54,"0.16%"
"55",1996,"ARM","FIN","ALL",17570.35,"0.000079%",74586432.54,"0.02%"
"56",1996,"ARM","FRA","ALL",1408722.21,"0.0064%",74586432.54,"1.89%"
"57",1996,"ARM","GBR","ALL",440187.68,"0.0020%",74586432.54,"0.59%"
"58",1996,"ARM","GRC","ALL",290485.38,"0.0013%",74586432.54,"0.39%"
"59",1996,"ARM","HUN","ALL",3000,"0.000014%",74586432.54,"0%"
"60",1996,"ARM","ITA","ALL",669233.93,"0.0030%",74586432.54,"0.9%"
"61",1996,"ARM","LTU","ALL",9399,"0.000042%",74586432.54,"0.01%"
"62",1996,"ARM","LVA","ALL",158406.62,"0.00072%",74586432.54,"0.21%"
"63",1996,"ARM","MDA","ALL",66414.74,"0.00030%",74586432.54,"0.09%"
