"","year","country_origin_id","country_destination_id","hs92_product_id","import_val","import_val_pct","countT","per"
"1",1995,"ARM","CHN","ALL",811907,"0.0015%",136267321,"0.6%"
"2",1995,"ARM","USA","ALL",43059110,"0.080%",136267321,"31.6%"
"3",1996,"ARM","CHN","ALL",642896,"0.0012%",324172274,"0.2%"
"4",1996,"ARM","RUS","ALL",60401423,"0.11%",324172274,"18.63%"
"5",1996,"ARM","USA","ALL",45261651,"0.084%",324172274,"13.96%"
"6",1997,"ARM","CHN","ALL",2438434.47,"0.0045%",761772489.92,"0.32%"
"7",1997,"ARM","RUS","ALL",205423289.32,"0.38%",761772489.92,"26.97%"
"8",1997,"ARM","USA","ALL",109929469.9,"0.20%",761772489.92,"14.43%"
"9",1998,"ARM","CHN","ALL",768927,"0.0014%",406424413,"0.19%"
"10",1998,"ARM","RUS","ALL",128248014,"0.24%",406424413,"31.56%"
"11",1998,"ARM","USA","ALL",30446028,"0.057%",406424413,"7.49%"
"12",1999,"ARM","CHN","ALL",11944880.67,"0.022%",703557422.13,"1.7%"
"13",1999,"ARM","RUS","ALL",111375170.32,"0.21%",703557422.13,"15.83%"
"14",1999,"ARM","USA","ALL",90862326.2,"0.17%",703557422.13,"12.91%"
"15",2000,"ARM","CHN","ALL",2123342.82,"0.0040%",880620452.63,"0.24%"
"16",2000,"ARM","RUS","ALL",112919232.65,"0.21%",880620452.63,"12.82%"
"17",2000,"ARM","USA","ALL",109059983.79,"0.20%",880620452.63,"12.38%"
"18",2001,"ARM","CHN","ALL",3586622.85,"0.0067%",827790784.19,"0.43%"
"19",2001,"ARM","RUS","ALL",94587772.34,"0.18%",827790784.19,"11.43%"
"20",2001,"ARM","USA","ALL",85145392.12,"0.16%",827790784.19,"10.29%"
"21",2002,"ARM","CHN","ALL",8137758.81,"0.015%",1036482253.25,"0.79%"
"22",2002,"ARM","RUS","ALL",177983327.93,"0.33%",1036482253.25,"17.17%"
"23",2002,"ARM","USA","ALL",122816055.33,"0.23%",1036482253.25,"11.85%"
"24",2003,"ARM","CHN","ALL",10111502.61,"0.019%",1346872550.75,"0.75%"
"25",2003,"ARM","RUS","ALL",204043858.49,"0.38%",1346872550.75,"15.15%"
"26",2003,"ARM","USA","ALL",152218980,"0.28%",1346872550.75,"11.3%"
"27",2004,"ARM","CHN","ALL",18815593.39,"0.035%",1442646956.09,"1.3%"
"28",2004,"ARM","RUS","ALL",189623168.71,"0.35%",1442646956.09,"13.14%"
"29",2004,"ARM","USA","ALL",103520769.13,"0.19%",1442646956.09,"7.18%"
"30",2005,"ARM","CHN","ALL",35938365.55,"0.067%",1931108630.39,"1.86%"
"31",2005,"ARM","RUS","ALL",268264379.96,"0.50%",1931108630.39,"13.89%"
"32",2005,"ARM","USA","ALL",108096284.36,"0.20%",1931108630.39,"5.6%"
"33",2006,"ARM","CHN","ALL",113820886.34,"0.21%",2245265900.09,"5.07%"
"34",2006,"ARM","RUS","ALL",322566588.05,"0.60%",2245265900.09,"14.37%"
"35",2006,"ARM","USA","ALL",106167963.44,"0.20%",2245265900.09,"4.73%"
"36",2007,"ARM","CHN","ALL",188018480.69,"0.35%",3226131137.09,"5.83%"
"37",2007,"ARM","RUS","ALL",531487098.35,"0.99%",3226131137.09,"16.47%"
"38",2007,"ARM","USA","ALL",135748734.89,"0.25%",3226131137.09,"4.21%"
"39",2008,"ARM","CHN","ALL",363627670.22,"0.68%",4270519930.31,"8.51%"
"40",2008,"ARM","RUS","ALL",775483198.42,"1.4%",4270519930.31,"18.16%"
"41",2008,"ARM","USA","ALL",173552477.07,"0.32%",4270519930.31,"4.06%"
"42",2009,"ARM","CHN","ALL",283000381.54,"0.53%",3252007993.94,"8.7%"
"43",2009,"ARM","RUS","ALL",691516460.37,"1.3%",3252007993.94,"21.26%"
"44",2009,"ARM","USA","ALL",109743833.9,"0.20%",3252007993.94,"3.37%"
"45",2010,"ARM","CHN","ALL",388694465.73,"0.72%",3687687271.98,"10.54%"
"46",2010,"ARM","RUS","ALL",734358428,"1.4%",3687687271.98,"19.91%"
"47",2010,"ARM","USA","ALL",137805795.47,"0.26%",3687687271.98,"3.74%"
"48",2011,"ARM","CHN","ALL",395929946.78,"0.74%",4193473194.72,"9.44%"
"49",2011,"ARM","RUS","ALL",819192574.81,"1.5%",4193473194.72,"19.53%"
"50",2011,"ARM","USA","ALL",134468961.81,"0.25%",4193473194.72,"3.21%"
"51",2012,"ARM","CHN","ALL",386046244.67,"0.72%",3822634220.61,"10.1%"
"52",2012,"ARM","RUS","ALL",586669349.74,"1.1%",3822634220.61,"15.35%"
"53",2012,"ARM","USA","ALL",125850147.58,"0.23%",3822634220.61,"3.29%"
"54",2013,"ARM","CHN","ALL",375365098.61,"0.70%",4350990647.15,"8.63%"
"55",2013,"ARM","RUS","ALL",1016508092.67,"1.9%",4350990647.15,"23.36%"
"56",2013,"ARM","USA","ALL",118502995.86,"0.22%",4350990647.15,"2.72%"
"57",2014,"ARM","CHN","ALL",403211612.76,"0.75%",4276483515.35,"9.43%"
"58",2014,"ARM","RUS","ALL",989518526.8,"1.8%",4276483515.35,"23.14%"
"59",2014,"ARM","USA","ALL",110184009.1,"0.21%",4276483515.35,"2.58%"
"60",2015,"ARM","CHN","ALL",306729003.89,"0.57%",3264509692.35,"9.4%"
"61",2015,"ARM","RUS","ALL",915536076.73,"1.7%",3264509692.35,"28.05%"
"62",2015,"ARM","USA","ALL",108325401.78,"0.20%",3264509692.35,"3.32%"
"63",2016,"ARM","CHN","ALL",355280833.37,"0.66%",3277569988.62,"10.84%"
"64",2016,"ARM","RUS","ALL",956085193.04,"1.8%",3277569988.62,"29.17%"
"65",2016,"ARM","USA","ALL",82915651.43,"0.15%",3277569988.62,"2.53%"
"66",2017,"ARM","CHN","ALL",455785488.4,"0.85%",3960391093,"11.51%"
"67",2017,"ARM","RUS","ALL",1135849665.74,"2.1%",3960391093,"28.68%"
"68",2017,"ARM","USA","ALL",117474535.92,"0.22%",3960391093,"2.97%"
"69",1995,"AZE","CHN","ALL",1065380,"0.00070%",401761633,"0.27%"
"70",1995,"AZE","USA","ALL",28263322,"0.019%",401761633,"7.03%"
"71",1996,"AZE","CHN","ALL",3116687.47,"0.0020%",1189377214.21,"0.26%"
"72",1996,"AZE","RUS","ALL",185684239.32,"0.12%",1189377214.21,"15.61%"
"73",1996,"AZE","USA","ALL",37269087.65,"0.024%",1189377214.21,"3.13%"
"74",1997,"AZE","CHN","ALL",7788494.51,"0.0051%",1328123517.7,"0.59%"
"75",1997,"AZE","RUS","ALL",206830667.67,"0.14%",1328123517.7,"15.57%"
"76",1997,"AZE","USA","ALL",47432599.83,"0.031%",1328123517.7,"3.57%"
"77",1998,"AZE","CHN","ALL",6912960.74,"0.0045%",1446371858.4,"0.48%"
"78",1998,"AZE","RUS","ALL",163775013.18,"0.11%",1446371858.4,"11.32%"
"79",1998,"AZE","USA","ALL",80163899.75,"0.053%",1446371858.4,"5.54%"
"80",1999,"AZE","CHN","ALL",13312515.01,"0.0087%",1106607499.15,"1.2%"
"81",1999,"AZE","RUS","ALL",129209018.06,"0.085%",1106607499.15,"11.68%"
