"","year","country_origin_id","country_destination_id","hs92_product_id","import_val","import_val_pct","countT","per"
"1",1995,"ARM","EGY","ALL",59637,"0.00011%",136267321,"0.04%"
"2",1995,"ARM","CHN","ALL",811907,"0.0015%",136267321,"0.6%"
"3",1995,"ARM","HKG","ALL",54421,"0.00010%",136267321,"0.04%"
"4",1995,"ARM","IND","ALL",53276,"0.000099%",136267321,"0.04%"
"5",1995,"ARM","JOR","ALL",88029,"0.00016%",136267321,"0.06%"
"6",1995,"ARM","JPN","ALL",94545,"0.00018%",136267321,"0.07%"
"7",1995,"ARM","KGZ","ALL",24400,"0.000046%",136267321,"0.02%"
"8",1995,"ARM","KOR","ALL",1828055,"0.0034%",136267321,"1.34%"
"9",1995,"ARM","MYS","ALL",17741,"0.000033%",136267321,"0.01%"
"10",1995,"ARM","OMN","ALL",318282,"0.00059%",136267321,"0.23%"
"11",1995,"ARM","THA","ALL",23555,"0.000044%",136267321,"0.02%"
"12",1995,"ARM","AUT","ALL",724384,"0.0014%",136267321,"0.53%"
"13",1995,"ARM","BLX","ALL",3136250,"0.0058%",136267321,"2.3%"
"14",1995,"ARM","CHE","ALL",610899,"0.0011%",136267321,"0.45%"
"15",1995,"ARM","CZE","ALL",3372346,"0.0063%",136267321,"2.47%"
"16",1995,"ARM","DEU","ALL",20087000,"0.037%",136267321,"14.74%"
"17",1995,"ARM","DNK","ALL",17260373,"0.032%",136267321,"12.67%"
"18",1995,"ARM","ESP","ALL",584280,"0.0011%",136267321,"0.43%"
"19",1995,"ARM","EST","ALL",188220,"0.00035%",136267321,"0.14%"
"20",1995,"ARM","FIN","ALL",862797,"0.0016%",136267321,"0.63%"
"21",1995,"ARM","FRA","ALL",11270769,"0.021%",136267321,"8.27%"
"22",1995,"ARM","GBR","ALL",1297358,"0.0024%",136267321,"0.95%"
"23",1995,"ARM","GRC","ALL",8717126,"0.016%",136267321,"6.4%"
"24",1995,"ARM","HRV","ALL",5188,"0.0000097%",136267321,"0%"
"25",1995,"ARM","HUN","ALL",1243000,"0.0023%",136267321,"0.91%"
"26",1995,"ARM","ITA","ALL",5214512,"0.0097%",136267321,"3.83%"
"27",1995,"ARM","LTU","ALL",1484893,"0.0028%",136267321,"1.09%"
"28",1995,"ARM","LVA","ALL",187463,"0.00035%",136267321,"0.14%"
"29",1995,"ARM","MDA","ALL",2627381,"0.0049%",136267321,"1.93%"
"30",1995,"ARM","MKD","ALL",78302,"0.00015%",136267321,"0.06%"
"31",1995,"ARM","NLD","ALL",6441503,"0.012%",136267321,"4.73%"
"32",1995,"ARM","NOR","ALL",545368,"0.0010%",136267321,"0.4%"
"33",1995,"ARM","POL","ALL",1158000,"0.0022%",136267321,"0.85%"
"34",1995,"ARM","PRT","ALL",48949,"0.000091%",136267321,"0.04%"
"35",1995,"ARM","ROU","ALL",1974000,"0.0037%",136267321,"1.45%"
"36",1995,"ARM","SVK","ALL",297807,"0.00056%",136267321,"0.22%"
"37",1995,"ARM","SVN","ALL",103014,"0.00019%",136267321,"0.08%"
"38",1995,"ARM","SWE","ALL",10121,"0.000019%",136267321,"0.01%"
"39",1995,"ARM","CAN","ALL",173065,"0.00032%",136267321,"0.13%"
"40",1995,"ARM","CRI","ALL",98809,"0.00018%",136267321,"0.07%"
"41",1995,"ARM","MEX","ALL",5000,"0.0000093%",136267321,"0%"
"42",1995,"ARM","USA","ALL",43059110,"0.080%",136267321,"31.6%"
"43",1995,"ARM","AUS","ALL",26186,"0.000049%",136267321,"0.02%"
"44",1996,"ARM","MAR","ALL",36921,"0.000069%",324172274,"0.01%"
"45",1996,"ARM","CHN","ALL",642896,"0.0012%",324172274,"0.2%"
"46",1996,"ARM","CYP","ALL",314022,"0.00059%",324172274,"0.1%"
"47",1996,"ARM","GEO","ALL",20993081,"0.039%",324172274,"6.48%"
"48",1996,"ARM","HKG","ALL",424465,"0.00079%",324172274,"0.13%"
"49",1996,"ARM","IND","ALL",464067,"0.00087%",324172274,"0.14%"
"50",1996,"ARM","JPN","ALL",156856,"0.00029%",324172274,"0.05%"
"51",1996,"ARM","KOR","ALL",1066520,"0.0020%",324172274,"0.33%"
"52",1996,"ARM","MYS","ALL",38141,"0.000071%",324172274,"0.01%"
"53",1996,"ARM","OMN","ALL",463581,"0.00086%",324172274,"0.14%"
"54",1996,"ARM","SAU","ALL",257266,"0.00048%",324172274,"0.08%"
"55",1996,"ARM","AUT","ALL",1882953,"0.0035%",324172274,"0.58%"
"56",1996,"ARM","BGR","ALL",19967111,"0.037%",324172274,"6.16%"
"57",1996,"ARM","BLX","ALL",5535298,"0.010%",324172274,"1.71%"
"58",1996,"ARM","CHE","ALL",215449,"0.00040%",324172274,"0.07%"
"59",1996,"ARM","CZE","ALL",5748276,"0.011%",324172274,"1.77%"
"60",1996,"ARM","DEU","ALL",65399291,"0.12%",324172274,"20.17%"
"61",1996,"ARM","DNK","ALL",3035773,"0.0057%",324172274,"0.94%"
"62",1996,"ARM","ESP","ALL",212037,"0.00040%",324172274,"0.07%"
"63",1996,"ARM","EST","ALL",117473,"0.00022%",324172274,"0.04%"
"64",1996,"ARM","FIN","ALL",2314708,"0.0043%",324172274,"0.71%"
"65",1996,"ARM","FRA","ALL",11265284,"0.021%",324172274,"3.48%"
"66",1996,"ARM","GBR","ALL",5956865,"0.011%",324172274,"1.84%"
"67",1996,"ARM","GRC","ALL",4251482,"0.0079%",324172274,"1.31%"
"68",1996,"ARM","HUN","ALL",4173000,"0.0078%",324172274,"1.29%"
"69",1996,"ARM","IRL","ALL",141566,"0.00026%",324172274,"0.04%"
"70",1996,"ARM","ITA","ALL",12458987,"0.023%",324172274,"3.84%"
"71",1996,"ARM","LTU","ALL",3107287,"0.0058%",324172274,"0.96%"
"72",1996,"ARM","LVA","ALL",491384,"0.00092%",324172274,"0.15%"
"73",1996,"ARM","MDA","ALL",4711304,"0.0088%",324172274,"1.45%"
"74",1996,"ARM","NLD","ALL",9658522,"0.018%",324172274,"2.98%"
"75",1996,"ARM","POL","ALL",1803000,"0.0034%",324172274,"0.56%"
"76",1996,"ARM","PRT","ALL",68448,"0.00013%",324172274,"0.02%"
"77",1996,"ARM","ROU","ALL",3629000,"0.0068%",324172274,"1.12%"
"78",1996,"ARM","RUS","ALL",60401423,"0.11%",324172274,"18.63%"
"79",1996,"ARM","SVK","ALL",409163,"0.00076%",324172274,"0.13%"
"80",1996,"ARM","SVN","ALL",235528,"0.00044%",324172274,"0.07%"
"81",1996,"ARM","SWE","ALL",734491,"0.0014%",324172274,"0.23%"
"82",1996,"ARM","UKR","ALL",25011477,"0.047%",324172274,"7.72%"
"83",1996,"ARM","YUG","ALL",166000,"0.00031%",324172274,"0.05%"
"84",1996,"ARM","CAN","ALL",318486,"0.00059%",324172274,"0.1%"
"85",1996,"ARM","USA","ALL",45261651,"0.084%",324172274,"13.96%"
"86",1996,"ARM","AUS","ALL",196822,"0.00037%",324172274,"0.06%"
"87",1996,"ARM","BRA","ALL",376745,"0.00070%",324172274,"0.12%"
"88",1996,"ARM","ECU","ALL",27574,"0.000051%",324172274,"0.01%"
"89",1996,"ARM","PER","ALL",30600,"0.000057%",324172274,"0.01%"
