"","year","country_origin_id","country_destination_id","sitc_product_id","export_val","export_val_pct","countT","per"
"1",1991,"ALB","CHN","ALL",2792518,"0.011%",145595690,"1.92%"
"2",1991,"ALB","USA","ALL",3188141,"0.013%",145595690,"2.19%"
"3",1992,"ALB","CHN","ALL",180604,"0.00072%",97672406,"0.18%"
"4",1992,"ALB","USA","ALL",4942159,"0.020%",97672406,"5.06%"
"5",1993,"ALB","CHN","ALL",46248,"0.00018%",115430046,"0.04%"
"6",1993,"ALB","USA","ALL",7302634,"0.029%",115430046,"6.33%"
"7",1994,"ALB","USA","ALL",5934664,"0.024%",157279553,"3.77%"
"8",1995,"ALB","USA","ALL",9103368,"0.036%",213557137,"4.26%"
"9",1996,"ALB","CHN","ALL",2199903,"0.0088%",281405979,"0.78%"
"10",1996,"ALB","RUS","ALL",98087,"0.00039%",281405979,"0.03%"
"11",1996,"ALB","USA","ALL",9994160,"0.040%",281405979,"3.55%"
"12",1997,"ALB","CHN","ALL",1221,"0.0000049%",251241794,"0%"
"13",1997,"ALB","RUS","ALL",1370410,"0.0055%",251241794,"0.55%"
"14",1997,"ALB","USA","ALL",11781793,"0.047%",251241794,"4.69%"
"15",1998,"ALB","CHN","ALL",1221,"0.0000049%",251241794,"0%"
"16",1998,"ALB","RUS","ALL",1370410,"0.0055%",251241794,"0.55%"
"17",1998,"ALB","USA","ALL",11781793,"0.047%",251241794,"4.69%"
"18",1999,"ALB","RUS","ALL",478184,"0.0019%",244020160,"0.2%"
"19",1999,"ALB","USA","ALL",8527633,"0.034%",244020160,"3.49%"
"20",2000,"ALB","CHN","ALL",1624,"0.0000065%",264566259,"0%"
"21",2000,"ALB","RUS","ALL",600672,"0.0024%",264566259,"0.23%"
"22",2000,"ALB","USA","ALL",7203493,"0.029%",264566259,"2.72%"
"23",2001,"ALB","CHN","ALL",1321,"0.0000053%",327233882,"0%"
"24",2001,"ALB","RUS","ALL",638084,"0.0025%",327233882,"0.19%"
"25",2001,"ALB","USA","ALL",6872985,"0.027%",327233882,"2.1%"
"26",2002,"ALB","CHN","ALL",76381,"0.00030%",332897815,"0.02%"
"27",2002,"ALB","RUS","ALL",296042,"0.0012%",332897815,"0.09%"
"28",2002,"ALB","USA","ALL",5543029,"0.022%",332897815,"1.67%"
"29",2003,"ALB","CHN","ALL",51980,"0.00021%",434041958,"0.01%"
"30",2003,"ALB","RUS","ALL",5924038,"0.024%",434041958,"1.36%"
"31",2003,"ALB","USA","ALL",4212402,"0.017%",434041958,"0.97%"
"32",2004,"ALB","CHN","ALL",5380475,"0.021%",518368067,"1.04%"
"33",2004,"ALB","RUS","ALL",2065097,"0.0082%",518368067,"0.4%"
"34",2004,"ALB","USA","ALL",10964593,"0.044%",518368067,"2.12%"
"35",2005,"ALB","CHN","ALL",6348776,"0.025%",579055399,"1.1%"
"36",2005,"ALB","RUS","ALL",1573380,"0.0063%",579055399,"0.27%"
"37",2005,"ALB","USA","ALL",35257615,"0.14%",579055399,"6.09%"
"38",2006,"ALB","CHN","ALL",11669864,"0.047%",688170245,"1.7%"
"39",2006,"ALB","RUS","ALL",3789491,"0.015%",688170245,"0.55%"
"40",2006,"ALB","USA","ALL",22764816,"0.091%",688170245,"3.31%"
"41",2007,"ALB","CHN","ALL",60294996,"0.24%",979644064,"6.15%"
"42",2007,"ALB","RUS","ALL",3772206,"0.015%",979644064,"0.39%"
"43",2007,"ALB","USA","ALL",9129646,"0.036%",979644064,"0.93%"
"44",2008,"ALB","CHN","ALL",79857795,"0.32%",1947385968,"4.1%"
"45",2008,"ALB","RUS","ALL",25598553,"0.10%",1947385968,"1.31%"
"46",2008,"ALB","USA","ALL",11108272,"0.044%",1947385968,"0.57%"
"47",2009,"ALB","CHN","ALL",58328088,"0.23%",3284406190,"1.78%"
"48",2009,"ALB","RUS","ALL",3834843,"0.015%",3284406190,"0.12%"
"49",2009,"ALB","USA","ALL",14103503,"0.056%",3284406190,"0.43%"
"50",2010,"ALB","CHN","ALL",133452285,"0.53%",1422153483,"9.38%"
"51",2010,"ALB","RUS","ALL",3436286,"0.014%",1422153483,"0.24%"
"52",2010,"ALB","USA","ALL",29064297,"0.12%",1422153483,"2.04%"
"53",2011,"ALB","CHN","ALL",48580502,"0.19%",1948207336,"2.49%"
"54",2011,"ALB","RUS","ALL",139789,"0.00056%",1948207336,"0.01%"
"55",2011,"ALB","USA","ALL",19752008,"0.079%",1948207336,"1.01%"
"56",2012,"ALB","CHN","ALL",53059389,"0.21%",1967918960,"2.7%"
"57",2012,"ALB","RUS","ALL",308417,"0.0012%",1967918960,"0.02%"
"58",2012,"ALB","USA","ALL",9427976,"0.038%",1967918960,"0.48%"
"59",2013,"ALB","CHN","ALL",108391861,"0.43%",2331521935,"4.65%"
"60",2013,"ALB","RUS","ALL",1866649,"0.0074%",2331521935,"0.08%"
"61",2013,"ALB","USA","ALL",10648609,"0.042%",2331521935,"0.46%"
"62",2014,"ALB","CHN","ALL",83044035,"0.33%",2430723645,"3.42%"
"63",2014,"ALB","RUS","ALL",4341184,"0.017%",2430723645,"0.18%"
"64",2014,"ALB","USA","ALL",13907815,"0.055%",2430723645,"0.57%"
"65",2015,"ALB","CHN","ALL",52132014,"0.21%",1892623361,"2.75%"
"66",2015,"ALB","RUS","ALL",409592,"0.0016%",1892623361,"0.02%"
"67",2015,"ALB","USA","ALL",17014808,"0.068%",1892623361,"0.9%"
"68",2016,"ALB","CHN","ALL",60048273,"0.24%",1956641553,"3.07%"
