"","year","country_origin_id","country_destination_id","hs92_product_id","export_val","export_val_pct"
"1",1995,"ARM","EGY","ALL",27860,"0.00013%"
"2",1995,"ARM","TZA","ALL",1898.84,"0.0000086%"
"3",1995,"ARM","ZAF","ALL",3800,"0.000017%"
"4",1995,"ARM","CHN","ALL",60225.26,"0.00027%"
"5",1995,"ARM","IND","ALL",252150.73,"0.0011%"
"6",1995,"ARM","JPN","ALL",188362.31,"0.00085%"
"7",1995,"ARM","KGZ","ALL",568176.88,"0.0026%"
"8",1995,"ARM","KOR","ALL",435288.88,"0.0020%"
"9",1995,"ARM","OMN","ALL",43499.13,"0.00020%"
"10",1995,"ARM","SAU","ALL",191988.61,"0.00087%"
"11",1995,"ARM","AUT","ALL",65275,"0.00029%"
"12",1995,"ARM","BLX","ALL",357161.24,"0.0016%"
"13",1995,"ARM","CHE","ALL",82999,"0.00038%"
"14",1995,"ARM","CZE","ALL",18401,"0.000083%"
"15",1995,"ARM","DEU","ALL",12919670.45,"0.058%"
"16",1995,"ARM","ESP","ALL",2364262.29,"0.011%"
"17",1995,"ARM","EST","ALL",6377.1,"0.000029%"
"18",1995,"ARM","FIN","ALL",6618,"0.000030%"
"19",1995,"ARM","FRA","ALL",245298.52,"0.0011%"
"20",1995,"ARM","GBR","ALL",253143.28,"0.0011%"
"21",1995,"ARM","GRC","ALL",83334,"0.00038%"
"22",1995,"ARM","ITA","ALL",1102621.79,"0.0050%"
"23",1995,"ARM","LTU","ALL",64404.47,"0.00029%"
"24",1995,"ARM","LVA","ALL",11193,"0.000051%"
"25",1995,"ARM","MDA","ALL",45201.73,"0.00020%"
"26",1995,"ARM","NLD","ALL",1675345,"0.0076%"
"27",1995,"ARM","ROU","ALL",1000,"0.0000045%"
"28",1995,"ARM","SVK","ALL",7738,"0.000035%"
"29",1995,"ARM","CAN","ALL",89305,"0.00040%"
"30",1995,"ARM","CRI","ALL",2401.83,"0.000011%"
"31",1995,"ARM","MEX","ALL",3000,"0.000014%"
"32",1995,"ARM","USA","ALL",15656435.12,"0.071%"
"33",1995,"ARM","BOL","ALL",21052.4,"0.000095%"
"34",1995,"ARM","BRA","ALL",13482.26,"0.000061%"
"35",1995,"ARM","COL","ALL",95003,"0.00043%"
"36",1995,"ARM","PER","ALL",41109.77,"0.00019%"
"37",1996,"ARM","DZA","ALL",4507,"0.000020%"
"38",1996,"ARM","EGY","ALL",147746.55,"0.00067%"
"39",1996,"ARM","ZAF","ALL",19175,"0.000087%"
"40",1996,"ARM","GEO","ALL",16574449,"0.075%"
"41",1996,"ARM","IND","ALL",99028,"0.00045%"
"42",1996,"ARM","JPN","ALL",95453.28,"0.00043%"
"43",1996,"ARM","KOR","ALL",404588.36,"0.0018%"
"44",1996,"ARM","MYS","ALL",4448,"0.000020%"
"45",1996,"ARM","SAU","ALL",82066.07,"0.00037%"
"46",1996,"ARM","THA","ALL",193159,"0.00087%"
"47",1996,"ARM","AUT","ALL",251793.88,"0.0011%"
"48",1996,"ARM","BGR","ALL",427585.03,"0.0019%"
"49",1996,"ARM","BLX","ALL",526826.03,"0.0024%"
"50",1996,"ARM","CHE","ALL",951109,"0.0043%"
"51",1996,"ARM","CZE","ALL",13080,"0.000059%"
"52",1996,"ARM","DEU","ALL",2367631.37,"0.011%"
"53",1996,"ARM","ESP","ALL",426095.49,"0.0019%"
"54",1996,"ARM","EST","ALL",121360,"0.00055%"
"55",1996,"ARM","FIN","ALL",17570.35,"0.000079%"
"56",1996,"ARM","FRA","ALL",1408722.21,"0.0064%"
"57",1996,"ARM","GBR","ALL",440187.68,"0.0020%"
"58",1996,"ARM","GRC","ALL",290485.38,"0.0013%"
"59",1996,"ARM","HUN","ALL",3000,"0.000014%"
"60",1996,"ARM","ITA","ALL",669233.93,"0.0030%"
"61",1996,"ARM","LTU","ALL",9399,"0.000042%"
"62",1996,"ARM","LVA","ALL",158406.62,"0.00072%"
"63",1996,"ARM","MDA","ALL",66414.74,"0.00030%"
"64",1996,"ARM","MLT","ALL",36545.16,"0.00017%"
"65",1996,"ARM","NLD","ALL",5388442.76,"0.024%"
"66",1996,"ARM","NOR","ALL",1020,"0.0000046%"
"67",1996,"ARM","ROU","ALL",12000,"0.000054%"
"68",1996,"ARM","RUS","ALL",37645741.5,"0.17%"
"69",1996,"ARM","SVK","ALL",7821,"0.000035%"
"70",1996,"ARM","UKR","ALL",3968818.72,"0.018%"
"71",1996,"ARM","YUG","ALL",158842.09,"0.00072%"
"72",1996,"ARM","CAN","ALL",26182.67,"0.00012%"
"73",1996,"ARM","USA","ALL",1202086.32,"0.0054%"
"74",1996,"ARM","AUS","ALL",3186.58,"0.000014%"
"75",1996,"ARM","BOL","ALL",11165,"0.000050%"
"76",1996,"ARM","BRA","ALL",7219,"0.000033%"
"77",1996,"ARM","CHL","ALL",7102,"0.000032%"
"78",1996,"ARM","COL","ALL",85668.56,"0.00039%"
"79",1996,"ARM","ECU","ALL",243068.21,"0.0011%"
"80",1996,"ARM","URY","ALL",8002,"0.000036%"
"81",1997,"ARM","EGY","ALL",1115722.96,"0.0050%"
"82",1997,"ARM","TZA","ALL",1187,"0.0000054%"
"83",1997,"ARM","ZAF","ALL",270133,"0.0012%"
"84",1997,"ARM","ARE","ALL",2884360,"0.013%"
"85",1997,"ARM","CYP","ALL",449314,"0.0020%"
"86",1997,"ARM","GEO","ALL",21989322.79,"0.099%"
"87",1997,"ARM","IDN","ALL",99118.21,"0.00045%"
"88",1997,"ARM","IND","ALL",18072,"0.000082%"
"89",1997,"ARM","IRN","ALL",51276019.1,"0.23%"
"90",1997,"ARM","ISR","ALL",27583.85,"0.00012%"
"91",1997,"ARM","JPN","ALL",99311.21,"0.00045%"
"92",1997,"ARM","KAZ","ALL",676994,"0.0031%"
"93",1997,"ARM","KGZ","ALL",33901,"0.00015%"
"94",1997,"ARM","KOR","ALL",67939.72,"0.00031%"
"95",1997,"ARM","LBN","ALL",4335968.96,"0.020%"
"96",1997,"ARM","OMN","ALL",841160.56,"0.0038%"
"97",1997,"ARM","PAK","ALL",213082,"0.00096%"
"98",1997,"ARM","SYR","ALL",2728470,"0.012%"
"99",1997,"ARM","THA","ALL",158070,"0.00071%"
"100",1997,"ARM","TJK","ALL",40794,"0.00018%"
"101",1997,"ARM","TKM","ALL",7740257,"0.035%"
"102",1997,"ARM","TUR","ALL",7079239,"0.032%"
"103",1997,"ARM","UZB","ALL",118131,"0.00053%"
