"","year","country_origin_id","country_destination_id","hs92_product_id","export_val","export_val_pct","countT","per"
"1",1995,"ALB","USA","ALL",9382881.75,"0.032%",212402707.46,"4.42%"
"2",1996,"ALB","CHN","ALL",2142730.12,"0.0072%",348865960.54,"0.61%"
"3",1996,"ALB","RUS","ALL",169883.68,"0.00057%",348865960.54,"0.05%"
"4",1996,"ALB","USA","ALL",10625736.96,"0.036%",348865960.54,"3.05%"
"5",1997,"ALB","RUS","ALL",290601.31,"0.00098%",285176079.85,"0.1%"
"6",1997,"ALB","USA","ALL",12764308.59,"0.043%",285176079.85,"4.48%"
"7",1998,"ALB","CHN","ALL",1250.75,"0.0000042%",247123219.04,"0%"
"8",1998,"ALB","RUS","ALL",1867865.1,"0.0063%",247123219.04,"0.76%"
"9",1998,"ALB","USA","ALL",15269452.19,"0.052%",247123219.04,"6.18%"
"10",1999,"ALB","RUS","ALL",1137053.11,"0.0038%",324859286.31,"0.35%"
"11",1999,"ALB","USA","ALL",9195561.75,"0.031%",324859286.31,"2.83%"
"12",2000,"ALB","CHN","ALL",1022,"0.0000034%",325476056.05,"0%"
"13",2000,"ALB","RUS","ALL",1094225.52,"0.0037%",325476056.05,"0.34%"
"14",2000,"ALB","USA","ALL",6731015.99,"0.023%",325476056.05,"2.07%"
"15",2001,"ALB","CHN","ALL",1216,"0.0000041%",339098581.65,"0%"
"16",2001,"ALB","RUS","ALL",732728.54,"0.0025%",339098581.65,"0.22%"
"17",2001,"ALB","USA","ALL",7372239.31,"0.025%",339098581.65,"2.17%"
"18",2002,"ALB","CHN","ALL",91041.91,"0.00031%",427255598.76,"0.02%"
"19",2002,"ALB","RUS","ALL",368762.11,"0.0012%",427255598.76,"0.09%"
"20",2002,"ALB","USA","ALL",6855828.43,"0.023%",427255598.76,"1.6%"
"21",2003,"ALB","CHN","ALL",1645996.75,"0.0056%",492530328.01,"0.33%"
"22",2003,"ALB","RUS","ALL",5321513,"0.018%",492530328.01,"1.08%"
"23",2003,"ALB","USA","ALL",4595739.46,"0.016%",492530328.01,"0.93%"
"24",2004,"ALB","CHN","ALL",3516979.35,"0.012%",668185267.87,"0.53%"
"25",2004,"ALB","RUS","ALL",2076078.12,"0.0070%",668185267.87,"0.31%"
"26",2004,"ALB","USA","ALL",11515802.45,"0.039%",668185267.87,"1.72%"
"27",2005,"ALB","CHN","ALL",6613730.97,"0.022%",744200614.81,"0.89%"
"28",2005,"ALB","RUS","ALL",1679494.74,"0.0057%",744200614.81,"0.23%"
"29",2005,"ALB","USA","ALL",37653820.24,"0.13%",744200614.81,"5.06%"
"30",2006,"ALB","CHN","ALL",10575697.26,"0.036%",783910292.55,"1.35%"
"31",2006,"ALB","RUS","ALL",4418624.69,"0.015%",783910292.55,"0.56%"
"32",2006,"ALB","USA","ALL",23329711.09,"0.079%",783910292.55,"2.98%"
"33",2007,"ALB","CHN","ALL",49818303.92,"0.17%",1195040582.6,"4.17%"
"34",2007,"ALB","RUS","ALL",3821449.5,"0.013%",1195040582.6,"0.32%"
"35",2007,"ALB","USA","ALL",13910516.38,"0.047%",1195040582.6,"1.16%"
"36",2008,"ALB","CHN","ALL",72160106.32,"0.24%",2087150514.11,"3.46%"
"37",2008,"ALB","RUS","ALL",25233660.98,"0.085%",2087150514.11,"1.21%"
"38",2008,"ALB","USA","ALL",13113532.71,"0.044%",2087150514.11,"0.63%"
"39",2009,"ALB","CHN","ALL",56428230.77,"0.19%",3713724493.08,"1.52%"
"40",2009,"ALB","RUS","ALL",3809805.68,"0.013%",3713724493.08,"0.1%"
"41",2009,"ALB","USA","ALL",16894267.86,"0.057%",3713724493.08,"0.45%"
"42",2010,"ALB","CHN","ALL",115156743.44,"0.39%",1711324520.65,"6.73%"
"43",2010,"ALB","RUS","ALL",3732731.61,"0.013%",1711324520.65,"0.22%"
"44",2010,"ALB","USA","ALL",36096887.15,"0.12%",1711324520.65,"2.11%"
"45",2011,"ALB","CHN","ALL",105496324.79,"0.36%",2059787269.82,"5.12%"
"46",2011,"ALB","RUS","ALL",7824524.23,"0.026%",2059787269.82,"0.38%"
"47",2011,"ALB","USA","ALL",29979914.68,"0.10%",2059787269.82,"1.46%"
"48",2012,"ALB","CHN","ALL",98654035.42,"0.33%",2085833423.67,"4.73%"
"49",2012,"ALB","RUS","ALL",9316748.44,"0.031%",2085833423.67,"0.45%"
"50",2012,"ALB","USA","ALL",20179273.43,"0.068%",2085833423.67,"0.97%"
"51",2013,"ALB","CHN","ALL",210929948.29,"0.71%",2621652965.12,"8.05%"
"52",2013,"ALB","RUS","ALL",13392202.9,"0.045%",2621652965.12,"0.51%"
"53",2013,"ALB","USA","ALL",23370662.22,"0.079%",2621652965.12,"0.89%"
"54",2014,"ALB","CHN","ALL",130135729.02,"0.44%",2324260784.19,"5.6%"
"55",2014,"ALB","RUS","ALL",21969106.24,"0.074%",2324260784.19,"0.95%"
"56",2014,"ALB","USA","ALL",61384236.75,"0.21%",2324260784.19,"2.64%"
"57",2015,"ALB","CHN","ALL",95021022.65,"0.32%",2004118293.04,"4.74%"
"58",2015,"ALB","RUS","ALL",12199650.41,"0.041%",2004118293.04,"0.61%"
"59",2015,"ALB","USA","ALL",146744814.89,"0.50%",2004118293.04,"7.32%"
"60",2016,"ALB","CHN","ALL",100751593.45,"0.34%",2237102943.67,"4.5%"
"61",2016,"ALB","RUS","ALL",10650784.59,"0.036%",2237102943.67,"0.48%"
"62",2016,"ALB","USA","ALL",114329135.78,"0.39%",2237102943.67,"5.11%"
"63",2017,"ALB","CHN","ALL",177072088.88,"0.60%",2389125670.33,"7.41%"
"64",2017,"ALB","RUS","ALL",15666936.43,"0.053%",2389125670.33,"0.66%"
"65",2017,"ALB","USA","ALL",40328983.96,"0.14%",2389125670.33,"1.69%"
"66",1995,"BIH","USA","ALL",2382522.29,"0.0032%",51188505.1,"4.65%"
"67",1996,"BIH","RUS","ALL",126127.87,"0.00017%",399342262.33,"0.03%"
"68",1996,"BIH","USA","ALL",6805292.62,"0.0093%",399342262.33,"1.7%"
"69",1997,"BIH","RUS","ALL",9466608.98,"0.013%",663364994.63,"1.43%"
"70",1997,"BIH","USA","ALL",5861716.39,"0.0080%",663364994.63,"0.88%"
"71",1998,"BIH","CHN","ALL",108869.8,"0.00015%",665899693.13,"0.02%"
"72",1998,"BIH","RUS","ALL",1094020.42,"0.0015%",665899693.13,"0.16%"
"73",1998,"BIH","USA","ALL",4579274.79,"0.0062%",665899693.13,"0.69%"
"74",1999,"BIH","CHN","ALL",275891.45,"0.00038%",745458014.31,"0.04%"
"75",1999,"BIH","RUS","ALL",5064177.53,"0.0069%",745458014.31,"0.68%"
"76",1999,"BIH","USA","ALL",5334444.09,"0.0073%",745458014.31,"0.72%"
"77",2000,"BIH","CHN","ALL",1603862.57,"0.0022%",834804635.47,"0.19%"
"78",2000,"BIH","RUS","ALL",21833360.87,"0.030%",834804635.47,"2.62%"
"79",2000,"BIH","USA","ALL",16156909.92,"0.022%",834804635.47,"1.94%"
"80",2001,"BIH","CHN","ALL",67597.28,"0.000092%",881372347.59,"0.01%"
"81",2001,"BIH","RUS","ALL",4963454.39,"0.0067%",881372347.59,"0.56%"
"82",2001,"BIH","USA","ALL",11137692.88,"0.015%",881372347.59,"1.26%"
"83",2002,"BIH","CHN","ALL",119086.8,"0.00016%",989847556.95,"0.01%"
"84",2002,"BIH","RUS","ALL",526021.33,"0.00072%",989847556.95,"0.05%"
"85",2002,"BIH","USA","ALL",15591601.95,"0.021%",989847556.95,"1.58%"
"86",2003,"BIH","CHN","ALL",538130.7,"0.00073%",1379053250.95,"0.04%"
"87",2003,"BIH","RUS","ALL",2325368.28,"0.0032%",1379053250.95,"0.17%"
"88",2003,"BIH","USA","ALL",12323453.67,"0.017%",1379053250.95,"0.89%"
"89",2004,"BIH","CHN","ALL",495020.9,"0.00067%",1973111903.48,"0.03%"
"90",2004,"BIH","RUS","ALL",17868047.38,"0.024%",1973111903.48,"0.91%"
"91",2004,"BIH","USA","ALL",17973323.47,"0.024%",1973111903.48,"0.91%"
"92",2005,"BIH","CHN","ALL",97232742.53,"0.13%",3156376464.81,"3.08%"
"93",2005,"BIH","RUS","ALL",4698270.04,"0.0064%",3156376464.81,"0.15%"
"94",2005,"BIH","USA","ALL",137929756.69,"0.19%",3156376464.81,"4.37%"
"95",2006,"BIH","CHN","ALL",111886498.11,"0.15%",3941862559.16,"2.84%"
"96",2006,"BIH","RUS","ALL",5913130.82,"0.0080%",3941862559.16,"0.15%"
"97",2006,"BIH","USA","ALL",140358344.11,"0.19%",3941862559.16,"3.56%"
"98",2007,"BIH","CHN","ALL",22474615.16,"0.031%",4379480302.51,"0.51%"
"99",2007,"BIH","RUS","ALL",7665050.12,"0.010%",4379480302.51,"0.18%"
"100",2007,"BIH","USA","ALL",116891831.5,"0.16%",4379480302.51,"2.67%"
"101",2008,"BIH","CHN","ALL",4736919.1,"0.0064%",5046019279.76,"0.09%"
"102",2008,"BIH","RUS","ALL",16503725.44,"0.022%",5046019279.76,"0.33%"
"103",2008,"BIH","USA","ALL",118058425.27,"0.16%",5046019279.76,"2.34%"
"104",2009,"BIH","CHN","ALL",11929265.33,"0.016%",3815913132.82,"0.31%"
"105",2009,"BIH","RUS","ALL",23973115.62,"0.033%",3815913132.82,"0.63%"
"106",2009,"BIH","USA","ALL",28053942.02,"0.038%",3815913132.82,"0.74%"
"107",2010,"BIH","CHN","ALL",15269524.91,"0.021%",4606484898.14,"0.33%"
"108",2010,"BIH","RUS","ALL",34799294.16,"0.047%",4606484898.14,"0.76%"
"109",2010,"BIH","USA","ALL",25126240.37,"0.034%",4606484898.14,"0.55%"
"110",2011,"BIH","CHN","ALL",21166354.17,"0.029%",5708476074.45,"0.37%"
"111",2011,"BIH","RUS","ALL",49684086.87,"0.068%",5708476074.45,"0.87%"
