"","year","ALB","BIH","ISL","MKD","MNE","NOR","SRB","CHE","TUR"
"1",1995,NA,NA,"0.15%","0%",NA,"0.54%",NA,"1.01%","0.5%"
"2",1996,"0.61%",NA,"0.1%","0.14%",NA,"0.46%",NA,"1.02%","0.36%"
"3",1997,NA,NA,"0.45%","0.01%",NA,"0.72%",NA,"0.92%","0.22%"
"4",1998,"0%","0.02%","0.35%","0.01%",NA,"0.8%",NA,"0.83%","0.16%"
"5",1999,NA,"0.04%","0.26%","0.02%",NA,"1.29%",NA,"0.97%","0.17%"
"6",2000,"0%","0.19%","0.6%","0.04%",NA,"0.78%",NA,"1.17%","0.39%"
"7",2001,"0%","0.01%","0.53%","0.04%",NA,"1.27%",NA,"1.33%","0.72%"
"8",2002,"0.02%","0.01%","0.63%","0.05%",NA,"1.71%",NA,"1.58%","0.77%"
"9",2003,"0.33%","0.04%","0.76%","1.02%",NA,"1.34%",NA,"1.92%","1.04%"
"10",2004,"0.53%","0.03%","0.61%","0.12%",NA,"1.37%",NA,"2.13%","0.73%"
"11",2005,"0.89%","3.08%","1.08%","0.47%",NA,"1%","0.05%","2.13%","0.77%"
"12",2006,"1.35%","2.84%","1.03%","0.11%",NA,"1.35%","0.14%","2.24%","0.81%"
"13",2007,"4.17%","0.51%","0.79%","0.25%","0.2%","1.28%","0.19%","2.56%","0.97%"
"14",2008,"3.46%","0.09%","2.3%","0.33%","0.33%","1.27%","0.14%","2.75%","1.09%"
"15",2009,"1.52%","0.31%","2.3%","0.88%","0.15%","2.44%","0.4%","2.96%","1.37%"
"16",2010,"6.73%","0.33%","0.79%","2.64%","0.62%","2.27%","0.4%","3.37%","2.08%"
"17",2011,"5.12%","0.37%","1.01%","2.98%","1.79%","2.17%","0.72%","3.64%","1.73%"
"18",2012,"4.73%","0.35%","1.43%","3.81%","1.99%","1.84%","0.61%","3.27%","1.88%"
"19",2013,"8.05%","0.28%","1.21%","2.41%","1.13%","2.25%","1.06%","3.09%","2.35%"
"20",2014,"5.6%","0.42%","0.82%","1.74%","4.15%","2.74%","0.33%","5.76%","1.88%"
"21",2015,"4.74%","0.86%","1.37%","2.85%","2.4%","3.34%","0.9%","7.28%","1.67%"
"22",2016,"4.5%","0.59%","1.97%","1.01%","5.03%","3.22%","0.95%","10.65%","1.58%"
"23",2017,"7.41%","0.7%","1.78%","1.18%","11.47%","2.79%","0.76%","9.17%","1.92%"
