"","year","ALB","BIH","ISL","MKD","MNE","NOR","SRB","CHE","TUR"
"1",1995,"1.86%","0.01%","1.27%","0.21%",NA,"1.91%",NA,"1.18%","1.53%"
"2",1996,"0.63%","0%","1.18%","0.19%",NA,"2.02%",NA,"1.25%","1.35%"
"3",1997,"0.88%","0.01%","1.29%","0.3%",NA,"2.19%",NA,"1.51%","1.63%"
"4",1998,"1.28%","0.01%","1.3%","0.43%",NA,"2.18%",NA,"1.43%","1.89%"
"5",1999,"0.66%","0.02%","1.59%","0.67%",NA,"2.61%",NA,"1.39%","2.17%"
"6",2000,"1.8%","0.06%","1.89%","0.75%",NA,"3.15%",NA,"1.6%","2.5%"
"7",2001,"2.43%","0.06%","2.34%","1.28%",NA,"2.94%",NA,"1.58%","2.3%"
"8",2002,"2.81%","0.09%","2.72%","1.56%",NA,"5.18%",NA,"1.55%","2.78%"
"9",2003,"3.9%","1.67%","3.32%","2.67%",NA,"4.72%",NA,"1.67%","3.92%"
"10",2004,"5.11%","2.1%","3.55%","2.89%",NA,"4.76%",NA,"1.86%","4.66%"
"11",2005,"7.35%","3.05%","5.13%","3.22%",NA,"5.35%","5.01%","2.02%","6.08%"
"12",2006,"6.24%","3.38%","4.57%","3.53%","3.7%","5.58%","5.25%","1.96%","7.26%"
"13",2007,"7.2%","4.25%","4.64%","4.72%","4.22%","5.85%","6.7%","2.25%","7.94%"
"14",2008,"8.64%","4.58%","6.55%","4.62%","4.28%","6.1%","6.88%","2.25%","7.98%"
"15",2009,"7.34%","4.43%","4.42%","5.88%","5.35%","7.51%","6.39%","2.4%","9.26%"
"16",2010,"6.88%","4.81%","4.92%","5.2%","5.29%","7.99%","6.34%","2.66%","9.29%"
"17",2011,"7.03%","4.95%","4.79%","5.08%","6.28%","8.68%","6.57%","2.55%","9.76%"
"18",2012,"7.01%","5.3%","6.54%","5.69%","7.31%","8.9%","6.44%","4.03%","9.92%"
"19",2013,"7.13%","5.99%","7.76%","5.66%","7.93%","8.72%","6.47%","4.7%","10.79%"
"20",2014,"6.64%","8.4%","7.06%","5.72%","7.31%","9.07%","6.43%","4.5%","11.32%"
"21",2015,"9.11%","6.71%","7.44%","5.9%","10.18%","9.76%","7.15%","4.83%","13.03%"
"22",2016,"9.13%","6.55%","6.41%","6.12%","8.56%","10.28%","6.49%","4.38%","13.43%"
"23",2017,"7.4%","6.68%","6.3%","5.61%","10.25%","9.63%","7.02%","4.84%","10.69%"
