"","year","ALB","BIH","ISL","MKD","MNE","NOR","SRB","CHE","TUR"
"1",1995,NA,NA,"2.18%","2.68%",NA,"1.78%",NA,"0.21%","4.16%"
"2",1996,"0.23%","1.78%","2.29%","5.79%",NA,"1.39%",NA,"2.64%","4.4%"
"3",1997,"0.21%","0.53%","2.12%","3.15%",NA,"1.41%",NA,"2.42%","4.56%"
"4",1998,"1.02%","0.57%","1.62%","4.7%",NA,"1.42%",NA,"1.71%","4.8%"
"5",1999,"0.23%","0.56%","1.59%","4.34%",NA,"1.41%",NA,"1.9%","5.14%"
"6",2000,"1.91%","1.25%","1.34%","10.16%",NA,"1.91%",NA,"1.89%","4.24%"
"7",2001,"1.2%","0.88%","1.05%","8.34%",NA,"1.87%",NA,"1.5%","4.85%"
"8",2002,"2.3%","0.41%","3.3%","6.4%",NA,"1.82%",NA,"2.22%","5.04%"
"9",2003,"2.58%","1.64%","2.02%","7.41%",NA,"1.7%",NA,"1.68%","5.2%"
"10",2004,"2.68%","1.9%","0.93%","8.02%",NA,"1.91%",NA,"3.37%","6.53%"
"11",2005,"3.44%","2.31%","0.45%","10.8%",NA,"1.99%","15.08%","4.87%","7.37%"
"12",2006,"3.5%","2.07%","0.38%","13.06%","2.17%","2.11%","13.12%","2.62%","8.05%"
"13",2007,"4.03%","1.9%","0.95%","11.17%","5.66%","1.96%","11.78%","1.54%","9.03%"
"14",2008,"4.62%","1.96%","0.49%","12.31%","3.26%","1.84%","13.39%","1.08%","9.99%"
"15",2009,"2.36%","5.71%","0.57%","1.14%","2.29%","1.45%","11.73%","0.61%","8.98%"
"16",2010,"2.14%","7.56%","0.44%","9%","2.28%","2.05%","11.77%","1.1%","8.24%"
"17",2011,"1.88%","9.2%","0.55%","8.79%","2.95%","1.77%","11.42%","0.85%","6.33%"
"18",2012,"2.4%","8.63%","0.68%","5.03%","1.39%","1.63%","9.52%","1.42%","7.34%"
"19",2013,"1.77%","8.83%","0.59%","2.24%","0.8%","1.41%","8.18%","1.9%","6.46%"
"20",2014,"1.35%","7.04%","0.61%","1.79%","1.22%","1.51%","10.45%","1.31%","6.76%"
"21",2015,"2%","4.86%","0.89%","2.07%","1.27%","1.42%","8.74%","0.83%","6.45%"
"22",2016,"1.52%","3.95%","0.23%","1.78%","0.89%","1.33%","7.33%","0.88%","5.61%"
"23",2017,"1.78%","4.59%","0.25%","1.74%","0.55%","1.56%","6.99%","0.85%","6.16%"
