"","year","ALB","BIH","ISL","MKD","MNE","NOR","SRB","CHE","TUR"
"1",1995,"4.42%","4.65%","11.87%","3.79%",NA,"6.84%",NA,"7.48%","7.79%"
"2",1996,"3.05%","1.7%","11.22%","7.63%",NA,"7.6%",NA,"7.87%","7.15%"
"3",1997,"4.48%","0.88%","13.21%","10.21%",NA,"7.1%",NA,"8.4%","7.78%"
"4",1998,"6.18%","0.69%","12.48%","13.02%",NA,"6.67%",NA,"8.63%","8.17%"
"5",1999,"2.83%","0.72%","13.99%","11.75%",NA,"8.72%",NA,"9.92%","8.8%"
"6",2000,"2.07%","1.94%","10.97%","12.06%",NA,"9.05%",NA,"10.46%","11.09%"
"7",2001,"2.17%","1.26%","9.36%","9.36%",NA,"8.76%",NA,"9.95%","9.86%"
"8",2002,"1.6%","1.58%","9.82%","7.07%",NA,"9.64%",NA,"10.36%","9.07%"
"9",2003,"0.93%","0.89%","8.65%","5.02%",NA,"8.13%",NA,"9.79%","7.79%"
"10",2004,"1.72%","0.91%","8.4%","4.12%",NA,"7.9%",NA,"8.98%","7.52%"
"11",2005,"5.06%","4.37%","8.75%","1.96%",NA,"6.84%","1.3%","9.2%","6.7%"
"12",2006,"2.98%","3.56%","10.6%","1.15%","0.09%","5.83%","1.2%","9.44%","6.09%"
"13",2007,"1.16%","2.67%","7.13%","1.82%","0.78%","6%","0.9%","7.94%","4.01%"
"14",2008,"0.63%","2.34%","5.9%","2%","0.15%","4.46%","0.63%","7.94%","3.24%"
"15",2009,"0.45%","0.74%","3.98%","0.82%","5.51%","5.1%","0.78%","8.48%","3.28%"
"16",2010,"2.11%","0.55%","4.53%","0.71%","0.93%","5.46%","1.22%","8.2%","3.41%"
"17",2011,"1.46%","0.77%","3.89%","0.99%","0.64%","5.48%","0.91%","8.05%","3.43%"
"18",2012,"0.97%","0.99%","4.79%","1.58%","0.51%","4.44%","1.2%","8.84%","3.86%"
"19",2013,"0.89%","1.02%","4.65%","1.23%","0.32%","3.89%","3.52%","7.87%","4.02%"
"20",2014,"2.64%","1.33%","4.76%","2.78%","0.37%","3.52%","2.25%","9.59%","4.16%"
"21",2015,"7.32%","1.44%","5.79%","3.63%","0.53%","4.27%","2.09%","10.3%","4.88%"
"22",2016,"5.11%","1.15%","7.91%","2%","0.48%","4.7%","2.06%","12.25%","4.92%"
"23",2017,"1.69%","1.31%","6.78%","1.82%","0.62%","4.74%","1.63%","9.95%","5.25%"
