"","year","ALB","BIH","ISL","MKD","MNE","NOR","SRB","CHE","TUR"
"1",1995,"1.41%","3.29%","8.59%","2.87%",NA,"6.59%",NA,"7.56%","10.56%"
"2",1996,"2.3%","2.19%","11.72%","3.43%",NA,"6.26%",NA,"8.7%","7.92%"
"3",1997,"0.53%","3.29%","8.93%","4.92%",NA,"6.56%",NA,"10.23%","9.01%"
"4",1998,"2.28%","1.26%","10.64%","3.85%",NA,"6.93%",NA,"7.33%","8.69%"
"5",1999,"2.84%","1.21%","10.79%","2.66%",NA,"7.7%",NA,"9.08%","7.63%"
"6",2000,"2.2%","1.54%","10.22%","3.31%",NA,"8.05%",NA,"10.32%","7.34%"
"7",2001,"1.52%","1.5%","9.31%","2.59%",NA,"6.94%",NA,"8.87%","7.64%"
"8",2002,"1.79%","0.94%","10.35%","2.43%",NA,"5.91%",NA,"8.1%","6.17%"
"9",2003,"1.04%","1.53%","10.39%","2.11%",NA,"4.89%",NA,"7.98%","5.23%"
"10",2004,"1.63%","1.39%","9.83%","1.54%",NA,"4.65%",NA,"6.66%","4.91%"
"11",2005,"1.46%","1.61%","9%","1.62%",NA,"4.85%","2.7%","7.1%","4.55%"
"12",2006,"1.28%","1.87%","12.06%","1.16%","1.75%","4.95%","1.68%","7.96%","4.54%"
"13",2007,"1.42%","1.99%","12.21%","1.51%","1.87%","4.53%","1.86%","8.57%","4.89%"
"14",2008,"1.65%","2.91%","7.88%","1.48%","2.25%","5.04%","2.09%","8.94%","6.48%"
"15",2009,"1.5%","2.41%","6.75%","2.12%","1.47%","5.6%","2.11%","6.49%","6.05%"
"16",2010,"1.75%","3.17%","6.46%","1.87%","1.03%","5.3%","1.48%","6.46%","6.63%"
"17",2011,"1.62%","3.49%","8.32%","1.27%","0.91%","5.07%","1.38%","6.08%","7.08%"
"18",2012,"2.41%","2.28%","9.33%","1.27%","0.81%","4.99%","1.59%","9.6%","6.38%"
"19",2013,"2.45%","2.28%","9.61%","1.8%","1.05%","5%","1.36%","10.06%","5.4%"
"20",2014,"1.93%","2.61%","9.77%","1.85%","1.07%","5.79%","1.26%","7.64%","5.45%"
"21",2015,"1.45%","2.42%","7.49%","1.42%","0.89%","6.13%","1.5%","7.8%","5.58%"
"22",2016,"1.79%","1.72%","8.33%","2.08%","1.08%","5.86%","1.6%","8.56%","5.55%"
"23",2017,"1.29%","2.95%","5.83%","2.24%","0.77%","6.48%","1.36%","7.8%","5.27%"
