"","PERIOD","PARTNER","REPORTER","PRODUCT","FLOW","INDICATORS","Value"
"1","Jan.-Dec. 1991","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"2","Jan.-Dec. 1992","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"3","Jan.-Dec. 1993","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"4","Jan.-Dec. 1994","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"5","Jan.-Dec. 1995","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"6","Jan.-Dec. 1996","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"7","Jan.-Dec. 1997","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"8","Jan.-Dec. 1998","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"9","Jan.-Dec. 1999","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"10","Jan.-Dec. 2000","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","17,839,944,707"
"11","Jan.-Dec. 2001","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","18,935,725,761"
"12","Jan.-Dec. 2002","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","19,865,670,111"
"13","Jan.-Dec. 2003","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","20,159,410,611"
"14","Jan.-Dec. 2004","EU28_EXTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","23,923,741,149"
