,PERIOD,PARTNER,REPORTER,PRODUCT,FLOW,INDICATORS,Value,Per
1,Jan.-Dec. 1991,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
2,Jan.-Dec. 1992,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
3,Jan.-Dec. 1993,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
4,Jan.-Dec. 1994,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
5,Jan.-Dec. 1995,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
6,Jan.-Dec. 1996,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
7,Jan.-Dec. 1997,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
8,Jan.-Dec. 1998,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
9,Jan.-Dec. 1999,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
10,Jan.-Dec. 2000,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"17,839,944,707",
39,Jan.-Dec. 2000,EU28_INTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"55,471,527,032",
68,Jan.-Dec. 2000,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"24,412,544,266",0.332997602
97,Jan.-Dec. 2000,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"47,257,778,046",0.591579489
126,Jan.-Dec. 2000,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"156,695,490,262",2.186337178
