"","year","country_origin_id","country_destination_id","hs92_product_id","export_val","export_val_pct","countT","per"
"1",1998,"AZE","USA",2709,10269429,"0.0045%",109367454.82,"9.39%"
"2",1999,"AZE","USA",2709,15407375.24,"0.0067%",382339131.39,"4.03%"
"3",2001,"AZE","RUS",2709,13817.92,"0.0000060%",1237070789.41,"0%"
"4",2002,"AZE","USA",2709,35028558.55,"0.015%",1225044906.46,"2.86%"
"5",2003,"AZE","CHN",2709,16938279.87,"0.0074%",1499309118.53,"1.13%"
"6",2003,"AZE","USA",2709,52386450,"0.023%",1499309118.53,"3.49%"
"7",2004,"AZE","CHN",2709,25866597.32,"0.011%",1837224524.84,"1.41%"
"8",2004,"AZE","USA",2709,34587.23,"0.000015%",1837224524.84,"0%"
"9",2005,"AZE","CHN",2709,80257876.03,"0.035%",3100712030.34,"2.59%"
"10",2005,"AZE","RUS",2709,13044.26,"0.0000057%",3100712030.34,"0%"
"11",2006,"AZE","USA",2709,365205580.43,"0.16%",6020062417.2,"6.07%"
"12",2007,"AZE","USA",2709,937292980.83,"0.41%",10687677289.16,"8.77%"
"13",2008,"AZE","CHN",2709,455371879.72,"0.20%",31763434121.31,"1.43%"
"14",2008,"AZE","USA",2709,5129353950.9,"2.2%",31763434121.31,"16.15%"
"15",2009,"AZE","CHN",2709,116447817.62,"0.051%",14737132938.37,"0.79%"
"16",2009,"AZE","USA",2709,1737295908.5,"0.76%",14737132938.37,"11.79%"
"17",2010,"AZE","CHN",2709,299733553.48,"0.13%",22257166964.52,"1.35%"
"18",2010,"AZE","USA",2709,1741853485.4,"0.76%",22257166964.52,"7.83%"
"19",2011,"AZE","CHN",2709,100602709.81,"0.044%",26508119876.65,"0.38%"
"20",2011,"AZE","USA",2709,2196567384.8,"0.96%",26508119876.65,"8.29%"
"21",2012,"AZE","CHN",2709,160029162.77,"0.070%",24410096688.05,"0.66%"
"22",2012,"AZE","USA",2709,1316668375.3,"0.57%",24410096688.05,"5.39%"
"23",2013,"AZE","CHN",2709,56812894.15,"0.025%",24770031368.32,"0.23%"
"24",2013,"AZE","USA",2709,975768027.66,"0.42%",24770031368.32,"3.94%"
"25",2014,"AZE","CHN",2709,176104285.06,"0.077%",22747604404.07,"0.77%"
"26",2014,"AZE","RUS",2709,692731,"0.00030%",22747604404.07,"0%"
"27",2014,"AZE","USA",2709,803110751.36,"0.35%",22747604404.07,"3.53%"
"28",2015,"AZE","CHN",2709,138184635.35,"0.060%",14432599661.59,"0.96%"
"29",2015,"AZE","USA",2709,156548357.08,"0.068%",14432599661.59,"1.08%"
"30",2016,"AZE","CHN",2709,248730193.35,"0.11%",9354307269.45,"2.66%"
"31",2016,"AZE","RUS",2709,458613,"0.00020%",9354307269.45,"0%"
"32",2016,"AZE","USA",2709,101785719.14,"0.044%",9354307269.45,"1.09%"
"33",2017,"AZE","CHN",2709,424260909.57,"0.18%",11735868377.91,"3.62%"
"34",2017,"AZE","RUS",2709,378011.01,"0.00016%",11735868377.91,"0%"
"35",2017,"AZE","USA",2709,80881660.23,"0.035%",11735868377.91,"0.69%"
"36",2000,"BLR","RUS",2709,100400,"0.00090%",61698000,"0.16%"
"37",2002,"BLR","RUS",2709,231900,"0.0021%",93542300,"0.25%"
"38",2003,"BLR","RUS",2709,123300,"0.0011%",143675700,"0.09%"
"39",2006,"BLR","USA",2709,58548167.96,"0.53%",585818895.49,"9.99%"
"40",1999,"GEO","RUS",2709,4559,"0.00020%",43808735.89,"0.01%"
"41",1999,"GEO","USA",2709,715173,"0.031%",43808735.89,"1.63%"
"42",2004,"GEO","CHN",2709,27349613.95,"1.2%",153742825.2,"17.79%"
"43",2004,"GEO","USA",2709,23495819.92,"1.0%",153742825.2,"15.28%"
"44",2005,"GEO","USA",2709,83122954.66,"3.6%",119726410.3,"69.43%"
"45",2006,"GEO","USA",2709,1345955,"0.058%",246386889.64,"0.55%"
"46",2007,"GEO","USA",2709,575053,"0.025%",85537709.87,"0.67%"
"47",2008,"GEO","USA",2709,4767035,"0.20%",146387427.71,"3.26%"
"48",2009,"GEO","USA",2709,4497100,"0.19%",187495786.49,"2.4%"
"49",2010,"GEO","USA",2709,2278085,"0.098%",175094209.94,"1.3%"
"50",1996,"KAZ","RUS",2709,523559879.09,"0.13%",793826219.1,"65.95%"
"51",1997,"KAZ","CHN",2709,4120931.27,"0.0010%",1203108842.58,"0.34%"
"52",1997,"KAZ","RUS",2709,473808265.07,"0.12%",1203108842.58,"39.38%"
"53",1998,"KAZ","CHN",2709,34235393.01,"0.0086%",1078605737.77,"3.17%"
"54",1998,"KAZ","RUS",2709,388350862.2,"0.098%",1078605737.77,"36%"
"55",1999,"KAZ","CHN",2709,35560431.99,"0.0090%",1497823709.18,"2.37%"
"56",1999,"KAZ","RUS",2709,255758964.09,"0.064%",1497823709.18,"17.08%"
"57",2000,"KAZ","CHN",2709,106527659.02,"0.027%",5471399399.41,"1.95%"
"58",2000,"KAZ","RUS",2709,628247330.76,"0.16%",5471399399.41,"11.48%"
"59",2000,"KAZ","USA",2709,25266500,"0.0064%",5471399399.41,"0.46%"
