"","year","ARM","AZE","BLR","GEO","KAZ","KGZ","MDA","TJK","TKM","UKR","UZB"
"1",1995,NA,NA,9732.73767043744,NA,2337.1451688757,5212.72232025621,NA,NA,6163.04648157432,2517.37564434699,7780.87284588569
"2",1996,NA,5424.50561298473,NA,4583.25989966274,4914.82703296188,NA,NA,NA,10000,9758.73898951012,3337.8200917989
"3",1997,NA,3865.81255821701,NA,3496.72372609217,2519.02635400958,NA,NA,NA,4735.10310727384,3580.43798615117,NA
"4",1998,NA,1640.36393887772,10000,1743.1996564093,2191.75332973175,NA,NA,NA,4030.33524482819,2343.91605696582,10000
"5",1999,NA,2510.3959318835,10000,3613.01226170598,1275.30429432461,NA,NA,NA,3661.60518067991,7020.72036045916,NA
"6",2000,NA,2578.16561738541,9967.50733542087,4911.94531283792,1166.1824264886,NA,NA,10000,3441.44324209294,2236.89884821935,10000
"7",2001,10000,2588.68843594132,10000,8221.43888485359,1167.03142577155,NA,NA,NA,5900.50157748034,2882.28633794953,NA
"8",2002,NA,2168.70029212342,5401.76638100295,1985.71558315174,1617.3706535112,NA,NA,10000,4029.56797623213,2090.5933924611,NA
"9",2003,NA,2634.91417871098,4375.92898077851,4254.51863172832,1477.61680414268,NA,NA,10000,10000,1982.142389873,NA
"10",2004,NA,2012.64441670971,4177.65698856181,3138.0536152196,765.608023549205,NA,10000,10000,4530.64235261784,3089.28305111056,10000
"11",2005,NA,1887.53479294074,4783.96510377009,5145.75166882973,869.223027014544,10000,NA,10000,2356.28722759033,3297.51446764646,NA
"12",2006,NA,2021.43491475679,3209.9279697895,1973.24627772724,881.589759216251,10000,NA,10000,3411.69317559856,1931.92166647634,NA
"13",2007,10000,1288.04605401299,2605.08878059,3238.80618239416,825.420461767997,10000,NA,10000,3704.05362579235,4895.45265216779,NA
"14",2008,NA,1028.25118607177,3771.0793629887,3597.14927964287,829.451766578941,8742.24313445527,NA,10000,3002.23261785712,4555.55245947675,NA
"15",2009,NA,1140.25910893512,6325.78222181972,4151.22241060165,689.655075116326,10000,NA,NA,4237.03343381377,5316.79203671457,NA
"16",2010,NA,1317.58529787212,10000,4250.37602588118,825.309993955826,10000,NA,NA,6209.5102594479,5176.66392888777,10000
"17",2011,10000,1831.48118619955,5981.23082799439,4575.61301711001,965.843878988823,10000,NA,NA,2739.2710922874,10000,NA
"18",2012,NA,1386.17774981844,10000,9763.16350977243,1008.28967809887,NA,NA,NA,4452.44215761571,10000,10000
"19",2013,NA,1417.63008887731,9999.09727074359,2377.37416279196,987.915290558298,7428.97684416644,NA,NA,4572.46769433781,10000,NA
"20",2014,NA,1207.14311207561,10000,4971.11230489249,744.850997537878,NA,NA,NA,3088.23376090396,9852.28174438374,NA
"21",2015,NA,1190.90603179559,10000,8121.98317289631,803.805844324452,NA,NA,NA,2321.80249826557,10000,NA
"22",2016,NA,1257.65522120571,9999.86226622526,3420.21752530134,797.845018098862,9597.29879001602,5845.11980823892,NA,4705.56238991091,10000,NA
"23",2017,NA,1847.59331511058,9999.92924824081,2621.01439678451,716.394396279493,7370.9883627744,10000,NA,3978.67340141627,9785.92838542757,NA
