"","year","ARM","AZE","BLR","GEO","KAZ","KGZ","MDA","TJK","TKM","UKR","UZB"
"1",1995,NA,NA,10000,NA,10000,10000,10000,NA,10000,NA,NA
"2",1996,10000,10000,NA,10000,10000,9824.58933692964,10000,NA,NA,6708.52609464989,NA
"3",1997,10000,5100.48205546223,9999.87032223268,9985.8274396082,10000,NA,10000,NA,NA,4840.05462994056,NA
"4",1998,5831.7483155347,5518.74861762935,9975.60291686632,9296.18024688215,9993.50709368465,6060.04579213042,NA,10000,10000,5664.71106025903,10000
"5",1999,5195.25164027391,9312.46801156813,10000,10000,9975.62042882686,9354.56976285331,10000,10000,10000,7009.88932714315,10000
"6",2000,10000,10000,10000,9847.47326947938,10000,8688.80108259545,NA,NA,NA,6076.94436940499,10000
"7",2001,10000,10000,10000,7739.52117288456,9994.77124533939,NA,10000,NA,NA,6085.47961476037,NA
"8",2002,NA,NA,10000,8787.50082442262,9994.18024458687,5132.56650250916,10000,NA,NA,8125.45415348734,7891.64186596866
"9",2003,10000,10000,10000,9909.93504215071,10000,10000,10000,10000,NA,9017.44904395927,NA
"10",2004,NA,NA,9999.9907394484,NA,10000,4320.02535504358,NA,10000,NA,9470.00282746332,10000
"11",2005,NA,NA,10000,10000,10000,5010.25549636491,10000,10000,NA,9852.49613804578,10000
"12",2006,NA,NA,10000,NA,10000,4921.64808350913,NA,NA,NA,10000,10000
"13",2007,NA,NA,10000,10000,9999.97811916396,8884.82097663493,7713.89465650096,10000,NA,9999.99184150732,10000
"14",2008,NA,9796.53870065413,10000,6813.550517364,9993.38582118484,9740.53749629807,NA,9912.0572485567,NA,8816.21763217141,7555.26844821331
"15",2009,NA,5472.20264275958,10000,10000,9999.98286633056,9579.9912212326,10000,NA,10000,8628.63686727149,9854.7931199993
"16",2010,10000,NA,7251.96726423504,9984.68167864947,10000,10000,NA,NA,NA,6382.39448770493,10000
"17",2011,NA,9861.3541293881,6620.88695250848,5386.96313712413,10000,NA,10000,NA,NA,6254.50518607999,9959.44141727503
"18",2012,NA,NA,9373.27085415257,10000,9999.98921038724,10000,10000,10000,NA,5001.14039757211,10000
"19",2013,NA,NA,10000,10000,9999.98693768064,8461.36220236179,5185.86716890685,9806.22625380972,NA,3745.63626637957,9987.46409995921
"20",2014,NA,NA,10000,4777.42556006067,9983.63544267196,5679.15799441661,5234.52379732508,NA,NA,7771.63450795356,10000
"21",2015,NA,10000,9998.86170328705,6280.76596011521,9997.38806300219,9566.54632366767,10000,NA,NA,9975.45138112432,5406.18286416648
"22",2016,NA,5215.19808759468,9791.2148333708,8710.93479268359,9775.77304302536,10000,10000,10000,NA,9452.09855996794,6202.5630015567
"23",2017,NA,10000,9920.41948895437,3533.64220838409,10000,5170.48561026566,9505.47006917733,8497.1201008127,10000,7089.01208855499,9328.69158197267
